assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,match
False,,,broky,7.65611982016205e+16,False,False,31.563335,0,111,0,True,head,False,False,0,0,False,2231,Wicadia,76561198812513923,usp_silencer,17293822569102704701,0.0,,0,aurora-vs-faze-m2-train
False,XANTARES,7.65611980441188e+16,woxic,7.65611980834855e+16,False,False,35.969204,0,113,0,True,head,False,False,0,0,False,2548,rain,76561197997351207,p250,17293822569130623012,27842276787.0,,0,aurora-vs-faze-m2-train
False,,,XANTARES,7.65611980441188e+16,False,False,31.227789,0,80,0,True,head,False,False,0,0,False,2736,Twistzz,76561198016255205,glock,17293822569105195012,16140959508.0,,0,aurora-vs-faze-m2-train
False,frozen,7.656119806842277e+16,broky,7.65611982016205e+16,False,False,23.198622,0,118,0,True,head,False,False,0,0,False,6661,MAJ3R,76561197967432889,usp_silencer,17293822569102704701,0.0,,0,aurora-vs-faze-m2-train
False,,,broky,7.65611982016205e+16,False,False,14.4782715,0,126,0,True,head,False,False,0,0,False,6822,jottAAA,76561198410750263,usp_silencer,17293822569102704701,0.0,,0,aurora-vs-faze-m2-train
False,broky,7.65611982016205e+16,frozen,7.656119806842277e+16,False,False,34.474686,0,108,0,True,head,False,False,0,0,False,6827,woxic,76561198083485506,usp_silencer,17293822569135734845,42949321073.0,,0,aurora-vs-faze-m2-train
False,broky,7.65611982016205e+16,frozen,7.656119806842277e+16,False,False,26.276405,0,115,0,True,head,False,False,0,0,False,7101,XANTARES,76561198044118796,usp_silencer,17293822569135734845,42949321073.0,,0,aurora-vs-faze-m2-train
False,,,rain,7.65611979973512e+16,False,False,11.563588,0,23,0,False,chest,False,False,0,0,False,9697,jottAAA,76561198410750263,mp9,17293822569177022498,26478560146.0,,0,aurora-vs-faze-m2-train
False,,,broky,7.65611982016205e+16,False,False,18.630318,0,44,0,False,stomach,False,False,0,0,False,12808,MAJ3R,76561197967432889,m4a1_silencer,17293822569179119676,44892306957.0,,0,aurora-vs-faze-m2-train
False,rain,7.65611979973512e+16,broky,7.65611982016205e+16,False,False,19.134706,0,35,0,False,chest,False,False,0,0,False,12828,XANTARES,76561198044118796,m4a1_silencer,17293822569179119676,44892306957.0,,0,aurora-vs-faze-m2-train
False,,,karrigan,7.656119798943026e+16,False,False,18.246761,0,113,0,True,head,False,False,0,0,False,13036,woxic,76561198083485506,famas,17293822569137373194,8717710150.0,,0,aurora-vs-faze-m2-train
False,rain,7.65611979973512e+16,Twistzz,7.65611980162552e+16,False,False,19.343504,0,21,0,False,chest,False,False,0,0,False,13130,Wicadia,76561198812513923,mp9,17293822569128001570,40274871472.0,,0,aurora-vs-faze-m2-train
False,,,XANTARES,7.65611980441188e+16,False,False,20.668888,15,108,0,True,head,False,False,0,0,False,16619,frozen,76561198068422762,ak47,17293822569114501127,16140956420.0,,0,aurora-vs-faze-m2-train
False,,,XANTARES,7.65611980441188e+16,False,False,8.215692,15,111,0,True,head,False,False,0,0,False,17330,Twistzz,76561198016255205,ak47,17293822569114501127,16140956420.0,,0,aurora-vs-faze-m2-train
False,,,rain,7.65611979973512e+16,False,False,8.488071,18,56,0,True,head,False,False,0,0,False,17639,MAJ3R,76561197967432889,mp9,17293822569177022498,26478560146.0,,0,aurora-vs-faze-m2-train
False,,,rain,7.65611979973512e+16,False,False,29.44727,3,26,0,False,chest,False,False,0,0,False,18191,Wicadia,76561198812513923,ak47,17293822569114501127,44121886366.0,,0,aurora-vs-faze-m2-train
False,,,XANTARES,7.65611980441188e+16,False,False,21.402418,15,108,0,True,head,False,False,0,0,False,18354,rain,76561197997351207,ak47,17293822569114501127,16140956420.0,,0,aurora-vs-faze-m2-train
False,,,jottAAA,7.656119841075026e+16,False,False,7.5937247,4,28,0,False,chest,False,False,0,0,False,18434,karrigan,76561197989430253,ak47,17293822569149038599,46834886873.0,,0,aurora-vs-faze-m2-train
False,XANTARES,7.65611980441188e+16,jottAAA,7.656119841075026e+16,False,False,24.211073,3,27,0,False,chest,False,False,0,0,False,18910,broky,76561198201620490,ak47,17293822569149038599,46834886873.0,,0,aurora-vs-faze-m2-train
False,,,jottAAA,7.656119841075026e+16,False,False,19.752882,15,108,0,True,head,False,False,0,0,False,22698,broky,76561198201620490,ak47,17293822569149038599,46834886873.0,,0,aurora-vs-faze-m2-train
