component,explained_variance,cumulative_variance
1,0.26402664200584236,0.26402664200584236
2,0.15705368424899588,0.42108032625483827
3,0.12759422746912472,0.548674553723963
4,0.10467532071547272,0.6533498744394357
5,0.07795312374926995,0.7313029981887057
6,0.07274059411066401,0.8040435922993697
7,0.06060017738414875,0.8646437696835185
8,0.05107496826900207,0.9157187379525206
9,0.03822864289086871,0.9539473808433893
10,0.03137137031382705,0.9853187511572163
11,0.005418743516565707,0.990737494673782
12,0.005052829590249227,0.9957903242640312
13,0.001967462796692384,0.9977577870607236
14,0.0017631469986043075,0.999520934059328
15,0.00047906594067221626,1.0000000000000002
16,2.6630341608177116e-35,1.0000000000000002
