,total_kills,headshot_kills,headshot_rate,rifle_kills,awp_kills,pistol_kills,smg_kills,smoke_kills,noscope_kills,wallbang_kills,assisted_kills,avg_kill_distance,max_kill_distance,min_kill_distance,total_damage,avg_damage_per_kill
count,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0
mean,6.380281690140845,3.2816901408450705,0.5081936060809301,4.183098591549296,0.8028169014084507,0.7605633802816901,0.3380281690140845,0.704225352112676,0.0,0.19718309859154928,0.3380281690140845,17.49209554734071,30.36686204225352,7.890360564788733,537.2253521126761,83.59242678291977
std,1.7101896067236735,1.9211834045827756,0.2671898389658058,2.2947758007821006,1.1416744383311879,1.760395967895489,0.8442014311395287,0.9164273207435665,0.0,0.4348963196592019,0.67493199597824,5.203832315043043,8.62631796048234,4.6416166361109426,219.72093971237365,24.141892529151065
min,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.053577683333334,16.134838,1.8028773,110.0,32.666666666666664
25%,5.0,2.0,0.3333333333333333,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.993603806249999,23.8365495,4.4935762,373.0,67.83333333333334
50%,7.0,3.0,0.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.242255,30.55351,7.4042425,527.0,82.25
75%,8.0,5.0,0.7142857142857143,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,20.170918297619046,36.097481,9.697600999999999,665.0,95.71428571428572
max,9.0,8.0,1.0,8.0,5.0,9.0,4.0,3.0,0.0,2.0,3.0,36.4757715,52.17537,24.867167,1089.0,136.125
skewness,-0.7067143237346458,0.4810982888454272,0.17165567530884504,-0.28941168018850866,1.7634529233040188,3.319092508439775,3.0948452289831763,1.0886934058948377,0.0,2.077329045724515,2.0521234639650796,1.1377371271316472,0.2792801594285143,1.3959815594901244,0.25113677522928335,0.1442476228637206
kurtosis,-0.022223144197216715,-0.1178520749306875,-0.5886767291328607,-0.7537463094305874,3.549481773676619,11.579240323358983,9.970604386087393,0.15581121753584748,0.0,3.670250162379201,3.7058400486619743,2.0779717110687583,-0.4308761460406121,2.3793087063149176,-0.3677636329644458,-0.4531947867238104
