assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,match
False,,,broky,7.65611982016205e+16,False,False,31.563335,0,111,0,True,head,False,False,0,0,False,2231,Wicadia,76561198812513923,usp_silencer,17293822569102704701,0.0,,0,aurora-vs-faze-m2-train
False,XANTARES,7.65611980441188e+16,woxic,7.65611980834855e+16,False,False,35.969204,0,113,0,True,head,False,False,0,0,False,2548,rain,76561197997351207,p250,17293822569130623012,27842276787.0,,0,aurora-vs-faze-m2-train
False,,,XANTARES,7.65611980441188e+16,False,False,31.227789,0,80,0,True,head,False,False,0,0,False,2736,Twistzz,76561198016255205,glock,17293822569105195012,16140959508.0,,0,aurora-vs-faze-m2-train
False,frozen,7.656119806842277e+16,broky,7.65611982016205e+16,False,False,23.198622,0,118,0,True,head,False,False,0,0,False,6661,MAJ3R,76561197967432889,usp_silencer,17293822569102704701,0.0,,0,aurora-vs-faze-m2-train
False,,,broky,7.65611982016205e+16,False,False,14.4782715,0,126,0,True,head,False,False,0,0,False,6822,jottAAA,76561198410750263,usp_silencer,17293822569102704701,0.0,,0,aurora-vs-faze-m2-train
False,broky,7.65611982016205e+16,frozen,7.656119806842277e+16,False,False,34.474686,0,108,0,True,head,False,False,0,0,False,6827,woxic,76561198083485506,usp_silencer,17293822569135734845,42949321073.0,,0,aurora-vs-faze-m2-train
False,broky,7.65611982016205e+16,frozen,7.656119806842277e+16,False,False,26.276405,0,115,0,True,head,False,False,0,0,False,7101,XANTARES,76561198044118796,usp_silencer,17293822569135734845,42949321073.0,,0,aurora-vs-faze-m2-train
False,,,rain,7.65611979973512e+16,False,False,11.563588,0,23,0,False,chest,False,False,0,0,False,9697,jottAAA,76561198410750263,mp9,17293822569177022498,26478560146.0,,0,aurora-vs-faze-m2-train
False,,,broky,7.65611982016205e+16,False,False,18.630318,0,44,0,False,stomach,False,False,0,0,False,12808,MAJ3R,76561197967432889,m4a1_silencer,17293822569179119676,44892306957.0,,0,aurora-vs-faze-m2-train
False,rain,7.65611979973512e+16,broky,7.65611982016205e+16,False,False,19.134706,0,35,0,False,chest,False,False,0,0,False,12828,XANTARES,76561198044118796,m4a1_silencer,17293822569179119676,44892306957.0,,0,aurora-vs-faze-m2-train
False,,,karrigan,7.656119798943026e+16,False,False,18.246761,0,113,0,True,head,False,False,0,0,False,13036,woxic,76561198083485506,famas,17293822569137373194,8717710150.0,,0,aurora-vs-faze-m2-train
False,rain,7.65611979973512e+16,Twistzz,7.65611980162552e+16,False,False,19.343504,0,21,0,False,chest,False,False,0,0,False,13130,Wicadia,76561198812513923,mp9,17293822569128001570,40274871472.0,,0,aurora-vs-faze-m2-train
False,,,XANTARES,7.65611980441188e+16,False,False,20.668888,15,108,0,True,head,False,False,0,0,False,16619,frozen,76561198068422762,ak47,17293822569114501127,16140956420.0,,0,aurora-vs-faze-m2-train
False,,,XANTARES,7.65611980441188e+16,False,False,8.215692,15,111,0,True,head,False,False,0,0,False,17330,Twistzz,76561198016255205,ak47,17293822569114501127,16140956420.0,,0,aurora-vs-faze-m2-train
False,,,rain,7.65611979973512e+16,False,False,8.488071,18,56,0,True,head,False,False,0,0,False,17639,MAJ3R,76561197967432889,mp9,17293822569177022498,26478560146.0,,0,aurora-vs-faze-m2-train
False,,,rain,7.65611979973512e+16,False,False,29.44727,3,26,0,False,chest,False,False,0,0,False,18191,Wicadia,76561198812513923,ak47,17293822569114501127,44121886366.0,,0,aurora-vs-faze-m2-train
False,,,XANTARES,7.65611980441188e+16,False,False,21.402418,15,108,0,True,head,False,False,0,0,False,18354,rain,76561197997351207,ak47,17293822569114501127,16140956420.0,,0,aurora-vs-faze-m2-train
False,,,jottAAA,7.656119841075026e+16,False,False,7.5937247,4,28,0,False,chest,False,False,0,0,False,18434,karrigan,76561197989430253,ak47,17293822569149038599,46834886873.0,,0,aurora-vs-faze-m2-train
False,XANTARES,7.65611980441188e+16,jottAAA,7.656119841075026e+16,False,False,24.211073,3,27,0,False,chest,False,False,0,0,False,18910,broky,76561198201620490,ak47,17293822569149038599,46834886873.0,,0,aurora-vs-faze-m2-train
False,,,jottAAA,7.656119841075026e+16,False,False,19.752882,15,108,0,True,head,False,False,0,0,False,22698,broky,76561198201620490,ak47,17293822569149038599,46834886873.0,,0,aurora-vs-faze-m2-train
False,,,Twistzz,7.65611980162552e+16,False,False,16.182129,5,25,0,False,chest,False,False,0,0,False,22779,jottAAA,76561198410750263,m4a1_silencer,17293822569109651516,41487540675.0,,0,aurora-vs-faze-m2-train
False,,,XANTARES,7.65611980441188e+16,False,False,26.96574,0,138,0,True,head,False,False,0,0,False,24044,karrigan,76561197989430253,ak47,17293822569114501127,16140956420.0,,0,aurora-vs-faze-m2-train
False,,,Wicadia,7.656119881251392e+16,False,False,2.3031821,4,28,0,False,chest,False,False,0,0,False,24256,rain,76561197997351207,ak47,17293822569149038599,46834886873.0,,0,aurora-vs-faze-m2-train
False,,,Wicadia,7.656119881251392e+16,False,False,11.065858,0,141,0,True,head,False,False,0,0,True,24275,Twistzz,76561198016255205,ak47,17293822569149038599,46834886873.0,,0,aurora-vs-faze-m2-train
False,,,frozen,7.656119806842277e+16,False,False,26.144997,17,82,0,True,head,False,False,0,0,False,24327,XANTARES,76561198044118796,m4a1_silencer,17293822569167192124,30147640710.0,,0,aurora-vs-faze-m2-train
False,XANTARES,7.65611980441188e+16,Wicadia,7.656119881251392e+16,False,False,22.279625,0,139,0,True,head,False,False,0,0,False,24712,frozen,76561198068422762,ak47,17293822569149038599,46834886873.0,,0,aurora-vs-faze-m2-train
False,,,jottAAA,7.656119841075026e+16,False,False,18.084543,0,140,0,True,head,False,False,0,0,True,27503,broky,76561198201620490,ak47,17293822569170534407,25065970543.0,,0,aurora-vs-faze-m2-train
False,Wicadia,7.656119881251392e+16,jottAAA,7.656119841075026e+16,False,False,16.01592,0,44,0,False,stomach,False,False,0,0,True,27535,rain,76561197997351207,ak47,17293822569170534407,25065970543.0,,0,aurora-vs-faze-m2-train
True,MAJ3R,7.65611979674329e+16,jottAAA,7.656119841075026e+16,False,False,28.322273,0,43,0,False,stomach,False,False,0,0,True,27541,karrigan,76561197989430253,ak47,17293822569170534407,25065970543.0,,0,aurora-vs-faze-m2-train
False,,,XANTARES,7.65611980441188e+16,False,False,10.857421,0,35,0,False,chest,False,False,0,0,False,27646,frozen,76561198068422762,ak47,17293822569114501127,16140956420.0,,0,aurora-vs-faze-m2-train
True,MAJ3R,7.65611979674329e+16,XANTARES,7.65611980441188e+16,False,False,14.455254,0,36,0,False,chest,False,False,0,0,False,27754,Twistzz,76561198016255205,ak47,17293822569114501127,16140956420.0,,0,aurora-vs-faze-m2-train
False,,,XANTARES,7.65611980441188e+16,False,False,13.746534,2,15,0,False,chest,False,False,1,0,False,33192,frozen,76561198068422762,ak47,17293822569114501127,16140956420.0,,0,aurora-vs-faze-m2-train
False,,,Twistzz,7.65611980162552e+16,False,False,20.26917,5,24,0,False,right_arm,False,False,0,0,False,34030,jottAAA,76561198410750263,m4a1_silencer,17293822569109651516,41487540675.0,,0,aurora-vs-faze-m2-train
False,,,XANTARES,7.65611980441188e+16,False,False,33.39776,0,137,0,True,head,False,False,0,0,True,34248,karrigan,76561197989430253,ak47,17293822569114501127,16140956420.0,,0,aurora-vs-faze-m2-train
True,MAJ3R,7.65611979674329e+16,XANTARES,7.65611980441188e+16,False,False,22.87345,3,27,0,False,chest,False,False,0,0,False,41252,broky,76561198201620490,ak47,17293822569114501127,16140956420.0,,0,aurora-vs-faze-m2-train
False,,,XANTARES,7.65611980441188e+16,False,False,18.278536,4,34,0,False,stomach,False,False,0,0,False,41407,Twistzz,76561198016255205,ak47,17293822569114501127,16140956420.0,,0,aurora-vs-faze-m2-train
False,,,XANTARES,7.65611980441188e+16,False,False,19.279472,4,34,0,False,stomach,False,False,0,0,False,41490,frozen,76561198068422762,ak47,17293822569114501127,16140956420.0,,0,aurora-vs-faze-m2-train
False,Twistzz,7.65611980162552e+16,karrigan,7.656119798943026e+16,False,False,25.594332,5,23,0,False,chest,False,False,0,0,False,41567,XANTARES,76561198044118796,m4a1_silencer,17293822569179119676,44892306957.0,,0,aurora-vs-faze-m2-train
False,,,Wicadia,7.656119881251392e+16,False,False,21.38134,0,139,0,True,head,False,False,0,0,False,41592,karrigan,76561197989430253,ak47,17293822569163063303,46563652533.0,,0,aurora-vs-faze-m2-train
False,,,jottAAA,7.656119841075026e+16,False,False,17.834137,0,140,0,True,head,False,False,0,0,False,41643,rain,76561197997351207,ak47,17293822569149038599,46834886873.0,,0,aurora-vs-faze-m2-train
False,,,Wicadia,7.656119881251392e+16,False,False,22.837818,0,139,0,True,head,False,False,0,0,False,44044,Twistzz,76561198016255205,ak47,17293822569163063303,46563652533.0,,0,aurora-vs-faze-m2-train
False,,,rain,7.65611979973512e+16,True,False,11.570305,19,90,0,True,head,False,False,0,0,False,44281,Wicadia,76561198812513923,m4a1,17293822569148252176,40209621740.0,,0,aurora-vs-faze-m2-train
True,woxic,7.65611980834855e+16,XANTARES,7.65611980441188e+16,False,False,10.347867,15,110,0,True,head,False,False,0,0,False,44330,rain,76561197997351207,ak47,17293822569114501127,16140956420.0,,0,aurora-vs-faze-m2-train
False,,,karrigan,7.656119798943026e+16,False,False,26.653427,17,81,0,True,head,False,False,0,0,True,44757,jottAAA,76561198410750263,m4a1_silencer,17293822569167192124,30147640710.0,,0,aurora-vs-faze-m2-train
False,,,XANTARES,7.65611980441188e+16,False,False,13.270067,0,141,0,True,head,False,False,0,0,False,44951,broky,76561198201620490,ak47,17293822569114501127,16140956420.0,,0,aurora-vs-faze-m2-train
False,jottAAA,7.656119841075026e+16,XANTARES,7.65611980441188e+16,False,False,8.410742,15,110,0,True,head,False,False,0,0,False,45308,karrigan,76561197989430253,ak47,17293822569114501127,16140956420.0,,0,aurora-vs-faze-m2-train
False,,,woxic,7.65611980834855e+16,False,False,19.009302,1,110,0,False,right_arm,False,False,0,0,False,45691,frozen,76561198068422762,awp,17293822569181741065,45162899176.0,,0,aurora-vs-faze-m2-train
False,,,woxic,7.65611980834855e+16,False,False,19.25403,1,110,0,False,right_arm,False,False,0,0,False,50167,karrigan,76561197989430253,awp,17293822569181741065,45162899176.0,,0,aurora-vs-faze-m2-train
False,,,jottAAA,7.656119841075026e+16,False,False,23.125027,0,139,0,True,head,False,False,0,0,False,51176,rain,76561197997351207,ak47,17293822569149038599,46834886873.0,,0,aurora-vs-faze-m2-train
False,,,broky,7.65611982016205e+16,False,False,14.436541,5,160,0,True,head,False,False,0,0,False,51436,woxic,76561198083485506,deagle,17293822569171779585,45117217227.0,,0,aurora-vs-faze-m2-train
False,,,Twistzz,7.65611980162552e+16,False,False,7.717163,4,14,0,False,chest,False,False,0,0,False,51826,Wicadia,76561198812513923,mp9,17293822569128001570,40274871472.0,,0,aurora-vs-faze-m2-train
False,MAJ3R,7.65611979674329e+16,jottAAA,7.656119841075026e+16,False,False,9.485998,3,28,0,False,chest,False,False,0,0,False,52337,Twistzz,76561198016255205,ak47,17293822569149038599,46834886873.0,,0,aurora-vs-faze-m2-train
False,,,MAJ3R,7.65611979674329e+16,False,False,26.726576,0,43,0,False,stomach,False,False,0,0,False,52570,broky,76561198201620490,ak47,17293822569114501127,44121886366.0,,0,aurora-vs-faze-m2-train
False,,,XANTARES,7.65611980441188e+16,False,False,28.982792,3,27,0,False,chest,False,False,0,0,False,52763,frozen,76561198068422762,ak47,17293822569114501127,16140956420.0,,0,aurora-vs-faze-m2-train
False,,,rain,7.65611979973512e+16,False,False,20.778513,0,18,0,False,right_leg,False,False,2,0,False,57277,XANTARES,76561198044118796,m4a1,17293822569148252176,40209621740.0,,0,aurora-vs-faze-m2-train
False,jottAAA,7.656119841075026e+16,Wicadia,7.656119881251392e+16,False,False,21.047457,0,140,0,True,head,False,False,0,0,False,60714,Twistzz,76561198016255205,ak47,17293822569163063303,46563652533.0,,0,aurora-vs-faze-m2-train
False,,,jottAAA,7.656119841075026e+16,False,False,15.466769,0,141,0,True,head,False,False,0,0,False,60837,karrigan,76561197989430253,ak47,17293822569149038599,46834886873.0,,0,aurora-vs-faze-m2-train
False,,,frozen,7.656119806842277e+16,False,False,22.665201,5,24,0,False,chest,False,False,0,0,False,60891,Wicadia,76561198812513923,m4a1_silencer,17293822569188622396,46170575971.0,,0,aurora-vs-faze-m2-train
False,Wicadia,7.656119881251392e+16,MAJ3R,7.65611979674329e+16,False,False,25.586466,4,33,0,False,stomach,False,False,0,0,False,61073,frozen,76561198068422762,ak47,17293822569114501127,44121886366.0,,0,aurora-vs-faze-m2-train
False,jottAAA,7.656119841075026e+16,MAJ3R,7.65611979674329e+16,False,False,12.970456,3,27,0,False,left_arm,False,False,0,0,False,61132,rain,76561197997351207,ak47,17293822569114501127,44121886366.0,,0,aurora-vs-faze-m2-train
False,,,woxic,7.65611980834855e+16,False,False,14.162668,1,111,0,False,chest,False,False,0,0,False,61483,broky,76561198201620490,awp,17293822569152249865,43945030315.0,,0,aurora-vs-faze-m2-train
False,,,broky,7.65611982016205e+16,False,False,4.34289,19,91,0,True,head,False,False,0,0,False,65362,XANTARES,76561198044118796,m4a1_silencer,17293822569179119676,44892306957.0,,0,aurora-vs-faze-m2-train
False,XANTARES,7.65611980441188e+16,Wicadia,7.656119881251392e+16,False,False,5.5919247,0,143,0,True,head,False,False,0,0,False,65452,broky,76561198201620490,ak47,17293822569163063303,46563652533.0,,0,aurora-vs-faze-m2-train
False,,,woxic,7.65611980834855e+16,False,False,8.438722,0,457,0,True,head,False,False,0,0,False,66765,karrigan,76561197989430253,awp,17293822569152249865,43945030315.0,,0,aurora-vs-faze-m2-train
False,,,rain,7.65611979973512e+16,False,False,17.728033,18,89,0,True,head,False,False,0,0,False,68370,woxic,76561198083485506,m4a1,17293822569148252176,40209621740.0,,0,aurora-vs-faze-m2-train
False,jottAAA,7.656119841075026e+16,Wicadia,7.656119881251392e+16,False,False,8.702747,0,142,0,True,head,False,False,0,0,False,69212,frozen,76561198068422762,ak47,17293822569163063303,46563652533.0,,0,aurora-vs-faze-m2-train
False,,,MAJ3R,7.65611979674329e+16,False,False,21.301878,0,26,0,False,left_leg,False,False,0,0,False,69471,rain,76561197997351207,ak47,17293822569114501127,44121886366.0,,0,aurora-vs-faze-m2-train
False,,,MAJ3R,7.65611979674329e+16,False,False,18.48115,0,140,0,True,head,False,False,0,0,False,69503,Twistzz,76561198016255205,ak47,17293822569114501127,44121886366.0,,0,aurora-vs-faze-m2-train
False,,,frozen,7.656119806842277e+16,False,False,5.838733,4,15,0,False,chest,False,False,0,0,False,71995,Wicadia,76561198812513923,mp9,17293822569177022498,46940324287.0,,0,aurora-vs-faze-m2-train
