round_num,winning_team,round_end_reason,bomb_planted,demo_type,map_name,parsing_status,match,reason,round,tick,winner
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_defused,3.0,5627.0,CT
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_exploded,4.0,15355.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_exploded,5.0,23971.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,ct_killed,6.0,32073.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_exploded,7.0,40986.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_exploded,8.0,53694.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_exploded,9.0,61507.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_exploded,10.0,68223.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,t_killed,11.0,75744.0,CT
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_exploded,12.0,86844.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,ct_killed,13.0,92231.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,t_killed,14.0,100199.0,CT
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_exploded,15.0,121061.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,ct_killed,16.0,127469.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,ct_killed,17.0,134274.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_exploded,18.0,140381.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_defused,19.0,150769.0,CT
,,,,,,,3dmax-vs-falcons-m3-nuke,ct_killed,20.0,157691.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,time_ran_out,21.0,166651.0,CT
,,,,,,,3dmax-vs-falcons-m3-nuke,ct_killed,22.0,176800.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,time_ran_out,23.0,188734.0,CT
,,,,,,,3dmax-vs-falcons-m3-nuke,ct_killed,24.0,193529.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,ct_killed,25.0,200917.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,ct_killed,26.0,211315.0,T
,,,,,,,3dmax-vs-falcons-m3-nuke,bomb_defused,27.0,222099.0,CT
,,,,,,,3dmax-vs-falcons-m3-nuke,t_killed,28.0,230761.0,CT
,,,,,,,3dmax-vs-falcons-m3-nuke,t_killed,29.0,235373.0,CT
,,,,,,,3dmax-vs-falcons-m3-nuke,t_killed,30.0,242953.0,CT
,,,,,,,3dmax-vs-falcons-m3-nuke,ct_killed,31.0,250744.0,T
,,,,,,,3dmax-vs-falcons-m2-ancient,t_killed,2.0,2465.0,CT
,,,,,,,3dmax-vs-falcons-m2-ancient,t_killed,3.0,5873.0,CT
,,,,,,,3dmax-vs-falcons-m2-ancient,ct_killed,4.0,9202.0,T
,,,,,,,3dmax-vs-falcons-m2-ancient,ct_killed,5.0,15755.0,T
,,,,,,,3dmax-vs-falcons-m2-ancient,bomb_exploded,6.0,25685.0,T
,,,,,,,3dmax-vs-falcons-m2-ancient,bomb_exploded,7.0,36212.0,T
,,,,,,,3dmax-vs-falcons-m2-ancient,bomb_exploded,8.0,49640.0,T
,,,,,,,3dmax-vs-falcons-m2-ancient,ct_killed,9.0,55204.0,T
,,,,,,,3dmax-vs-falcons-m2-ancient,t_killed,10.0,62135.0,CT
,,,,,,,3dmax-vs-falcons-m2-ancient,bomb_exploded,11.0,69656.0,T
,,,,,,,3dmax-vs-falcons-m2-ancient,bomb_exploded,12.0,82133.0,T
,,,,,,,3dmax-vs-falcons-m2-ancient,ct_killed,13.0,88911.0,T
,,,,,,,3dmax-vs-falcons-m2-ancient,ct_killed,14.0,112357.0,T
,,,,,,,3dmax-vs-falcons-m2-ancient,ct_killed,15.0,118696.0,T
,,,,,,,3dmax-vs-falcons-m2-ancient,bomb_exploded,16.0,125367.0,T
,,,,,,,3dmax-vs-falcons-m2-ancient,ct_killed,17.0,134410.0,T
,,,,,,,3dmax-vs-falcons-m2-ancient,bomb_defused,18.0,141332.0,CT
,,,,,,,3dmax-vs-falcons-m2-ancient,t_killed,19.0,144277.0,CT
,,,,,,,3dmax-vs-falcons-m2-ancient,t_killed,20.0,152613.0,CT
,,,,,,,3dmax-vs-falcons-m2-ancient,bomb_defused,21.0,161930.0,CT
,,,,,,,3dmax-vs-falcons-m1-inferno,ct_killed,2.0,5976.0,T
,,,,,,,3dmax-vs-falcons-m1-inferno,ct_killed,3.0,14166.0,T
,,,,,,,3dmax-vs-falcons-m1-inferno,ct_killed,4.0,29262.0,T
