match,round,winner,reason,tick,total_kills,headshot_kills,headshot_rate,rifle_kills,awp_kills,pistol_kills,smg_kills,smoke_kills,noscope_kills,wallbang_kills,assisted_kills,avg_kill_distance,max_kill_distance,min_kill_distance,total_damage,avg_damage_per_kill,t_win,ct_win
3dmax-vs-falcons-m3-nuke,1,CT,bomb_defused,5627.0,8,8,1.0,0,0,4,0,0,0,0,0,12.60995125,32.02267,7.272682,938,117.25,0,1
3dmax-vs-falcons-m3-nuke,2,T,bomb_exploded,15355.0,3,2,0.6666666666666666,3,0,0,0,0,0,1,0,15.25219066666667,23.017326,9.899533,227,75.66666666666667,1,0
3dmax-vs-falcons-m3-nuke,3,T,bomb_exploded,23971.0,2,1,0.5,2,0,0,0,0,0,0,0,36.4757715,52.17537,20.776173,159,79.5,1,0
3dmax-vs-falcons-m3-nuke,4,T,ct_killed,32073.0,6,2,0.3333333333333333,6,0,0,0,1,0,0,1,18.663084666666666,31.805,7.294778,316,52.666666666666664,1,0
3dmax-vs-falcons-m3-nuke,5,T,bomb_exploded,40986.0,5,3,0.6,5,0,0,0,0,0,0,0,9.63719742,17.81399,6.2665195,463,92.6,1,0
3dmax-vs-falcons-m3-nuke,6,T,bomb_exploded,53694.0,3,0,0.0,0,2,0,1,1,0,0,0,32.91385233333333,40.390366,24.867167,232,77.33333333333333,1,0
3dmax-vs-falcons-m3-nuke,7,T,bomb_exploded,61507.0,6,1,0.16666666666666666,4,2,0,0,2,0,0,0,25.861658666666667,43.686237,13.010433,435,72.5,1,0
3dmax-vs-falcons-m3-nuke,8,T,bomb_exploded,68223.0,4,1,0.25,3,1,0,0,1,0,0,0,28.0891385,36.239204,19.948154,323,80.75,1,0
3dmax-vs-falcons-m3-nuke,9,CT,t_killed,75744.0,8,2,0.25,7,0,1,0,1,0,1,0,15.098716000000001,30.40255,3.172948,363,45.375,0,1
3dmax-vs-falcons-m3-nuke,10,T,bomb_exploded,86844.0,4,3,0.75,3,1,0,0,0,0,1,0,25.79399875,43.651573,11.816766,490,122.5,1,0
3dmax-vs-falcons-m3-nuke,11,T,ct_killed,92231.0,7,4,0.5714285714285714,6,1,0,0,3,0,0,0,10.114200171428573,16.80542,5.190556,666,95.14285714285714,1,0
3dmax-vs-falcons-m3-nuke,12,CT,t_killed,100199.0,6,1,0.16666666666666666,3,2,1,0,1,0,0,0,11.831570083333334,17.26153,7.4042425,536,89.33333333333333,0,1
3dmax-vs-falcons-m3-nuke,13,T,bomb_exploded,121061.0,8,8,1.0,0,0,8,0,0,0,0,0,15.7745305,23.535688,4.364455,896,112.0,1,0
3dmax-vs-falcons-m3-nuke,14,T,ct_killed,127469.0,7,3,0.42857142857142855,2,0,1,4,2,0,0,0,14.208418142857141,24.766558,7.725559,356,50.857142857142854,1,0
3dmax-vs-falcons-m3-nuke,15,T,ct_killed,134274.0,7,2,0.2857142857142857,5,0,2,0,2,0,0,0,20.16511962857143,41.065567,3.2228224,471,67.28571428571429,1,0
3dmax-vs-falcons-m3-nuke,16,T,bomb_exploded,140381.0,6,2,0.3333333333333333,6,0,0,0,1,0,0,2,11.002193916666664,16.134838,2.9693115,326,54.333333333333336,1,0
3dmax-vs-falcons-m3-nuke,17,CT,bomb_defused,150769.0,8,7,0.875,5,1,1,1,0,0,0,0,12.7903279875,30.820177,3.4721992,996,124.5,0,1
