,PC1,PC2,PC3,abs_PC1
kills,0.251188109477584,0.07106192442940715,0.006845998495487781,0.251188109477584
close_range_kills,0.251188109477584,0.07106192442940722,0.00684599849548785,0.251188109477584
kills_per_round,0.24718111909055124,0.10051227630778115,-0.07445410735855347,0.24718111909055124
total_damage_dealt,0.24337880495224154,0.035715263643318784,-0.08295283362172767,0.24337880495224154
damage_per_round,0.2388865474277735,0.06572880392361703,-0.12863662113240437,0.2388865474277735
headshot_kills,0.22757848545723627,0.18287741136058455,-0.01426779947224735,0.22757848545723627
max_kills_in_round,0.22192184773136261,0.15666146279779714,-0.14580584995698367,0.22192184773136261
performance_variance,0.21539020490565844,0.1662182032305937,-0.1569718617192345,0.21539020490565844
kill_consistency,-0.20860793148857512,-0.01609799368289763,0.10307294868946273,0.20860793148857512
kd_ratio,0.20449500170569307,0.006391541528148692,-0.016247524091334738,0.20449500170569307
high_impact_rounds,0.19718461702842308,-0.03985120372427533,-0.10076482575276696,0.19718461702842308
rifle_kills,0.19159706140350932,0.16433350023068508,0.1348935315036474,0.19159706140350932
pistol_kills,0.18517252370306095,0.16633817309195728,-0.10879077135145851,0.18517252370306095
rounds_with_5k,0.16957234280064867,0.010452326900292633,-0.17675979056514105,0.16957234280064867
rounds_with_4k,0.16539505225274514,-0.04595622030906193,-0.07423807781573065,0.16539505225274514
multi_kill_rate,0.16480508946664188,-0.040299008452069775,0.14309530799787934,0.16480508946664188
rounds_with_3k,0.15993605355143511,-0.09875125199100605,0.0887923851964923,0.15993605355143511
zero_kill_round_rate,-0.14546253150408153,0.14033313212392584,-0.19798121901340027,0.14546253150408153
opening_kill_rate,0.14546253150408153,-0.14033313212392587,0.1979812190134002,0.14546253150408153
rounds_with_2k,0.13855303729425225,-0.06751796845965789,0.22515920123222233,0.13855303729425225
entry_fragger_score,0.13459369152712955,-0.17151283185842583,0.25631605005287045,0.13459369152712955
weapon_diversity,0.1231536902214331,-0.016055276887581644,0.12314494265354069,0.1231536902214331
armor_damage_dealt,0.11996641084263558,0.09536769483933878,0.24946307335508594,0.11996641084263558
max_kill_distance,0.11886336151687019,-0.22627626714215482,-0.14112309313400703,0.11886336151687019
penetration_kills,0.11879792642360679,-0.14133070570116982,-0.07072595354294128,0.11879792642360679
awp_kills,0.11324692954528703,-0.25235829712670615,-0.15740536999440494,0.11324692954528703
avg_damage_per_kill,0.09684372661045358,-0.11086977874007097,-0.19155579919502252,0.09684372661045358
opening_kills,0.09518907376778891,-0.1367621212218352,0.2997427423943073,0.09518907376778891
assist_per_round,0.09398119654641898,-0.13114338037533407,-0.07916653343134558,0.09398119654641898
first_blood_rate,0.09062027133313952,-0.14749574330775608,0.2287705442721013,0.09062027133313952
deaths,0.0881981252584173,0.0637095043609192,0.10429201988757231,0.0881981252584173
deaths_per_round,0.08787123639163119,0.08799749049736522,0.0029861361128283442,0.08787123639163119
first_blood_kills,0.07856923976803837,-0.1515695400006121,0.28363895697160924,0.07856923976803837
assists,0.0757526493086385,-0.11747335562475991,0.03408973396560114,0.0757526493086385
kill_distance_std,0.07425408583600615,-0.22755138060776012,-0.1491836465620646,0.07425408583600615
rounds_with_zero_kills,-0.07408978958634979,0.031714299902888654,0.07507810527775811,0.07408978958634979
support_score,0.06870858937153294,-0.16565356854130311,-0.006734347194035548,0.06870858937153294
min_kill_distance,-0.063740243510937,-0.057117213396090244,-0.18706993465524482,0.063740243510937
thrusmoke_kills,0.06053036034253667,-0.04095338007738631,0.1883786558372755,0.06053036034253667
avg_kill_distance,0.04833865510120427,-0.27368693652667214,-0.16863867362401377,0.04833865510120427
headshot_percentage,0.04175291186756902,0.28372529832550997,0.021245654257750046,0.04175291186756902
headshot_weapon_skill,0.04175291186756901,0.28372529832550997,0.021245654257750175,0.04175291186756901
survival_vs_aggression_ratio,0.0354806609411436,-0.184250318221649,-0.06517307925780431,0.0354806609411436
flash_assists,0.028972126230066873,-0.17861807987827605,-0.07213382485719098,0.028972126230066873
noscope_kills,0.014183423656026962,-0.12643961987098537,-0.006333295319449248,0.014183423656026962
smg_kills,0.01087814765950785,-0.026097551463863063,0.1841996823312331,0.01087814765950785
opening_deaths,-0.0066624534023864874,0.1745083226810352,0.1674854309080341,0.0066624534023864874
opening_death_rate,-0.004694747299641482,0.21973293343270708,0.0994439233349247,0.004694747299641482
long_range_kills,-0.0,0.0,7.174648137343064e-43,0.0
mid_range_kills,-0.0,0.0,9.183549615799121e-41,0.0
