,count,mean,std,min,25%,50%,75%,max
kills,100.0,19.28,12.40241097447581,5.0,12.0,17.5,22.0,88.0
deaths,100.0,18.64,9.441494488788212,5.0,13.75,18.0,22.0,87.0
kd_ratio,100.0,1.1087766472130556,0.6607236152433437,0.3333333333333333,0.7443181818181819,0.9582608695652174,1.301923076923077,4.5
kills_per_round,100.0,0.817426956719863,0.6043567157168253,0.20833333333333334,0.5395833333333333,0.6830143540669856,0.8595238095238095,4.4
deaths_per_round,100.0,0.786415851882671,0.45621670736742537,0.3333333333333333,0.5977272727272727,0.6830143540669856,0.8181818181818182,4.35
headshot_kills,100.0,10.51,10.066942601074732,0.0,6.0,9.0,11.25,76.0
headshot_percentage,100.0,52.60971845687914,16.290053201743888,0.0,42.857142857142854,55.05050505050505,62.5,91.66666666666666
total_damage_dealt,100.0,1688.24,1522.0921282460818,355.0,906.25,1309.0,1918.5,9992.0
avg_damage_per_kill,100.0,83.26190512368451,22.28495011068257,35.666666666666664,69.66783216783217,79.26666666666667,89.51071428571429,153.45454545454547
damage_per_round,100.0,72.35766207267179,74.64634086678565,16.666666666666668,41.52142857142857,52.64393939393939,75.78181818181818,499.6
armor_damage_dealt,100.0,106.88,61.523959363467306,4.0,60.25,100.5,145.75,360.0
opening_kills,100.0,10.89,3.71155716184684,4.0,8.0,10.0,14.0,22.0
first_blood_kills,100.0,2.36,1.834132057415824,0.0,1.0,2.0,3.0,9.0
opening_kill_rate,100.0,0.4475436392364309,0.10439868630363282,0.18181818181818182,0.3794642857142857,0.45,0.5161490683229814,0.7142857142857143
first_blood_rate,100.0,0.09678673709966613,0.07341213610470468,0.0,0.05,0.08695652173913043,0.13333333333333333,0.42105263157894735
entry_fragger_score,100.0,0.6411171134357633,0.21168416036491156,0.20833333333333334,0.5198757763975155,0.6521739130434783,0.7374141876430206,1.5263157894736843
opening_deaths,100.0,2.34,1.8706667098641432,0.0,1.0,2.0,3.0,9.0
opening_death_rate,100.0,0.09581054662347567,0.07307171117686967,0.0,0.043478260869565216,0.08695652173913043,0.14285714285714285,0.3157894736842105
survival_vs_aggression_ratio,100.0,12.756490316700843,17.02648085350722,1.3333333333333335,2.8000000000000003,5.0,13.25,66.66666666666666
rounds_with_2k,100.0,3.84,2.087577495083667,0.0,2.0,4.0,5.0,8.0
rounds_with_3k,100.0,1.19,1.0981619170047723,0.0,0.0,1.0,2.0,5.0
rounds_with_4k,100.0,0.44,0.6407066805528491,0.0,0.0,0.0,1.0,3.0
rounds_with_5k,100.0,0.23,0.4461960433384738,0.0,0.0,0.0,0.0,2.0
multi_kill_rate,100.0,0.15736920611806193,0.08029450340421349,0.0,0.09523809523809523,0.1464285714285714,0.20888157894736842,0.3684210526315789
high_impact_rounds,100.0,0.21350580254985288,0.2480558564321509,0.0,0.0,0.10526315789473684,0.36483253588516745,1.1904761904761905
avg_kill_distance,100.0,17.646363893116447,4.508893799699005,8.850610158333334,15.016596241875,17.165575431818183,19.839646802083337,34.910513095238095
min_kill_distance,100.0,3.633586200400001,2.935401255761389,0.68807507,1.074202725,3.16274605,5.2432127500000005,15.043441
max_kill_distance,100.0,38.83752357,13.641167539821621,17.747063,29.94603725,36.1234665,43.828879,76.695564
kill_distance_std,100.0,10.012742042152816,3.2425616993342117,4.155550863463923,7.8893503451591975,9.563102251718828,11.254756650609341,20.809647306186115
close_range_kills,100.0,19.28,12.40241097447581,5.0,12.0,17.5,22.0,88.0
mid_range_kills,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long_range_kills,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rifle_kills,100.0,12.04,8.481614102149294,0.0,7.0,11.0,16.0,58.0
awp_kills,100.0,2.59,5.037425589093755,0.0,0.0,0.0,2.0,21.0
pistol_kills,100.0,3.34,4.447721014432247,0.0,1.0,2.0,4.0,39.0
smg_kills,100.0,0.33,0.7661394761854377,0.0,0.0,0.0,0.0,5.0
weapon_diversity,100.0,5.51,1.5472034073897278,2.0,4.75,5.0,7.0,10.0
headshot_weapon_skill,100.0,0.5260971845687914,0.16290053201743887,0.0,0.42857142857142855,0.5505050505050505,0.625,0.9166666666666666
thrusmoke_kills,100.0,1.4,1.4907119849998596,0.0,0.0,1.0,2.0,7.0
noscope_kills,100.0,0.03,0.22270150335361366,0.0,0.0,0.0,0.0,2.0
penetration_kills,100.0,0.72,1.0058415241563512,0.0,0.0,0.0,1.0,4.0
assists,100.0,5.69,3.2619477356792568,0.0,4.0,6.0,7.0,15.0
assist_per_round,100.0,0.23551279384231327,0.1316027969144753,0.0,0.1412337662337662,0.22233201581027667,0.31638755980861244,0.6666666666666666
flash_assists,100.0,0.86,1.302832966029697,0.0,0.0,0.0,1.0,6.0
support_score,100.0,6.98,4.420407221060069,0.0,4.0,6.0,9.5,21.0
kill_consistency,100.0,0.5437906994951295,0.19631120737272212,0.03814903671685587,0.49121002813626624,0.5726372530892432,0.6558835590980031,1.0
performance_variance,100.0,1.6190522038985378,3.202762928638808,0.0,0.5246719998977388,0.7463586718157309,1.0358157161267667,25.21298166509555
max_kills_in_round,100.0,5.94,10.46187885090002,1.0,2.0,3.0,4.0,77.0
rounds_with_zero_kills,100.0,13.51,4.377386794825784,6.0,10.75,13.0,16.0,24.0
zero_kill_round_rate,100.0,0.5524563607635691,0.10439868630363285,0.2857142857142857,0.48385093167701865,0.55,0.6205357142857143,0.8181818181818182
