player_name,match_id,map_name,kills,deaths,kd_ratio,kills_per_round,deaths_per_round,headshot_kills,headshot_percentage,total_damage_dealt,avg_damage_per_kill,damage_per_round,armor_damage_dealt,opening_kills,first_blood_kills,opening_kill_rate,first_blood_rate,entry_fragger_score,opening_deaths,opening_death_rate,survival_vs_aggression_ratio,rounds_with_2k,rounds_with_3k,rounds_with_4k,rounds_with_5k,multi_kill_rate,high_impact_rounds,avg_kill_distance,min_kill_distance,max_kill_distance,kill_distance_std,close_range_kills,mid_range_kills,long_range_kills,engagement_range_preference,rifle_kills,awp_kills,pistol_kills,smg_kills,weapon_diversity,primary_weapon_type,headshot_weapon_skill,thrusmoke_kills,noscope_kills,penetration_kills,assists,assist_per_round,flash_assists,support_score,kill_consistency,performance_variance,max_kills_in_round,rounds_with_zero_kills,zero_kill_round_rate
sirah,ecstatic-vs-havu-m3-overpass,de_overpass,25,24,1.0416666666666667,0.7142857142857143,0.6857142857142857,11,44.0,1664,66.56,47.542857142857144,204,17,6,0.4857142857142857,0.17142857142857143,0.8285714285714286,2,0.05714285714285714,8.5,5,2,1,0,0.14285714285714285,0.2,13.345321094,0.85890675,32.473194,8.848085349228182,25,0,0,close,20,0,2,0,6,rifle,0.44,0,0,0,2,0.05714285714285714,0,2.0,0.5334828131703736,0.8744746321952062,4,18,0.5142857142857142
Uli,ecstatic-vs-havu-m3-overpass,de_overpass,36,18,2.0,1.0285714285714285,0.5142857142857142,21,58.333333333333336,2944,81.77777777777777,84.11428571428571,172,22,2,0.6285714285714286,0.05714285714285714,0.7428571428571429,1,0.02857142857142857,22.0,7,5,2,0,0.2,0.45714285714285713,19.32218960388889,0.87335134,42.75417,11.313993086322474,36,0,0,close,30,1,4,0,8,rifle,0.5833333333333334,2,0,3,4,0.11428571428571428,0,4.0,0.4881376568056094,1.0486024506776148,4,13,0.37142857142857144
alxc,ecstatic-vs-havu-m3-overpass,de_overpass,21,25,0.84,0.6,0.7142857142857143,12,57.14285714285714,1609,76.61904761904762,45.97142857142857,117,12,4,0.34285714285714286,0.11428571428571428,0.5714285714285714,9,0.2571428571428571,1.3333333333333335,8,1,0,0,0.22857142857142856,0.05714285714285714,15.290486352380956,6.6004243,48.449493,10.256795040448871,21,0,0,close,18,0,3,0,5,rifle,0.5714285714285714,0,0,1,6,0.17142857142857143,0,6.0,0.6166819013942709,0.621581560508061,3,23,0.6571428571428571
ottob,ecstatic-vs-havu-m3-overpass,de_overpass,25,18,1.3888888888888888,0.7142857142857143,0.5142857142857142,6,24.0,3161,126.44,90.31428571428572,47,17,4,0.4857142857142857,0.11428571428571428,0.7142857142857143,2,0.05714285714285714,8.5,7,1,0,0,0.2,0.05714285714285714,23.2210252,3.764471,52.164623,14.950085798798785,25,0,0,close,5,17,3,0,6,awp,0.24,0,2,2,7,0.2,2,10.0,0.6156633601546446,0.6242642728467979,3,18,0.5142857142857142
p3kko,ecstatic-vs-havu-m3-overpass,de_overpass,15,25,0.6,0.42857142857142855,0.7142857142857143,9,60.0,1162,77.46666666666667,33.2,123,12,3,0.34285714285714286,0.08571428571428572,0.5142857142857142,7,0.2,1.7142857142857142,3,0,0,0,0.08571428571428572,0.0,16.200273619999997,2.1253603,34.55602,8.731286152819303,15,0,0,close,11,0,3,1,7,rifle,0.6,4,0,1,12,0.34285714285714286,1,13.5,0.6885786073676458,0.45226701686664544,2,23,0.6571428571428571
puuha,ecstatic-vs-havu-m3-overpass,de_overpass,21,25,0.84,0.6,0.7142857142857143,9,42.857142857142854,1445,68.80952380952381,41.285714285714285,137,14,2,0.4,0.05714285714285714,0.5142857142857142,0,0.0,40.0,5,2,0,0,0.14285714285714285,0.11428571428571428,18.65518624761905,1.1295902,46.84651,9.160521883443725,21,0,0,close,15,2,3,0,7,rifle,0.42857142857142855,2,0,0,3,0.08571428571428572,1,4.5,0.568325667442591,0.7595545253127499,3,21,0.6
nut nut,ecstatic-vs-havu-m3-overpass,de_overpass,24,21,1.1428571428571428,0.6857142857142857,0.6,15,62.5,2132,88.83333333333333,60.91428571428571,163,17,1,0.4857142857142857,0.02857142857142857,0.5428571428571428,2,0.05714285714285714,8.5,7,0,0,0,0.2,0.0,15.044225855833332,0.99312454,27.259909,6.587817831544522,24,0,0,close,18,1,3,0,7,rifle,0.625,0,0,0,13,0.37142857142857144,2,16.0,0.6634380867065212,0.5072996561958923,2,18,0.5142857142857142
Anlelele,ecstatic-vs-havu-m3-overpass,de_overpass,24,25,0.96,0.6857142857142857,0.7142857142857143,9,37.5,1396,58.166666666666664,39.885714285714286,211,15,2,0.42857142857142855,0.05714285714285714,0.5428571428571428,1,0.02857142857142857,15.0,7,2,0,0,0.2,0.11428571428571428,16.3265605375,1.1714355,31.184649,7.8355079674669845,24,0,0,close,18,0,3,1,7,rifle,0.375,1,0,0,6,0.17142857142857143,0,6.0,0.5757753802215467,0.7367883976130073,3,20,0.5714285714285714
TMB,ecstatic-vs-havu-m3-overpass,de_overpass,18,24,0.75,0.5142857142857142,0.6857142857142857,13,72.22222222222221,1528,84.88888888888889,43.65714285714286,170,12,2,0.34285714285714286,0.05714285714285714,0.45714285714285713,7,0.2,1.7142857142857142,3,2,1,0,0.08571428571428572,0.2,11.522978527777777,4.8760066,26.23466,5.903981091925891,18,0,0,close,15,0,1,1,5,rifle,0.7222222222222222,3,0,0,15,0.42857142857142855,1,16.5,0.5,1.0,4,23,0.6571428571428571
acoR,ecstatic-vs-havu-m3-overpass,de_overpass,20,24,0.8333333333333334,0.5714285714285714,0.6857142857142857,4,20.0,2469,123.45,70.54285714285714,91,15,8,0.42857142857142855,0.22857142857142856,0.8857142857142857,3,0.08571428571428572,5.0,3,2,0,0,0.08571428571428572,0.11428571428571428,18.634233974999997,1.0286015,40.773598,11.54523209610434,20,0,0,close,0,16,2,0,5,awp,0.2,0,0,1,5,0.14285714285714285,1,6.5,0.5801315846429337,0.7237468644557459,3,20,0.5714285714285714
