assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,m0NESY,76561198074762801,False,False,10.348257,0,130,0,True,head,False,False,0,0,False,4316,Graviti,76561198179538505,usp_silencer,17293822569135734845,37441967518,,0
False,Ex3rcice,76561198168198200,bodyy,76561198013295375,False,False,18.563152,0,95,0,True,head,False,False,0,0,False,4373,TeSeS,76561197996678278,glock,17293822569155067908,15428079663,,0
False,,,bodyy,76561198013295375,False,False,6.8723674,0,110,0,True,head,False,False,0,0,False,4557,m0NESY,76561198074762801,glock,17293822569155067908,15428079663,,0
False,m0NESY,76561198074762801,kyxsan,76561198057282432,False,False,8.883071,8,17,0,False,chest,False,False,0,0,False,4615,bodyy,76561198013295375,usp_silencer,17293822569135734845,41218054785,,0
False,,,Ex3rcice,76561198168198200,False,False,4.190132,0,114,0,True,head,False,False,0,0,False,4748,kyxsan,76561198057282432,glock,17293822569105850372,45089236721,,0
False,,,Maka,76561198045739761,False,False,13.775021,0,101,0,True,head,False,False,0,0,False,5815,kyousuke,76561199032006224,glock,17293822569125838852,12772812990,,0
False,Ex3rcice,76561198168198200,Lucky,76561198031890115,False,False,34.134018,6,14,0,False,chest,False,False,0,0,False,5976,NiKo,76561198041683378,usp_silencer,17293822569135734845,41218054785,,0
True,Ex3rcice,76561198168198200,Maka,76561198045739761,False,False,19.533548,0,8,0,False,generic,False,False,0,0,False,12617,NiKo,76561198041683378,inferno,,,,0
False,,,kyxsan,76561198057282432,False,False,21.27211,3,82,0,True,head,False,False,0,0,True,12896,Lucky,76561198031890115,fiveseven,17293822569120661507,45275008332,,0
False,,,Graviti,76561198179538505,False,False,17.914019,0,16,0,False,left_leg,False,False,0,0,True,12915,kyxsan,76561198057282432,mac10,17293822569105588241,37648618757,,0
True,Ex3rcice,76561198168198200,Graviti,76561198179538505,False,False,9.014861,21,57,0,True,head,False,False,0,0,True,13009,kyousuke,76561199032006224,mac10,17293822569105588241,37648618757,,0
False,,,Ex3rcice,76561198168198200,False,False,9.678142,4,29,0,False,stomach,False,False,0,0,False,13379,TeSeS,76561197996678278,galilar,17293822569170731021,41068202797,,0
False,,,Graviti,76561198179538505,False,False,9.506391,5,14,0,False,chest,False,False,0,0,False,14166,m0NESY,76561198074762801,mac10,17293822569105588241,37648618757,,0
False,,,Lucky,76561198031890115,False,False,10.8089285,0,118,0,True,head,False,False,0,0,False,24586,kyousuke,76561199032006224,galilar,17293822569170731021,41068202797,,0
False,bodyy,76561198013295375,Lucky,76561198031890115,False,False,28.13276,0,29,0,False,chest,False,False,0,0,True,26490,NiKo,76561198041683378,galilar,17293822569170731021,41068202797,,0
False,bodyy,76561198013295375,Maka,76561198045739761,False,False,13.385935,0,141,0,True,head,False,False,0,0,False,26953,kyxsan,76561198057282432,ak47,17293822569121185799,40075636079,,0
False,Lucky,76561198031890115,Graviti,76561198179538505,False,False,34.924873,0,62,0,True,head,False,False,1,0,False,28214,m0NESY,76561198074762801,mac10,17293822569105588241,37648618757,,0
False,,,bodyy,76561198013295375,False,False,24.137049,0,138,0,True,head,False,False,0,0,False,29262,TeSeS,76561197996678278,ak47,17293822569168502791,41914159241,,0
False,Ex3rcice,76561198168198200,Lucky,76561198031890115,False,False,15.930658,3,23,0,False,chest,False,False,0,0,False,33125,kyousuke,76561199032006224,galilar,17293822569170731021,41068202797,,0
False,,,kyxsan,76561198057282432,False,False,23.564516,4,21,0,False,chest,False,False,0,0,False,33130,Ex3rcice,76561198168198200,m4a1,17293822569148252176,36658397039,,0
False,kyousuke,76561199032006224,kyxsan,76561198057282432,False,False,24.931488,18,87,0,True,head,False,False,0,0,False,33153,bodyy,76561198013295375,m4a1,17293822569148252176,36658397039,,0
False,,,kyxsan,76561198057282432,False,False,24.297176,4,22,0,False,chest,False,False,0,0,False,33237,Graviti,76561198179538505,m4a1,17293822569148252176,36658397039,,0
False,,,kyxsan,76561198057282432,False,False,22.411694,4,21,0,False,chest,False,False,0,0,False,33277,Lucky,76561198031890115,m4a1,17293822569148252176,36658397039,,0
False,,,NiKo,76561198041683378,False,False,15.064547,4,22,0,False,chest,False,False,0,0,False,33342,Maka,76561198045739761,m4a1,17293822569113649168,14064906031,,0
False,,,Ex3rcice,76561198168198200,False,False,10.762595,15,109,0,True,head,False,False,0,0,False,40464,m0NESY,76561198074762801,ak47,17293822569163063303,45317827930,,0
False,,,TeSeS,76561197996678278,False,False,10.204614,5,25,0,False,chest,False,False,0,0,False,40563,Graviti,76561198179538505,m4a1_silencer,17293822569138618428,24993671061,,0
False,Graviti,76561198179538505,Ex3rcice,76561198168198200,False,False,32.359848,4,33,0,False,stomach,False,False,0,0,False,40570,TeSeS,76561197996678278,ak47,17293822569163063303,45317827930,,0
False,,,Ex3rcice,76561198168198200,False,False,39.104523,15,105,0,True,head,False,False,0,0,False,40627,NiKo,76561198041683378,ak47,17293822569163063303,45317827930,,0
