assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
True,Maka,76561198045739761,Lucky,76561198031890115,False,False,16.46493,0,112,0,True,head,False,False,0,0,False,2216,kyousuke,76561199032006224,elite,17293822569176498178,30222795281,,0
True,Maka,76561198045739761,Lucky,76561198031890115,False,False,5.721678,0,137,0,True,head,False,False,0,0,False,2224,kyxsan,76561198057282432,elite,17293822569176498178,30222795281,,0
True,Maka,76561198045739761,Graviti,76561198179538505,False,False,6.3059464,0,136,0,True,head,False,False,0,0,False,2258,m0NESY,76561198074762801,elite,17293822569176498178,30222795281,,0
False,,,Graviti,76561198179538505,False,False,19.24487,0,107,0,True,head,False,False,0,0,False,2327,NiKo,76561198041683378,elite,17293822569176498178,30222795281,,0
False,,,bodyy,76561198013295375,False,False,39.178436,0,105,0,True,head,False,False,0,0,False,2465,TeSeS,76561197996678278,usp_silencer,17293822569144451133,22520421234,,0
False,Ex3rcice,76561198168198200,Graviti,76561198179538505,False,False,21.738241,0,93,0,True,head,False,False,1,0,False,5271,kyousuke,76561199032006224,m4a1,17293822569158017040,45961725543,,0
False,,,bodyy,76561198013295375,False,False,7.757365,0,37,0,False,right_arm,False,False,0,0,False,5511,m0NESY,76561198074762801,m4a1_silencer,17293822569126297660,27014592601,,0
False,,,Maka,76561198045739761,False,False,6.14515,0,98,0,True,head,False,False,0,0,False,5679,TeSeS,76561197996678278,mp9,17293822569177022498,30481307467,,0
False,Graviti,76561198179538505,bodyy,76561198013295375,False,False,14.432611,0,36,0,False,right_arm,False,False,0,0,False,5773,kyxsan,76561198057282432,m4a1_silencer,17293822569126297660,27014592601,,0
False,,,Ex3rcice,76561198168198200,False,False,3.3097932,0,119,0,True,head,False,False,0,0,False,5873,NiKo,76561198041683378,famas,17293822569162932234,41068156769,,0
False,,,kyxsan,76561198057282432,False,False,1.8028773,3,23,0,False,chest,False,False,0,0,False,8447,Graviti,76561198179538505,galilar,17293822569122168845,37700551428,,0
False,,,Lucky,76561198031890115,False,False,9.404777,6,32,0,False,stomach,False,False,0,0,False,8530,kyousuke,76561199032006224,m4a1_silencer,17293822569169354812,44381482751,,0
True,TeSeS,76561197996678278,m0NESY,76561198074762801,False,False,6.879752,16,110,0,True,head,False,False,0,0,False,8573,Lucky,76561198031890115,ak47,17293822569121185799,39561621428,,0
True,TeSeS,76561197996678278,m0NESY,76561198074762801,False,False,20.860668,15,108,0,True,head,False,False,0,0,False,8618,bodyy,76561198013295375,ak47,17293822569121185799,39561621428,,0
False,,,NiKo,76561198041683378,False,False,14.779369,15,109,0,True,head,False,False,0,0,False,9132,Ex3rcice,76561198168198200,ak47,17293822569121185799,31980002385,,0
False,,,TeSeS,76561197996678278,False,False,25.100107,0,26,0,False,right_leg,False,False,0,0,False,9202,Maka,76561198045739761,ak47,17293822569165553671,23868618176,,0
False,,,bodyy,76561198013295375,False,False,34.880524,6,28,0,False,stomach,False,False,0,0,True,11480,kyxsan,76561198057282432,m4a1_silencer,17293822569126297660,27014592601,,0
False,,,kyousuke,76561199032006224,False,False,18.101131,0,6,0,False,generic,False,False,0,0,False,13087,Graviti,76561198179538505,inferno,,,,0
False,,,kyousuke,76561199032006224,False,False,16.939041,0,140,0,True,head,False,False,0,0,True,13604,Ex3rcice,76561198168198200,ak47,17293822569173942279,46678859076,,0
False,,,bodyy,76561198013295375,False,False,7.583323,19,89,0,True,head,False,False,0,0,False,14073,TeSeS,76561197996678278,m4a1_silencer,17293822569126297660,27014592601,,0
False,,,bodyy,76561198013295375,False,False,10.735919,18,88,0,True,head,False,False,0,0,False,14093,NiKo,76561198041683378,m4a1_silencer,17293822569126297660,27014592601,,0
False,NiKo,76561198041683378,m0NESY,76561198074762801,False,False,20.91636,3,27,0,False,chest,False,False,0,0,False,14139,bodyy,76561198013295375,ak47,17293822569121185799,39561621428,,0
False,,,Maka,76561198045739761,False,False,10.862086,5,25,0,False,chest,False,False,0,0,False,15070,m0NESY,76561198074762801,m4a1_silencer,17293822569167192124,20840919166,,0
False,,,kyousuke,76561199032006224,False,False,25.815527,15,107,0,True,head,False,False,0,0,False,15639,Lucky,76561198031890115,ak47,17293822569173942279,46678859076,,0
False,,,kyousuke,76561199032006224,False,False,11.9837475,0,142,0,True,head,False,False,0,0,False,15755,Maka,76561198045739761,ak47,17293822569173942279,46678859076,,0
True,kyousuke,76561199032006224,kyxsan,76561198057282432,False,False,5.5819206,0,142,0,True,head,False,False,0,0,False,19049,Graviti,76561198179538505,ak47,17293822569173942279,46678859076,,0
False,,,Ex3rcice,76561198168198200,False,False,1.8913509,34,70,0,True,head,False,False,0,0,False,19084,kyxsan,76561198057282432,usp_silencer,17293822569135734845,44351558045,,0
False,,,kyousuke,76561199032006224,False,False,14.137572,0,141,0,True,head,False,False,0,0,False,25347,Lucky,76561198031890115,ak47,17293822569150152711,41166387524,,0
False,,,kyousuke,76561199032006224,False,False,11.080648,0,35,0,False,chest,False,False,0,0,False,25399,Maka,76561198045739761,ak47,17293822569150152711,41166387524,,0
False,,,kyousuke,76561199032006224,False,False,22.765783,0,139,0,True,head,False,False,0,0,False,25542,Ex3rcice,76561198168198200,ak47,17293822569150152711,41166387524,,0
False,kyousuke,76561199032006224,m0NESY,76561198074762801,False,False,35.960632,1,109,0,False,chest,False,False,0,0,False,32600,bodyy,76561198013295375,awp,17293822569125249033,43287757702,,0
False,,,NiKo,76561198041683378,False,False,20.681255,4,33,0,False,stomach,False,False,0,0,False,32830,Graviti,76561198179538505,ak47,17293822569121185799,31980002385,,0
False,bodyy,76561198013295375,Ex3rcice,76561198168198200,False,False,8.412447,5,25,0,False,chest,False,False,0,0,False,32892,kyousuke,76561199032006224,m4a1_silencer,17293822569179840572,44274685964,,0
False,,,Ex3rcice,76561198168198200,False,False,12.240595,18,87,0,True,head,False,False,0,0,False,32937,kyxsan,76561198057282432,m4a1_silencer,17293822569179840572,44274685964,,0
False,kyxsan,76561198057282432,m0NESY,76561198074762801,False,False,20.033175,1,138,0,False,stomach,False,False,0,0,False,32967,Ex3rcice,76561198168198200,awp,17293822569125249033,43287757702,,0
True,m0NESY,76561198074762801,kyousuke,76561199032006224,False,False,11.137295,3,28,0,False,chest,False,False,0,0,False,41203,bodyy,76561198013295375,ak47,17293822569150152711,41166387524,,0
True,kyxsan,76561198057282432,TeSeS,76561197996678278,False,False,23.538618,4,34,0,False,stomach,False,False,0,0,False,41667,Maka,76561198045739761,ak47,17293822569165553671,23868618176,,0
False,,,Lucky,76561198031890115,False,False,12.7983885,5,26,0,False,left_arm,False,False,0,0,False,41785,TeSeS,76561197996678278,m4a1_silencer,17293822569169354812,44381482751,,0
False,,,kyxsan,76561198057282432,False,False,23.026196,0,139,0,True,head,False,False,0,0,False,42313,Lucky,76561198031890115,ak47,17293822569165553671,23868618176,,0
False,,,kyousuke,76561199032006224,False,False,13.584408,1,111,0,False,chest,False,False,0,0,False,46862,Graviti,76561198179538505,awp,17293822569125249033,43287757702,,0
False,,,m0NESY,76561198074762801,False,False,20.589918,1,110,0,False,left_arm,False,False,0,0,False,51779,bodyy,76561198013295375,awp,17293822569125249033,43287757702,,0
False,,,Lucky,76561198031890115,False,False,15.44853,6,31,0,False,stomach,False,False,0,0,False,52190,kyousuke,76561199032006224,m4a1_silencer,17293822569169354812,44381482751,,0
False,,,m0NESY,76561198074762801,False,False,11.827383,1,111,0,False,chest,False,False,0,0,False,52264,Lucky,76561198031890115,awp,17293822569125249033,43287757702,,0
False,,,Ex3rcice,76561198168198200,False,False,6.491922,16,110,0,True,head,False,False,0,0,False,52269,TeSeS,76561197996678278,ak47,17293822569165553671,23868618176,,0
False,,,m0NESY,76561198074762801,False,False,13.688896,1,139,0,False,stomach,False,False,0,0,False,54483,Ex3rcice,76561198168198200,awp,17293822569125249033,43287757702,,0
False,Lucky,76561198031890115,Graviti,76561198179538505,False,False,35.006695,18,85,0,True,head,False,False,0,0,False,54757,m0NESY,76561198074762801,m4a1,17293822569158017040,45961725543,,0
False,,,kyxsan,76561198057282432,False,False,21.915476,0,26,0,False,left_leg,False,False,0,0,False,55022,Maka,76561198045739761,ak47,17293822569165553671,23868618176,,0
False,,,NiKo,76561198041683378,False,False,32.673523,0,137,0,True,head,False,False,0,0,False,55204,Graviti,76561198179538505,ak47,17293822569121185799,31980002385,,0
