assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,kyousuke,76561199032006224,False,False,7.4437766,0,109,0,True,head,False,False,0,0,False,3269,Lucky,76561198031890115,glock,17293822569105850372,46451558732,,0
False,,,Maka,76561198045739761,False,False,32.02267,0,110,0,True,head,False,False,0,0,False,3331,kyousuke,76561199032006224,usp_silencer,17293822569135734845,16042940049,,0
False,NiKo,76561198041683378,TeSeS,76561197996678278,False,False,9.008425,0,107,0,True,head,False,False,0,0,False,3575,Ex3rcice,76561198168198200,glock,17293822569165422596,23868644929,,0
False,,,bodyy,76561198013295375,False,False,8.878769,0,129,0,True,head,False,False,0,0,False,4160,m0NESY,76561198074762801,elite,17293822569176498178,30222795281,,0
False,,,Graviti,76561198179538505,False,False,14.415428,0,116,0,True,head,False,False,0,0,False,4198,NiKo,76561198041683378,elite,17293822569151660034,24807564696,,0
False,,,kyxsan,76561198057282432,False,False,14.471133,0,100,0,True,head,False,False,0,0,False,4554,Maka,76561198045739761,glock,17293822569155067908,46678859058,,0
False,Maka,76561198045739761,Graviti,76561198179538505,False,False,7.3667264,0,133,0,True,head,False,False,0,0,False,4610,kyxsan,76561198057282432,elite,17293822569151660034,24807564696,,0
False,,,Graviti,76561198179538505,False,False,7.272682,0,134,0,True,head,False,False,0,0,False,4947,TeSeS,76561197996678278,elite,17293822569151660034,24807564696,,0
False,,,m0NESY,76561198074762801,False,False,23.017326,13,90,0,True,head,False,False,0,0,False,9761,bodyy,76561198013295375,galilar,17293822569146023949,28026197576,,0
False,,,Maka,76561198045739761,False,False,9.899533,0,126,0,True,head,False,False,0,0,False,12218,NiKo,76561198041683378,m4a1_silencer,17293822569167192124,20840919166,,0
False,NiKo,76561198041683378,m0NESY,76561198074762801,False,False,12.839713,2,11,0,False,chest,False,False,1,0,False,12303,Maka,76561198045739761,m4a1,17293822569148252176,18910746995,,0
False,,,kyousuke,76561199032006224,False,False,52.17537,0,132,0,True,head,False,False,0,0,False,18148,Maka,76561198045739761,ak47,17293822569150152711,41166387524,,0
False,,,kyousuke,76561199032006224,False,False,20.776173,0,27,0,False,left_leg,False,False,0,0,False,19109,bodyy,76561198013295375,ak47,17293822569150152711,41166387524,,0
False,,,kyousuke,76561199032006224,False,False,31.805,4,34,0,False,stomach,False,False,0,0,True,26932,Lucky,76561198031890115,ak47,17293822569150152711,41166387524,,0
False,,,TeSeS,76561197996678278,False,False,7.294778,13,92,0,True,head,False,False,0,0,False,29134,Graviti,76561198179538505,galilar,17293822569102704653,0,,0
True,kyxsan,76561198057282432,TeSeS,76561197996678278,False,False,28.056412,0,115,0,True,head,False,False,0,0,False,29223,Maka,76561198045739761,galilar,17293822569102704653,0,,0
False,,,Ex3rcice,76561198168198200,False,False,9.902591,4,20,0,False,chest,False,False,0,0,False,29337,kyxsan,76561198057282432,famas,17293822569162932234,41068156769,,0
False,kyxsan,76561198057282432,TeSeS,76561197996678278,False,False,16.13982,3,23,0,False,chest,False,False,0,0,False,29342,Ex3rcice,76561198168198200,galilar,17293822569102704653,0,,0
False,,,m0NESY,76561198074762801,False,False,18.779907,0,32,0,False,chest,False,False,0,0,False,32073,bodyy,76561198013295375,m4a1,17293822569148252176,18910746995,,0
False,,,Graviti,76561198179538505,False,False,17.81399,4,22,0,False,chest,False,False,0,0,False,35929,TeSeS,76561197996678278,m4a1,17293822569158017040,45961725543,,0
False,,,kyxsan,76561198057282432,False,False,9.262816,0,129,0,True,head,False,False,0,0,False,36751,bodyy,76561198013295375,m4a1,17293822569148252176,18910746995,,0
False,,,kyousuke,76561199032006224,False,False,7.9949656,0,142,0,True,head,False,False,0,0,False,37139,Lucky,76561198031890115,ak47,17293822569150152711,41166387524,,0
False,,,NiKo,76561198041683378,False,False,6.847696,0,143,0,True,head,False,False,0,0,False,37693,Graviti,76561198179538505,ak47,17293822569173942279,46678859076,,0
False,,,NiKo,76561198041683378,False,False,6.2665195,4,27,0,False,chest,False,False,0,0,False,37731,Ex3rcice,76561198168198200,ak47,17293822569173942279,46678859076,,0
False,,,Maka,76561198045739761,False,False,33.484024,1,109,0,False,left_arm,False,False,0,0,False,46438,kyousuke,76561199032006224,awp,17293822569131933705,41389322764,,0
False,,,m0NESY,76561198074762801,False,False,40.390366,1,109,0,False,chest,False,False,0,0,True,49889,Maka,76561198045739761,awp,17293822569125249033,43287757702,,0
False,,,Graviti,76561198179538505,False,False,24.867167,0,14,0,False,right_leg,False,False,0,0,False,51804,TeSeS,76561197996678278,mp9,17293822569174401058,27609681371,,0
False,,,m0NESY,76561198074762801,False,False,36.911373,1,109,0,False,chest,False,False,0,0,False,56279,Maka,76561198045739761,awp,17293822569125249033,43287757702,,0
False,,,bodyy,76561198013295375,False,False,13.945161,5,25,0,False,chest,False,False,0,0,True,56676,TeSeS,76561197996678278,m4a1_silencer,17293822569126297660,27014592601,,0
False,,,kyousuke,76561199032006224,False,False,23.442617,3,27,0,False,chest,False,False,0,0,True,57838,Ex3rcice,76561198168198200,ak47,17293822569150152711,41166387524,,0
False,,,Graviti,76561198179538505,False,False,24.174131,6,29,0,False,stomach,False,False,0,0,False,57865,kyousuke,76561199032006224,m4a1_silencer,17293822569167192124,20840919166,,0
False,kyousuke,76561199032006224,NiKo,76561198041683378,False,False,43.686237,0,134,0,True,head,False,False,0,0,False,58024,Lucky,76561198031890115,ak47,17293822569173942279,46678859076,,0
False,,,m0NESY,76561198074762801,False,False,13.010433,1,111,0,False,chest,False,False,0,0,False,58324,Graviti,76561198179538505,awp,17293822569125249033,43287757702,,0
False,,,bodyy,76561198013295375,False,False,27.56368,6,29,0,False,stomach,False,False,0,0,False,63987,kyxsan,76561198057282432,m4a1_silencer,17293822569126297660,27014592601,,0
False,kyxsan,76561198057282432,TeSeS,76561197996678278,False,False,28.605516,0,124,0,True,head,False,False,0,0,False,63990,bodyy,76561198013295375,m4a1,17293822569148252176,18910746995,,0
False,,,NiKo,76561198041683378,False,False,19.948154,4,34,0,False,stomach,False,False,0,0,True,65621,Graviti,76561198179538505,ak47,17293822569121185799,31980002385,,0
False,kyousuke,76561199032006224,m0NESY,76561198074762801,False,False,36.239204,1,136,0,False,stomach,False,False,0,0,False,65649,Lucky,76561198031890115,awp,17293822569125249033,43287757702,,0
False,,,Graviti,76561198179538505,False,False,16.334003,0,24,0,False,right_leg,False,False,0,0,True,73343,kyousuke,76561199032006224,hkp2000,17293822569128198176,40744795789,,0
False,,,NiKo,76561198041683378,False,False,5.614881,0,75,0,True,head,False,False,1,0,False,74458,Maka,76561198045739761,ak47,17293822569121185799,31980002385,,0
False,,,TeSeS,76561197996678278,False,False,9.319526,0,129,0,True,head,False,False,0,0,False,74478,Graviti,76561198179538505,m4a1,17293822569148252176,18910746995,,0
False,,,Ex3rcice,76561198168198200,False,False,19.400711,5,25,0,False,chest,False,False,0,0,False,74534,TeSeS,76561197996678278,m4a1_silencer,17293822569179840572,44274685964,,0
