reason,round,tick,winner
bomb_defused,3,5627,CT
bomb_exploded,4,15355,T
bomb_exploded,5,23971,T
ct_killed,6,32073,T
bomb_exploded,7,40986,T
bomb_exploded,8,53694,T
bomb_exploded,9,61507,T
bomb_exploded,10,68223,T
t_killed,11,75744,CT
bomb_exploded,12,86844,T
ct_killed,13,92231,T
t_killed,14,100199,CT
bomb_exploded,15,121061,T
ct_killed,16,127469,T
ct_killed,17,134274,T
bomb_exploded,18,140381,T
bomb_defused,19,150769,CT
ct_killed,20,157691,T
time_ran_out,21,166651,CT
ct_killed,22,176800,T
time_ran_out,23,188734,CT
ct_killed,24,193529,T
ct_killed,25,200917,T
ct_killed,26,211315,T
bomb_defused,27,222099,CT
t_killed,28,230761,CT
t_killed,29,235373,CT
t_killed,30,242953,CT
ct_killed,31,250744,T
