assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,jottAAA,76561198410750263,False,False,13.113613,0,127,0,True,head,False,False,0,0,False,3143,rain,76561197997351207,usp_silencer,17293822569177546813,46834881512,,0
False,,,jottAAA,76561198410750263,False,False,25.833498,0,116,0,True,head,False,False,0,0,False,3217,frozen,76561198068422762,usp_silencer,17293822569177546813,46834881512,,0
False,,,XANTARES,76561198044118796,False,False,24.060863,0,117,0,True,head,False,False,0,0,False,3285,Twistzz,76561198016255205,usp_silencer,17293822569135734845,20861989282,,0
False,MAJ3R,76561197967432889,Wicadia,76561198812513923,False,False,3.4590833,0,143,0,True,head,False,False,0,0,False,5902,karrigan,76561197989430253,elite,17293822569143664642,14072342322,,0
False,,,broky,76561198201620490,False,False,17.473232,0,24,0,False,chest,False,False,0,0,False,5913,MAJ3R,76561197967432889,glock,17293822569102704644,0,,0
False,MAJ3R,76561197967432889,Wicadia,76561198812513923,False,False,12.58732,0,121,0,True,head,False,False,0,0,False,6071,broky,76561198201620490,elite,17293822569143664642,14072342322,,0
False,,,jottAAA,76561198410750263,False,False,19.344957,0,121,0,True,head,False,False,0,0,False,8850,karrigan,76561197989430253,m4a1_silencer,17293822569167192124,38669446202,,0
False,,,jottAAA,76561198410750263,True,False,20.513872,0,34,0,False,chest,False,False,0,0,False,8909,rain,76561197997351207,m4a1_silencer,17293822569167192124,38669446202,,0
False,XANTARES,76561198044118796,woxic,76561198083485506,False,False,22.0839,0,34,0,False,chest,False,False,0,0,False,9258,Twistzz,76561198016255205,m4a1_silencer,17293822569179840572,46271408179,,0
False,,,frozen,76561198068422762,False,False,9.219611,28,50,0,True,head,False,False,0,0,False,9320,XANTARES,76561198044118796,glock,17293822569105850372,42793691672,,0
False,,,frozen,76561198068422762,False,False,15.920138,6,11,0,False,chest,False,False,0,0,False,9443,jottAAA,76561198410750263,glock,17293822569105850372,42793691672,,0
False,,,woxic,76561198083485506,False,False,23.328087,0,34,0,False,chest,False,False,0,0,False,9510,broky,76561198201620490,m4a1_silencer,17293822569179840572,46271408179,,0
False,,,Wicadia,76561198812513923,False,False,4.6688013,0,47,0,False,stomach,False,False,0,0,False,9594,frozen,76561198068422762,m4a1_silencer,17293822569168306236,46563656854,,0
False,,,rain,76561197997351207,False,False,34.782658,1,1,0,False,generic,False,False,0,0,False,13638,jottAAA,76561198410750263,hegrenade,,,,0
False,woxic,76561198083485506,Wicadia,76561198812513923,False,True,1.3385818,5,26,0,False,chest,False,False,0,0,False,13799,rain,76561197997351207,m4a1_silencer,17293822569168306236,46563656854,,0
False,woxic,76561198083485506,Wicadia,76561198812513923,False,False,2.9680145,5,27,0,False,chest,False,False,0,0,False,13844,Twistzz,76561198016255205,m4a1_silencer,17293822569168306236,46563656854,,0
False,frozen,76561198068422762,broky,76561198201620490,False,False,3.3627424,4,28,0,False,chest,False,False,0,0,False,13930,Wicadia,76561198812513923,ak47,17293822569102704647,0,,0
False,Wicadia,76561198812513923,woxic,76561198083485506,False,False,16.938713,5,25,0,False,chest,False,False,0,0,False,13961,broky,76561198201620490,m4a1_silencer,17293822569179840572,46271408179,,0
False,rain,76561197997351207,frozen,76561198068422762,False,False,22.380835,15,108,0,True,head,False,False,0,0,False,14025,woxic,76561198083485506,ak47,17293822569163063303,45508740520,,0
False,,,frozen,76561198068422762,False,False,38.652405,15,105,0,True,head,False,False,0,0,False,14068,XANTARES,76561198044118796,ak47,17293822569163063303,45508740520,,0
False,XANTARES,76561198044118796,MAJ3R,76561197967432889,False,False,14.539548,5,25,0,False,stomach,False,False,0,0,False,16892,frozen,76561198068422762,famas,17293822569105784842,15327597835,,0
False,frozen,76561198068422762,karrigan,76561197989430253,False,False,12.1009,1,9,0,False,chest,False,False,1,0,False,17237,MAJ3R,76561197967432889,ak47,17293822569114501127,41281258180,,0
False,,,rain,76561197997351207,False,False,15.039473,0,37,0,False,stomach,False,False,0,0,False,19862,Wicadia,76561198812513923,galilar,17293822569118826509,23735009486,,0
False,,,frozen,76561198068422762,False,False,28.697672,0,34,0,False,left_arm,False,False,0,0,False,20692,MAJ3R,76561197967432889,ak47,17293822569163063303,45508740520,,0
False,,,jottAAA,76561198410750263,False,False,5.355875,5,107,0,True,head,False,False,0,0,False,20812,frozen,76561198068422762,fiveseven,17293822569154084867,35252276303,,0
True,broky,76561198201620490,karrigan,76561197989430253,False,False,24.954664,0,34,0,False,stomach,False,False,1,0,False,20879,woxic,76561198083485506,ak47,17293822569170534407,25617925729,,0
False,,,XANTARES,76561198044118796,False,False,20.137867,29,61,0,True,head,False,False,0,0,False,20898,karrigan,76561197989430253,usp_silencer,17293822569135734845,20861989282,,0
False,karrigan,76561197989430253,broky,76561198201620490,False,False,21.641706,0,36,0,False,stomach,False,False,0,0,False,21009,XANTARES,76561198044118796,galilar,17293822569102704653,0,,0
False,,,jottAAA,76561198410750263,False,False,24.070461,15,107,0,True,head,False,False,0,0,False,22532,broky,76561198201620490,ak47,17293822569163063303,45508740520,,0
False,,,jottAAA,76561198410750263,False,False,10.593632,15,110,0,True,head,False,False,0,0,False,22884,rain,76561197997351207,ak47,17293822569163063303,45508740520,,0
False,rain,76561197997351207,Twistzz,76561198016255205,False,False,34.094337,0,136,0,True,head,False,False,0,0,False,23518,jottAAA,76561198410750263,ak47,17293822569114501127,41281258180,,0
False,,,Twistzz,76561198016255205,False,False,16.449781,15,109,0,True,head,False,False,0,0,False,27438,jottAAA,76561198410750263,ak47,17293822569150152711,42656250015,,0
False,jottAAA,76561198410750263,Wicadia,76561198812513923,False,False,2.3156836,5,27,0,False,chest,False,False,0,0,True,27553,Twistzz,76561198016255205,m4a1_silencer,17293822569168306236,46563656854,,0
False,rain,76561197997351207,karrigan,76561197989430253,False,True,6.4266133,5,15,0,False,chest,False,False,0,0,True,27614,Wicadia,76561198812513923,mac10,17293822569131081745,6585382273,,0
True,karrigan,76561197989430253,rain,76561197997351207,False,False,17.978142,0,140,0,True,head,False,False,0,0,False,27988,XANTARES,76561198044118796,ak47,17293822569114501127,41281258180,,0
False,,,MAJ3R,76561197967432889,False,False,18.333023,18,85,0,True,head,False,False,0,0,False,28834,karrigan,76561197989430253,m4a1_silencer,17293822569179840572,46271408179,,0
False,,,MAJ3R,76561197967432889,False,False,25.343206,17,81,0,True,head,False,False,0,0,False,38798,frozen,76561198068422762,m4a1_silencer,17293822569179840572,46271408179,,0
False,,,woxic,76561198083485506,False,False,30.956594,1,109,0,False,chest,False,False,0,0,False,39358,karrigan,76561197989430253,awp,17293822569132261385,27842276765,,0
False,,,Wicadia,76561198812513923,False,False,5.597069,6,179,0,True,head,False,False,0,0,False,40019,broky,76561198201620490,deagle,17293822569165750273,27842276785,,0
False,,,rain,76561197997351207,False,False,4.4503083,0,143,0,True,head,False,False,0,0,False,40112,Wicadia,76561198812513923,ak47,17293822569114501127,41281258180,,0
False,,,woxic,76561198083485506,False,False,18.126554,1,138,0,False,stomach,False,False,0,0,False,40561,Twistzz,76561198016255205,awp,17293822569132261385,27842276765,,0
False,MAJ3R,76561197967432889,woxic,76561198083485506,False,False,20.60964,1,83,0,False,stomach,False,False,1,0,False,40759,rain,76561197997351207,awp,17293822569132261385,27842276765,,0
False,,,woxic,76561198083485506,False,False,37.476105,0,111,0,False,chest,False,False,0,0,True,43184,karrigan,76561197989430253,awp,17293822569132261385,27842276765,,0
False,,,XANTARES,76561198044118796,False,False,11.868191,0,142,0,True,head,False,False,0,0,False,44890,rain,76561197997351207,ak47,17293822569150152711,42656250015,,0
False,,,XANTARES,76561198044118796,False,False,25.614876,0,43,0,False,stomach,False,False,0,0,False,45062,broky,76561198201620490,ak47,17293822569150152711,42656250015,,0
False,,,XANTARES,76561198044118796,False,False,43.56221,0,134,0,True,head,False,False,0,0,False,45354,Twistzz,76561198016255205,ak47,17293822569150152711,42656250015,,0
False,,,MAJ3R,76561197967432889,False,False,23.736277,0,34,0,False,right_arm,False,False,0,0,False,45372,frozen,76561198068422762,m4a1_silencer,17293822569167192124,27842276779,,0
False,,,rain,76561197997351207,False,False,25.235855,15,108,0,True,head,False,False,0,0,True,48331,XANTARES,76561198044118796,ak47,17293822569114501127,41281258180,,0
False,XANTARES,76561198044118796,woxic,76561198083485506,False,False,11.943985,1,111,0,False,chest,False,False,0,0,False,51191,rain,76561197997351207,awp,17293822569132261385,27842276765,,0
False,,,broky,76561198201620490,False,False,13.968017,1,139,0,False,stomach,False,False,0,0,False,51206,woxic,76561198083485506,awp,17293822569102704649,0,,0
False,,,jottAAA,76561198410750263,False,False,15.059122,0,123,0,True,head,False,False,0,0,False,51355,broky,76561198201620490,m4a1_silencer,17293822569167192124,38669446202,,0
False,,,Wicadia,76561198812513923,False,False,5.0410585,19,90,0,True,head,False,False,0,0,False,51643,frozen,76561198068422762,m4a1_silencer,17293822569179840572,46271408179,,0
False,,,MAJ3R,76561197967432889,False,False,12.102282,18,88,0,True,head,False,False,0,0,False,52674,karrigan,76561197989430253,m4a1_silencer,17293822569167192124,27842276779,,0
False,Wicadia,76561198812513923,woxic,76561198083485506,False,False,36.965668,0,112,0,False,chest,False,False,0,0,False,61171,rain,76561197997351207,awp,17293822569132261385,27842276765,,0
False,XANTARES,76561198044118796,jottAAA,76561198410750263,False,False,58.167233,4,20,0,False,chest,False,False,0,0,True,61358,Twistzz,76561198016255205,m4a1_silencer,17293822569179840572,46271408179,,0
False,,,MAJ3R,76561197967432889,False,False,39.451916,0,109,0,True,head,False,False,0,0,False,61379,broky,76561198201620490,m4a1_silencer,17293822569167192124,27842276779,,0
False,,,MAJ3R,76561197967432889,False,False,13.302884,0,20,0,False,stomach,False,False,1,0,False,61596,frozen,76561198068422762,m4a1_silencer,17293822569167192124,27842276779,,0
False,jottAAA,76561198410750263,MAJ3R,76561197967432889,False,False,40.863804,0,108,0,True,head,False,False,0,0,False,61769,karrigan,76561197989430253,m4a1_silencer,17293822569167192124,27842276779,,0
False,,,XANTARES,76561198044118796,False,False,3.4349039,16,111,0,True,head,False,False,0,0,False,67580,karrigan,76561197989430253,ak47,17293822569170534407,25617925729,,0
False,Twistzz,76561198016255205,frozen,76561198068422762,False,False,5.188554,5,34,0,False,stomach,False,False,0,0,True,68474,jottAAA,76561198410750263,ak47,17293822569163063303,45508740520,,0
False,woxic,76561198083485506,Wicadia,76561198812513923,False,False,12.449682,5,25,0,False,chest,False,False,0,0,False,68607,Twistzz,76561198016255205,m4a1_silencer,17293822569168306236,46563656854,,0
False,,,XANTARES,76561198044118796,False,False,17.69478,15,109,0,True,head,False,False,0,0,False,69030,broky,76561198201620490,ak47,17293822569170534407,25617925729,,0
False,,,XANTARES,76561198044118796,False,False,19.845171,15,108,0,True,head,False,False,0,0,False,70626,rain,76561197997351207,ak47,17293822569170534407,25617925729,,0
False,jottAAA,76561198410750263,XANTARES,76561198044118796,False,False,32.61835,3,27,0,False,chest,False,False,0,0,False,70661,frozen,76561198068422762,ak47,17293822569170534407,25617925729,,0
True,broky,76561198201620490,karrigan,76561197989430253,False,False,7.4127126,1,27,0,False,chest,False,False,0,0,False,75850,MAJ3R,76561197967432889,tec9,17293822569102704670,0,,0
False,,,karrigan,76561197989430253,False,False,9.869412,5,100,0,True,head,False,False,0,0,False,76009,Wicadia,76561198812513923,tec9,17293822569102704670,0,,0
False,,,woxic,76561198083485506,False,False,65.80257,1,106,0,False,left_arm,False,False,0,0,False,77773,karrigan,76561197989430253,awp,17293822569132261385,27842276765,,0
False,,,jottAAA,76561198410750263,False,False,30.40985,6,29,0,False,stomach,True,False,0,0,False,78914,rain,76561197997351207,m4a1_silencer,17293822569167192124,38669446202,,0
False,,,woxic,76561198083485506,False,False,24.323273,1,110,0,False,chest,True,False,0,0,False,78962,frozen,76561198068422762,awp,17293822569132261385,27842276765,,0
False,rain,76561197997351207,broky,76561198201620490,False,False,31.862432,4,23,0,False,left_arm,True,False,0,0,False,78978,jottAAA,76561198410750263,m4a1_silencer,17293822569167192124,27842276779,,0
False,,,karrigan,76561197989430253,False,False,6.8876786,16,110,0,True,head,False,False,0,0,False,81513,Wicadia,76561198812513923,ak47,17293822569170534407,25617925729,,0
False,,,karrigan,76561197989430253,False,False,29.198416,15,107,0,True,head,False,False,0,0,True,81764,XANTARES,76561198044118796,ak47,17293822569170534407,25617925729,,0
False,Twistzz,76561198016255205,rain,76561197997351207,False,False,24.635244,4,33,0,False,stomach,False,False,0,0,False,85099,MAJ3R,76561197967432889,ak47,17293822569114501127,41281258180,,0
False,MAJ3R,76561197967432889,woxic,76561198083485506,False,False,19.924034,1,111,0,False,chest,False,False,0,0,False,85448,rain,76561197997351207,awp,17293822569132261385,27842276765,,0
False,broky,76561198201620490,frozen,76561198068422762,False,False,7.3802943,29,52,0,True,head,False,False,0,0,False,86534,woxic,76561198083485506,glock,17293822569105850372,42793691672,,0
False,,,Twistzz,76561198016255205,False,False,8.375281,15,110,0,True,head,False,False,0,0,False,86842,jottAAA,76561198410750263,ak47,17293822569114501127,41281258180,,0
False,,,frozen,76561198068422762,False,False,12.805339,0,22,0,False,right_leg,False,False,0,0,False,104639,jottAAA,76561198410750263,elite,17293822569151660034,34659601124,,0
False,,,karrigan,76561197989430253,False,False,16.547625,0,124,0,True,head,False,False,0,0,False,104740,woxic,76561198083485506,usp_silencer,17293822569170862141,30147926834,,0
False,,,MAJ3R,76561197967432889,False,False,12.712851,0,103,0,True,head,False,False,0,0,False,104881,frozen,76561198068422762,glock,17293822569125838852,27842276795,,0
False,frozen,76561198068422762,karrigan,76561197989430253,False,False,18.818712,0,122,0,True,head,False,False,0,0,False,104887,MAJ3R,76561197967432889,usp_silencer,17293822569170862141,30147926834,,0
False,,,broky,76561198201620490,False,False,25.781149,0,116,0,True,head,False,False,0,0,False,105312,Wicadia,76561198812513923,usp_silencer,17293822569102704701,0,,0
False,,,XANTARES,76561198044118796,False,False,13.778999,0,101,0,True,head,False,False,0,0,False,105324,karrigan,76561197989430253,glock,17293822569105195012,16140959508,,0
False,,,rain,76561197997351207,False,False,9.814358,0,130,0,True,head,False,False,0,0,False,105834,XANTARES,76561198044118796,usp_silencer,17293822569172500541,42822114869,,0
False,,,broky,76561198201620490,False,False,7.6950808,0,127,0,True,head,False,False,0,0,False,111119,Wicadia,76561198812513923,m4a1_silencer,17293822569179119676,44892306957,,0
False,,,broky,76561198201620490,False,False,4.726195,0,129,0,True,head,False,False,0,0,False,111223,MAJ3R,76561197967432889,m4a1_silencer,17293822569179119676,44892306957,,0
False,,,broky,76561198201620490,False,False,43.071045,0,107,0,True,head,False,False,0,0,False,111521,woxic,76561198083485506,m4a1_silencer,17293822569179119676,44892306957,,0
False,MAJ3R,76561197967432889,jottAAA,76561198410750263,False,True,6.049855,29,53,0,True,head,False,False,0,0,False,111524,broky,76561198201620490,glock,17293822569102704644,0,,0
False,,,rain,76561197997351207,False,False,26.861969,0,31,0,False,chest,False,False,0,0,False,111779,XANTARES,76561198044118796,m4a1,17293822569148252176,40209621740,,0
False,frozen,76561198068422762,Twistzz,76561198016255205,False,False,8.565476,0,36,0,False,chest,False,False,0,0,False,111788,jottAAA,76561198410750263,m4a1_silencer,17293822569109651516,41487540675,,0
False,,,jottAAA,76561198410750263,False,False,23.388632,15,108,0,True,head,False,False,0,0,False,116632,frozen,76561198068422762,ak47,17293822569149038599,46834886873,,0
False,,,rain,76561197997351207,False,False,11.597715,4,23,0,False,chest,False,False,0,0,False,116731,Wicadia,76561198812513923,m4a1,17293822569148252176,40209621740,,0
False,frozen,76561198068422762,Twistzz,76561198016255205,False,False,24.803177,5,24,0,False,neck,False,False,0,0,False,116791,jottAAA,76561198410750263,m4a1_silencer,17293822569109651516,41487540675,,0
False,broky,76561198201620490,Twistzz,76561198016255205,False,False,42.24074,16,75,0,True,head,False,False,0,0,False,116867,XANTARES,76561198044118796,m4a1_silencer,17293822569109651516,41487540675,,0
False,,,broky,76561198201620490,False,False,17.57949,18,85,0,True,head,False,False,0,0,False,116976,woxic,76561198083485506,m4a1_silencer,17293822569179119676,44892306957,,0
False,,,broky,76561198201620490,False,False,37.351185,5,436,0,True,head,False,False,0,0,False,127006,XANTARES,76561198044118796,awp,17293822569102704649,0,,0
