assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,Wicadia,76561198812513923,False,False,16.261599,0,113,0,True,head,False,False,0,0,True,3229,rain,76561197997351207,elite,17293822569143664642,14072342322,,0
False,,,frozen,76561198068422762,False,False,28.39701,0,83,0,True,head,False,False,0,0,False,4235,jottAAA,76561198410750263,glock,17293822569105850372,42793691672,,0
False,,,woxic,76561198083485506,False,False,26.479807,0,115,0,True,head,False,False,0,0,False,4396,frozen,76561198068422762,hkp2000,17293822569116532768,46402365308,,0
False,rain,76561197997351207,karrigan,76561197989430253,False,False,25.211655,0,87,0,True,head,False,False,0,0,False,4549,woxic,76561198083485506,glock,17293822569105195012,18469951349,,0
False,,,broky,76561198201620490,False,False,12.994762,0,102,0,True,head,False,False,0,0,False,4632,MAJ3R,76561197967432889,glock,17293822569102704644,0,,0
False,,,Twistzz,76561198016255205,False,False,11.962411,0,103,0,True,head,False,False,0,0,False,4701,Wicadia,76561198812513923,glock,17293822569183117316,34920592806,,0
False,frozen,76561198068422762,karrigan,76561197989430253,False,False,28.045881,0,84,0,True,head,False,False,0,0,False,4762,XANTARES,76561198044118796,glock,17293822569105195012,18469951349,,0
False,,,broky,76561198201620490,False,False,13.291121,0,141,0,True,head,False,False,0,0,False,8888,XANTARES,76561198044118796,ak47,17293822569102704647,0,,0
False,,,broky,76561198201620490,False,False,10.557592,15,110,0,True,head,False,False,0,0,False,9306,Wicadia,76561198812513923,ak47,17293822569102704647,0,,0
True,rain,76561197997351207,frozen,76561198068422762,False,False,25.916029,0,14,0,False,left_leg,False,False,0,0,False,9990,woxic,76561198083485506,mac10,17293822569105588241,34469829485,,0
False,,,jottAAA,76561198410750263,False,False,16.568233,1,22,0,False,chest,False,False,0,0,False,11058,frozen,76561198068422762,fiveseven,17293822569154084867,35252276303,,0
False,frozen,76561198068422762,Twistzz,76561198016255205,False,False,30.222034,12,88,0,True,head,False,False,0,0,False,11597,jottAAA,76561198410750263,galilar,17293822569145106445,30149680710,,0
False,,,rain,76561197997351207,False,False,16.287685,0,117,0,True,head,False,False,0,0,False,16508,Wicadia,76561198812513923,galilar,17293822569118826509,23735009486,,0
False,,,frozen,76561198068422762,False,False,5.5529113,0,105,0,True,head,False,False,0,0,False,18744,woxic,76561198083485506,mac10,17293822569105588241,34469829485,,0
False,broky,76561198201620490,frozen,76561198068422762,False,True,4.692074,0,33,0,False,stomach,False,False,0,0,False,19297,jottAAA,76561198410750263,mac10,17293822569105588241,34469829485,,0
False,,,rain,76561197997351207,False,False,37.429325,0,22,0,False,left_leg,False,False,0,0,True,19395,MAJ3R,76561197967432889,galilar,17293822569118826509,23735009486,,0
False,,,frozen,76561198068422762,False,False,13.027761,0,23,0,False,chest,False,False,0,0,False,19882,XANTARES,76561198044118796,mac10,17293822569105588241,34469829485,,0
False,,,jottAAA,76561198410750263,True,False,12.583212,5,25,0,False,chest,False,False,0,0,False,24737,frozen,76561198068422762,m4a1_silencer,17293822569167192124,38669446202,,0
