attacker_steamid,player_name,side,kills,headshot_kills,avg_kill_distance,total_damage,deaths,kd_ratio,headshot_pct,match_id,map_name
76561198002942763,acoR,,20,4,18.634235,2469,24,0.8333333333333334,20.0,ecstatic-vs-havu-m3-overpass,de_overpass
76561198012528425,Uli,,36,21,19.32219,2944,18,2.0,58.3,ecstatic-vs-havu-m3-overpass,de_overpass
76561198084607254,TMB,,18,13,11.522978,1528,24,0.75,72.2,ecstatic-vs-havu-m3-overpass,de_overpass
76561198088781077,alxc,,21,12,15.290486,1609,25,0.84,57.1,ecstatic-vs-havu-m3-overpass,de_overpass
76561198129799489,Anlelele,,24,9,16.326561,1396,25,0.96,37.5,ecstatic-vs-havu-m3-overpass,de_overpass
76561198153799679,ottob,,25,6,23.221025,3161,18,1.3888888888888888,24.0,ecstatic-vs-havu-m3-overpass,de_overpass
76561198155303242,nut nut,,24,15,15.044227,2132,21,1.1428571428571428,62.5,ecstatic-vs-havu-m3-overpass,de_overpass
76561198246097140,p3kko,,15,9,16.200274,1162,25,0.6,60.0,ecstatic-vs-havu-m3-overpass,de_overpass
76561198248745402,puuha,,21,9,18.655186,1445,25,0.84,42.9,ecstatic-vs-havu-m3-overpass,de_overpass
76561198308941038,sirah,,25,11,13.345321,1664,24,1.0416666666666667,44.0,ecstatic-vs-havu-m3-overpass,de_overpass
