round_num,tick,attacker_name,attacker_steamid,attacker_side,victim_name,victim_steamid,victim_side,weapon,headshot,penetrated,thrusmoke,attackerblind,noscope,attackerinair,distance,dmg_health,dmg_armor,hitgroup,assister_name,assister_steamid,assistedflash,match_id,map_name
2,3797,rigoN,76561198172837021,,interz,76561198208074320,,usp_silencer,True,0,False,False,False,False,11.768344,128,0,head,sdy,76561198040577200,True,ence-vs-1win-m1-train,de_train
2,3813,myltsi,76561198803032451,,lattykk,76561198214009861,,usp_silencer,False,0,False,False,False,False,3.8823676,33,0,chest,sdy,76561198040577200,True,ence-vs-1win-m1-train,de_train
2,3895,rigoN,76561198172837021,,HObbit,76561198028292758,,usp_silencer,True,0,False,False,False,False,24.95423,116,0,head,,,False,ence-vs-1win-m1-train,de_train
2,4027,oz1k,76561198297313625,,rigoN,76561198172837021,,glock,True,0,False,False,False,False,8.286195,108,0,head,,,False,ence-vs-1win-m1-train,de_train
2,4249,podi,76561198128931118,,oz1k,76561198297313625,,usp_silencer,True,0,False,False,False,False,10.153783,129,0,head,,,False,ence-vs-1win-m1-train,de_train
2,4303,Neityu,76561198971718392,,cronuss,76561198152411501,,usp_silencer,True,0,False,False,False,False,8.191457,131,0,head,,,False,ence-vs-1win-m1-train,de_train
3,7718,cronuss,76561198152411501,,sdy,76561198040577200,,tec9,True,0,False,False,False,False,9.686806,100,5,head,,,False,ence-vs-1win-m1-train,de_train
3,10187,podi,76561198128931118,,HObbit,76561198028292758,,famas,False,0,False,False,False,False,6.1733174,20,4,chest,,,False,ence-vs-1win-m1-train,de_train
3,10435,lattykk,76561198214009861,,myltsi,76561198803032451,,deagle,True,0,False,False,False,False,27.505272,135,4,head,,,False,ence-vs-1win-m1-train,de_train
3,10626,oz1k,76561198297313625,,rigoN,76561198172837021,,galilar,True,0,False,False,False,False,11.544136,91,13,head,,,False,ence-vs-1win-m1-train,de_train
5,26513,sdy,76561198040577200,,lattykk,76561198214009861,,mp9,False,0,False,False,False,False,17.621832,12,4,chest,Neityu,76561198971718392,False,ence-vs-1win-m1-train,de_train
5,26564,rigoN,76561198172837021,,cronuss,76561198152411501,,famas,True,0,False,True,False,False,23.168941,77,16,head,Neityu,76561198971718392,False,ence-vs-1win-m1-train,de_train
5,26734,HObbit,76561198028292758,,rigoN,76561198172837021,,galilar,False,0,False,False,False,False,23.19361,21,0,left_leg,cronuss,76561198152411501,False,ence-vs-1win-m1-train,de_train
5,26791,sdy,76561198040577200,,HObbit,76561198028292758,,mp9,False,0,False,False,False,False,17.83122,16,5,stomach,rigoN,76561198172837021,False,ence-vs-1win-m1-train,de_train
5,27590,oz1k,76561198297313625,,podi,76561198128931118,,m4a1_silencer,False,0,False,False,False,False,18.350227,24,5,chest,,,False,ence-vs-1win-m1-train,de_train
5,29456,sdy,76561198040577200,,interz,76561198208074320,,ak47,True,0,False,False,False,False,42.77104,104,15,head,,,False,ence-vs-1win-m1-train,de_train
5,29752,oz1k,76561198297313625,,Neityu,76561198971718392,,m4a1_silencer,False,0,False,False,False,False,13.540491,24,5,neck,,,False,ence-vs-1win-m1-train,de_train
5,31839,sdy,76561198040577200,,oz1k,76561198297313625,,ak47,False,0,False,False,False,False,19.338484,26,0,right_leg,Neityu,76561198971718392,False,ence-vs-1win-m1-train,de_train
6,39383,cronuss,76561198152411501,,Neityu,76561198971718392,,ak47,True,0,False,False,False,False,8.643928,142,0,head,lattykk,76561198214009861,True,ence-vs-1win-m1-train,de_train
6,39491,oz1k,76561198297313625,,myltsi,76561198803032451,,ak47,True,0,False,False,False,False,8.347698,142,0,head,,,False,ence-vs-1win-m1-train,de_train
6,39614,sdy,76561198040577200,,HObbit,76561198028292758,,ak47,True,0,False,False,False,False,46.05944,103,15,head,,,False,ence-vs-1win-m1-train,de_train
