attacker_steamid,player_name,side,kills,headshot_kills,avg_kill_distance,total_damage,deaths,kd_ratio,headshot_pct,match_id,map_name
76561198028292758,HObbit,,21,10,19.705166,1318,22,0.9545454545454546,47.6,ence-vs-1win-m1-train,de_train
76561198040577200,sdy,,24,10,23.142847,1456,23,1.0434782608695652,41.7,ence-vs-1win-m1-train,de_train
76561198128931118,podi,,24,10,20.243086,2754,20,1.2,41.7,ence-vs-1win-m1-train,de_train
76561198152411501,cronuss,,31,18,13.656788,2113,23,1.3478260869565217,58.1,ence-vs-1win-m1-train,de_train
76561198172837021,rigoN,,21,14,19.010332,1499,28,0.75,66.7,ence-vs-1win-m1-train,de_train
76561198208074320,interz,,15,8,16.182673,1078,21,0.7142857142857143,53.3,ence-vs-1win-m1-train,de_train
76561198214009861,lattykk,,28,10,29.518381,3405,21,1.3333333333333333,35.7,ence-vs-1win-m1-train,de_train
76561198297313625,oz1k,,24,14,16.531223,1864,22,1.0909090909090908,58.3,ence-vs-1win-m1-train,de_train
76561198803032451,myltsi,,22,11,21.086168,1587,22,1.0,50.0,ence-vs-1win-m1-train,de_train
76561198971718392,Neityu,,18,9,15.752916,1230,26,0.6923076923076923,50.0,ence-vs-1win-m1-train,de_train
