tick,winner,reason,winning_team,round_num,tick_start,tick_end,bomb_planted,bomb_defused,bomb_exploded,match_id,map_name
0,,,,1,0,0,False,False,False,ence-vs-1win-m1-train,de_train
5076,CT,bomb_defused,CT,2,0,5076,True,True,False,ence-vs-1win-m1-train,de_train
14049,T,bomb_exploded,T,3,5076,14049,True,False,True,ence-vs-1win-m1-train,de_train
23915,T,bomb_exploded,T,4,14049,23915,True,False,True,ence-vs-1win-m1-train,de_train
31839,CT,t_killed,CT,5,23915,31839,False,False,False,ence-vs-1win-m1-train,de_train
41197,CT,bomb_defused,CT,6,31839,41197,True,True,False,ence-vs-1win-m1-train,de_train
49819,CT,t_killed,CT,7,41197,49819,False,False,False,ence-vs-1win-m1-train,de_train
57766,CT,t_killed,CT,8,49819,57766,False,False,False,ence-vs-1win-m1-train,de_train
66726,CT,time_ran_out,CT,9,57766,66726,False,False,False,ence-vs-1win-m1-train,de_train
76988,CT,t_killed,CT,10,66726,76988,False,False,False,ence-vs-1win-m1-train,de_train
86876,T,bomb_exploded,T,11,76988,86876,True,False,True,ence-vs-1win-m1-train,de_train
96624,CT,bomb_defused,CT,12,86876,96624,True,True,False,ence-vs-1win-m1-train,de_train
104461,T,ct_killed,T,13,96624,104461,True,False,False,ence-vs-1win-m1-train,de_train
109841,CT,t_killed,CT,14,104461,109841,False,False,False,ence-vs-1win-m1-train,de_train
117587,CT,t_killed,CT,15,109841,117587,False,False,False,ence-vs-1win-m1-train,de_train
124013,CT,t_killed,CT,16,117587,124013,False,False,False,ence-vs-1win-m1-train,de_train
133374,T,ct_killed,T,17,124013,133374,True,False,False,ence-vs-1win-m1-train,de_train
140782,T,bomb_exploded,T,18,133374,140782,True,False,True,ence-vs-1win-m1-train,de_train
145760,T,ct_killed,T,19,140782,145760,False,False,False,ence-vs-1win-m1-train,de_train
155113,CT,t_killed,CT,20,145760,155113,False,False,False,ence-vs-1win-m1-train,de_train
164920,T,ct_killed,T,21,155113,164920,True,False,False,ence-vs-1win-m1-train,de_train
175126,CT,bomb_defused,CT,22,164920,175126,True,True,False,ence-vs-1win-m1-train,de_train
184144,CT,bomb_defused,CT,23,175126,184144,True,True,False,ence-vs-1win-m1-train,de_train
188302,CT,t_killed,CT,24,184144,188302,False,False,False,ence-vs-1win-m1-train,de_train
196892,CT,t_killed,CT,25,188302,196892,False,False,False,ence-vs-1win-m1-train,de_train
207536,T,ct_killed,T,26,196892,207536,True,False,False,ence-vs-1win-m1-train,de_train
213024,CT,bomb_defused,CT,27,207536,213024,True,True,False,ence-vs-1win-m1-train,de_train
219201,CT,t_killed,CT,28,213024,219201,False,False,False,ence-vs-1win-m1-train,de_train
227088,CT,t_killed,CT,29,219201,227088,False,False,False,ence-vs-1win-m1-train,de_train
235511,CT,t_killed,CT,30,227088,235511,False,False,False,ence-vs-1win-m1-train,de_train
243795,T,ct_killed,T,31,235511,243795,False,False,False,ence-vs-1win-m1-train,de_train
252759,T,ct_killed,T,32,243795,252759,False,False,False,ence-vs-1win-m1-train,de_train
261518,T,ct_killed,T,33,252759,261518,True,False,False,ence-vs-1win-m1-train,de_train
272782,T,ct_killed,T,34,261518,272782,True,False,False,ence-vs-1win-m1-train,de_train
278236,CT,t_killed,CT,35,272782,278236,False,False,False,ence-vs-1win-m1-train,de_train
