attacker_steamid,player_name,side,kills,headshot_kills,avg_kill_distance,total_damage,deaths,kd_ratio,headshot_pct,match_id,map_name
76561198003142163,⑳ ⦻ ★ woody,,21,4,34.910515,2651,24,0.875,19.0,fake-do-biru-vs-oddik-m1-dust2,de_dust2
76561198025578864,⑲ ✓ PKL,,28,16,20.354712,2324,23,1.2173913043478262,57.1,fake-do-biru-vs-oddik-m1-dust2,de_dust2
76561198029203966,⑳ ⦻ naitte,,27,16,18.291576,2251,41,0.6585365853658537,59.3,fake-do-biru-vs-oddik-m1-dust2,de_dust2
76561198039986599,⑳ 🜲 ★ coldzeraa,,18,11,16.595757,1257,20,0.9,61.1,fake-do-biru-vs-oddik-m1-dust2,de_dust2
76561198201457085,⑳ ✓ xureba,,19,11,22.005987,1642,22,0.8636363636363636,57.9,fake-do-biru-vs-oddik-m1-dust2,de_dust2
76561198242601266,⑳ ✓ detr0ittJ,,37,23,27.84632,6077,22,1.6818181818181819,62.2,fake-do-biru-vs-oddik-m1-dust2,de_dust2
76561198249302730,⑳ 🜲 hardzao,,39,39,14.759282,5320,25,1.56,100.0,fake-do-biru-vs-oddik-m1-dust2,de_dust2
76561198257770857,⑳ ⦻ ksloks,,28,13,22.672579,2853,40,0.7,46.4,fake-do-biru-vs-oddik-m1-dust2,de_dust2
76561198262803490,⑳ ✓ ★ Ceruttera,,21,9,19.20745,1175,30,0.7,42.9,fake-do-biru-vs-oddik-m1-dust2,de_dust2
76561198922682627,⑳ ✓ lukiz,,29,24,28.547113,5222,22,1.3181818181818181,82.8,fake-do-biru-vs-oddik-m1-dust2,de_dust2
