tick,winner,reason,winning_team,round_num,tick_start,tick_end,bomb_planted,bomb_defused,bomb_exploded,match_id,map_name
190818,CT,t_killed,CT,1,0,190818,False,False,False,fake-do-biru-vs-oddik-m1-dust2,de_dust2
201830,CT,bomb_defused,CT,2,190818,201830,True,True,False,fake-do-biru-vs-oddik-m1-dust2,de_dust2
212763,T,bomb_exploded,T,3,201830,212763,True,False,True,fake-do-biru-vs-oddik-m1-dust2,de_dust2
218693,T,ct_killed,T,4,212763,218693,False,False,False,fake-do-biru-vs-oddik-m1-dust2,de_dust2
228941,T,bomb_exploded,T,5,218693,228941,True,False,True,fake-do-biru-vs-oddik-m1-dust2,de_dust2
239314,CT,t_killed,CT,6,228941,239314,False,False,False,fake-do-biru-vs-oddik-m1-dust2,de_dust2
246780,T,ct_killed,T,7,239314,246780,True,False,False,fake-do-biru-vs-oddik-m1-dust2,de_dust2
253512,T,ct_killed,T,8,246780,253512,False,False,False,fake-do-biru-vs-oddik-m1-dust2,de_dust2
259640,T,ct_killed,T,9,253512,259640,True,False,False,fake-do-biru-vs-oddik-m1-dust2,de_dust2
273805,T,bomb_exploded,T,10,259640,273805,True,False,True,fake-do-biru-vs-oddik-m1-dust2,de_dust2
280373,CT,t_killed,CT,11,273805,280373,False,False,False,fake-do-biru-vs-oddik-m1-dust2,de_dust2
289461,CT,time_ran_out,CT,12,280373,289461,False,False,False,fake-do-biru-vs-oddik-m1-dust2,de_dust2
299017,CT,bomb_defused,CT,13,289461,299017,True,True,False,fake-do-biru-vs-oddik-m1-dust2,de_dust2
305851,T,ct_killed,T,14,299017,305851,False,False,False,fake-do-biru-vs-oddik-m1-dust2,de_dust2
314939,CT,time_ran_out,CT,15,305851,314939,False,False,False,fake-do-biru-vs-oddik-m1-dust2,de_dust2
321215,CT,t_killed,CT,16,314939,321215,False,False,False,fake-do-biru-vs-oddik-m1-dust2,de_dust2
327155,CT,t_killed,CT,17,321215,327155,False,False,False,fake-do-biru-vs-oddik-m1-dust2,de_dust2
335721,T,bomb_exploded,T,18,327155,335721,True,False,True,fake-do-biru-vs-oddik-m1-dust2,de_dust2
344417,CT,t_killed,CT,19,335721,344417,False,False,False,fake-do-biru-vs-oddik-m1-dust2,de_dust2
351525,CT,bomb_defused,CT,20,344417,351525,True,True,False,fake-do-biru-vs-oddik-m1-dust2,de_dust2
358344,CT,t_killed,CT,21,351525,358344,False,False,False,fake-do-biru-vs-oddik-m1-dust2,de_dust2
