attacker_steamid,player_name,side,kills,headshot_kills,avg_kill_distance,total_damage,deaths,kd_ratio,headshot_pct,match_id,map_name
76561198003142163,⑳ woody,,16,5,17.13501,2025,15,1.0666666666666667,31.2,fake-do-biru-vs-oddik-m2-train,de_train
76561198025578864,⑲ PKL,,9,4,14.1436825,657,21,0.42857142857142855,44.4,fake-do-biru-vs-oddik-m2-train,de_train
76561198029203966,⑳ naitte,,32,19,15.418014,2019,87,0.367816091954023,59.4,fake-do-biru-vs-oddik-m2-train,de_train
76561198039986599,⑳ coldzeraa,,13,7,23.838907,907,10,1.3,53.8,fake-do-biru-vs-oddik-m2-train,de_train
76561198201457085,⑳ xureba,,26,14,13.988103,2116,21,1.2380952380952381,53.8,fake-do-biru-vs-oddik-m2-train,de_train
76561198242601266,⑳ detr0ittJ,,63,62,15.75212,9725,18,3.5,98.4,fake-do-biru-vs-oddik-m2-train,de_train
76561198249302730,⑳ hardzao,,65,76,10.252616,9992,20,3.25,116.9,fake-do-biru-vs-oddik-m2-train,de_train
76561198257770857,⑳ ksloks,,26,16,16.090626,2296,39,0.6666666666666666,61.5,fake-do-biru-vs-oddik-m2-train,de_train
76561198262803490,⑳ Ceruttera,,14,9,17.364742,1178,21,0.6666666666666666,64.3,fake-do-biru-vs-oddik-m2-train,de_train
76561198922682627,⑳ lukiz,,10,8,21.36703,1177,22,0.45454545454545453,80.0,fake-do-biru-vs-oddik-m2-train,de_train
