tick,winner,reason,winning_team,round_num,tick_start,tick_end,bomb_planted,bomb_defused,bomb_exploded,match_id,map_name
54816,T,ct_killed,T,1,0,54816,False,False,False,fake-do-biru-vs-oddik-m2-train,de_train
65573,T,ct_killed,T,2,54816,65573,True,False,False,fake-do-biru-vs-oddik-m2-train,de_train
74168,T,ct_killed,T,3,65573,74168,True,False,False,fake-do-biru-vs-oddik-m2-train,de_train
89481,T,ct_killed,T,4,74168,89481,True,False,False,fake-do-biru-vs-oddik-m2-train,de_train
96659,CT,bomb_defused,CT,5,89481,96659,True,True,False,fake-do-biru-vs-oddik-m2-train,de_train
102448,CT,t_killed,CT,6,96659,102448,False,False,False,fake-do-biru-vs-oddik-m2-train,de_train
109555,T,bomb_exploded,T,7,102448,109555,True,False,True,fake-do-biru-vs-oddik-m2-train,de_train
116288,T,ct_killed,T,8,109555,116288,True,False,False,fake-do-biru-vs-oddik-m2-train,de_train
122322,T,ct_killed,T,9,116288,122322,True,False,False,fake-do-biru-vs-oddik-m2-train,de_train
130999,CT,t_killed,CT,10,122322,130999,False,False,False,fake-do-biru-vs-oddik-m2-train,de_train
135835,CT,t_killed,CT,11,130999,135835,False,False,False,fake-do-biru-vs-oddik-m2-train,de_train
142641,CT,bomb_defused,CT,12,135835,142641,True,True,False,fake-do-biru-vs-oddik-m2-train,de_train
150122,T,ct_killed,T,13,142641,150122,True,False,False,fake-do-biru-vs-oddik-m2-train,de_train
160304,CT,t_killed,CT,14,150122,160304,False,False,False,fake-do-biru-vs-oddik-m2-train,de_train
163481,CT,t_killed,CT,15,160304,163481,False,False,False,fake-do-biru-vs-oddik-m2-train,de_train
172985,T,bomb_exploded,T,16,163481,172985,True,False,True,fake-do-biru-vs-oddik-m2-train,de_train
182073,CT,time_ran_out,CT,17,172985,182073,False,False,False,fake-do-biru-vs-oddik-m2-train,de_train
189951,CT,t_killed,CT,18,182073,189951,False,False,False,fake-do-biru-vs-oddik-m2-train,de_train
196879,CT,t_killed,CT,19,189951,196879,False,False,False,fake-do-biru-vs-oddik-m2-train,de_train
201819,CT,t_killed,CT,20,196879,201819,False,False,False,fake-do-biru-vs-oddik-m2-train,de_train
