assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,ZywOo,76561198113666193,False,False,18.737242,0,107,0,True,head,False,False,0,0,False,2985,kyxsan,76561198057282432,elite,17293822569105784834,11081995323,,0
True,mezii,76561197973140692,flameZ,76561197978835160,False,False,5.784877,0,135,0,True,head,False,False,0,0,False,3172,kyousuke,76561199032006224,usp_silencer,17293822569135734845,34768257646,,0
False,,,m0NESY,76561198074762801,False,False,3.9223666,0,115,0,True,head,False,False,0,0,False,3252,flameZ,76561197978835160,glock,17293822569105850372,39894292290,,0
False,,,mezii,76561197973140692,False,False,31.743559,0,111,0,True,head,False,False,0,0,False,3255,NiKo,76561198041683378,usp_silencer,17293822569121710141,42100201314,,0
False,,,m0NESY,76561198074762801,False,False,8.202495,0,108,0,True,head,False,False,0,0,True,3341,apEX,76561197989744167,glock,17293822569105850372,39894292290,,0
False,,,ropz,76561197991272318,False,False,8.4619,0,132,0,True,head,False,False,0,0,False,3718,m0NESY,76561198074762801,usp_silencer,17293822569135734845,43490047096,,0
False,,,ropz,76561197991272318,False,False,5.5410323,0,135,0,True,head,False,False,0,0,False,3754,TeSeS,76561197996678278,usp_silencer,17293822569135734845,43490047096,,0
False,,,apEX,76561197989744167,False,False,13.170259,0,36,0,False,stomach,False,False,0,0,False,10853,NiKo,76561198041683378,famas,17293822569161949194,33549714814,,0
False,NiKo,76561198041683378,TeSeS,76561197996678278,False,False,7.167,29,52,0,True,head,False,False,0,0,False,10919,apEX,76561197989744167,glock,17293822569165422596,23868644929,,0
False,apEX,76561197989744167,ropz,76561197991272318,False,False,14.770596,0,24,0,False,left_leg,False,False,0,0,False,10929,kyousuke,76561199032006224,m4a1,17293822569184952336,40249609943,,0
False,,,kyxsan,76561198057282432,False,False,16.662853,6,11,0,False,chest,False,False,0,0,False,10994,ropz,76561197991272318,glock,17293822569155067908,46678859058,,0
False,ropz,76561197991272318,flameZ,76561197978835160,False,False,15.882283,0,21,0,False,chest,False,False,0,0,False,11520,m0NESY,76561198074762801,mp9,17293822569149562914,27512960954,,0
False,ropz,76561197991272318,ZywOo,76561198113666193,False,False,25.65295,0,125,0,True,head,False,False,0,0,False,11642,TeSeS,76561197996678278,m4a1,17293822569184952336,33925791483,,0
False,mezii,76561197973140692,flameZ,76561197978835160,False,False,6.444107,0,31,0,False,stomach,False,False,0,0,False,11846,kyxsan,76561198057282432,mp9,17293822569149562914,27512960954,,0
False,kyousuke,76561199032006224,kyxsan,76561198057282432,False,False,15.325303,3,28,0,False,left_arm,False,False,0,0,False,18211,flameZ,76561197978835160,ak47,17293822569173942279,46678859076,,0
False,,,TeSeS,76561197996678278,False,False,5.1875854,16,111,0,True,head,False,False,0,0,False,18518,ZywOo,76561198113666193,ak47,17293822569165553671,23868618176,,0
False,NiKo,76561198041683378,m0NESY,76561198074762801,False,False,13.648853,0,141,0,True,head,False,False,0,0,False,18525,apEX,76561197989744167,ak47,17293822569121185799,39561621428,,0
False,,,NiKo,76561198041683378,False,False,33.79008,15,106,0,True,head,False,False,0,0,True,18725,mezii,76561197973140692,ak47,17293822569121185799,31980002385,,0
False,,,NiKo,76561198041683378,False,False,39.271244,3,26,0,False,right_arm,False,False,0,0,True,24702,apEX,76561197989744167,ak47,17293822569121185799,31980002385,,0
False,,,NiKo,76561198041683378,False,False,15.413275,0,141,0,True,head,False,False,0,0,False,24997,ropz,76561197991272318,ak47,17293822569121185799,31980002385,,0
False,,,flameZ,76561197978835160,False,False,6.6437845,6,18,0,False,stomach,False,False,0,0,False,25434,kyousuke,76561199032006224,mp9,17293822569104867362,43487623394,,0
False,,,ZywOo,76561198113666193,False,False,29.838491,4,21,0,False,chest,False,False,0,0,False,25623,m0NESY,76561198074762801,m4a1,17293822569184952336,33925791483,,0
False,ropz,76561197991272318,mezii,76561197973140692,False,False,10.714256,18,87,0,True,head,False,False,0,0,False,26418,NiKo,76561198041683378,m4a1_silencer,17293822569154609212,45413689283,,0
False,,,kyxsan,76561198057282432,False,False,15.527672,3,28,0,False,chest,False,False,0,0,False,26427,mezii,76561197973140692,ak47,17293822569173942279,46678859076,,0
False,m0NESY,76561198074762801,kyxsan,76561198057282432,False,False,12.043199,3,28,0,False,chest,False,False,0,0,False,28796,ZywOo,76561198113666193,ak47,17293822569173942279,46678859076,,0
False,,,flameZ,76561197978835160,False,False,20.326124,15,108,0,True,head,False,False,0,0,False,28834,kyxsan,76561198057282432,ak47,17293822569150152711,41166387524,,0
True,apEX,76561197989744167,flameZ,76561197978835160,False,False,3.7662795,16,111,0,True,head,False,False,0,0,False,32676,kyousuke,76561199032006224,ak47,17293822569150152711,41166387524,,0
False,,,flameZ,76561197978835160,False,False,6.6751885,16,110,0,True,head,False,False,0,0,False,32701,NiKo,76561198041683378,ak47,17293822569150152711,41166387524,,0
False,,,TeSeS,76561197996678278,False,False,20.743929,0,139,0,True,head,False,False,0,0,False,33212,ropz,76561197991272318,ak47,17293822569165553671,23868618176,,0
False,,,m0NESY,76561198074762801,False,False,11.157102,0,114,0,False,chest,False,False,0,0,False,35898,ZywOo,76561198113666193,awp,17293822569114107913,23868627506,,0
False,,,m0NESY,76561198074762801,False,False,11.225242,0,456,0,True,head,False,False,0,0,False,36135,apEX,76561197989744167,awp,17293822569114107913,23868627506,,0
False,NiKo,76561198041683378,m0NESY,76561198074762801,False,False,15.920909,4,367,0,True,head,False,False,1,0,False,36472,flameZ,76561197978835160,awp,17293822569114107913,23868627506,,0
False,m0NESY,76561198074762801,TeSeS,76561197996678278,False,False,13.492773,0,44,0,False,stomach,False,False,0,0,False,36502,mezii,76561197973140692,ak47,17293822569165553671,23868618176,,0
True,NiKo,76561198041683378,kyousuke,76561199032006224,False,False,13.9688635,0,141,0,True,head,False,False,0,0,False,43536,ropz,76561197991272318,ak47,17293822569165553671,23868618176,,0
False,ropz,76561197991272318,apEX,76561197989744167,False,False,12.412836,18,87,0,True,head,False,False,0,0,False,43723,kyousuke,76561199032006224,m4a1_silencer,17293822569179119676,37779540372,,0
False,ropz,76561197991272318,apEX,76561197989744167,False,False,7.819273,6,32,0,False,stomach,False,False,0,0,False,43736,TeSeS,76561197996678278,m4a1_silencer,17293822569179119676,37779540372,,0
False,,,flameZ,76561197978835160,False,False,28.665339,4,23,0,False,chest,False,False,0,0,False,43826,kyxsan,76561198057282432,m4a1_silencer,17293822569179840572,40518827427,,0
False,,,NiKo,76561198041683378,False,False,9.124868,0,142,0,True,head,False,False,0,0,False,44038,apEX,76561197989744167,ak47,17293822569173942279,46678859076,,0
False,,,flameZ,76561197978835160,False,False,7.7008057,19,89,0,True,head,False,False,0,0,False,44119,NiKo,76561198041683378,m4a1_silencer,17293822569179840572,40518827427,,0
False,NiKo,76561198041683378,m0NESY,76561198074762801,False,False,29.298834,1,107,0,False,stomach,False,False,1,0,False,44147,flameZ,76561197978835160,awp,17293822569114107913,23868627506,,0
False,,,apEX,76561197989744167,False,False,26.17067,4,20,0,False,chest,False,False,0,0,True,48132,kyousuke,76561199032006224,famas,17293822569161949194,33549714814,,0
False,,,mezii,76561197973140692,False,False,8.84352,5,26,0,False,chest,False,False,0,0,False,48224,TeSeS,76561197996678278,m4a1_silencer,17293822569154609212,45413689283,,0
False,kyousuke,76561199032006224,NiKo,76561198041683378,False,False,26.344433,3,27,0,False,chest,False,False,0,0,False,48957,apEX,76561197989744167,ak47,17293822569121185799,31980002385,,0
False,,,ZywOo,76561198113666193,False,False,31.638338,1,109,0,False,chest,False,False,0,0,False,50054,kyxsan,76561198057282432,awp,17293822569120989193,42303465222,,0
False,,,m0NESY,76561198074762801,False,False,24.968376,1,110,0,False,chest,False,False,0,0,False,51249,ropz,76561197991272318,awp,17293822569114107913,23868627506,,0
False,,,ZywOo,76561198113666193,False,False,8.69354,5,445,0,True,head,False,False,0,0,False,51958,NiKo,76561198041683378,awp,17293822569120989193,42303465222,,0
False,ropz,76561197991272318,mezii,76561197973140692,False,False,24.332111,0,8,0,False,generic,False,False,0,0,False,52394,m0NESY,76561198074762801,inferno,,,,0
False,,,m0NESY,76561198074762801,False,False,34.512306,24,283,0,True,head,False,False,0,0,False,55334,ZywOo,76561198113666193,ssg08,17293822569117253672,30597131222,,0
False,,,flameZ,76561197978835160,False,False,12.675828,0,141,0,True,head,False,False,0,0,False,55972,kyousuke,76561199032006224,ak47,17293822569121185799,31980002385,,0
False,,,ropz,76561197991272318,False,False,16.23865,0,31,0,False,chest,False,False,0,0,False,56516,NiKo,76561198041683378,m4a1,17293822569184952336,40249609943,,0
False,NiKo,76561198041683378,TeSeS,76561197996678278,False,False,16.199694,5,157,0,True,head,False,False,0,0,False,56736,ropz,76561197991272318,deagle,17293822569105129473,23868658449,,0
False,ropz,76561197991272318,apEX,76561197989744167,False,False,33.45955,20,31,0,False,generic,False,False,0,0,False,57269,TeSeS,76561197996678278,hegrenade,,,,0
False,mezii,76561197973140692,apEX,76561197989744167,False,False,25.482141,0,117,0,True,head,False,False,0,0,False,59076,kyxsan,76561198057282432,m4a1_silencer,17293822569154609212,45413689283,,0
False,apEX,76561197989744167,mezii,76561197973140692,False,False,18.745665,0,121,0,True,head,False,False,0,0,False,59462,m0NESY,76561198074762801,m4a1_silencer,17293822569154609212,45413689283,,0
False,,,flameZ,76561197978835160,False,False,16.74656,4,33,0,False,stomach,False,False,0,0,False,64545,NiKo,76561198041683378,ak47,17293822569121185799,31980002385,,0
False,,,kyousuke,76561199032006224,False,False,22.508173,15,107,0,True,head,False,False,0,0,False,64859,flameZ,76561197978835160,ak47,17293822569150152711,41166387524,,0
False,,,kyousuke,76561199032006224,False,False,19.889265,4,34,0,False,stomach,False,False,0,0,False,64903,apEX,76561197989744167,ak47,17293822569150152711,41166387524,,0
False,,,kyousuke,76561199032006224,False,False,24.391577,15,108,0,True,head,False,False,0,0,False,66157,ropz,76561197991272318,ak47,17293822569150152711,41166387524,,0
False,,,TeSeS,76561197996678278,False,False,21.807013,15,108,0,True,head,False,False,0,0,False,66974,mezii,76561197973140692,ak47,17293822569165553671,23868618176,,0
False,,,ZywOo,76561198113666193,False,False,9.700378,4,100,0,True,head,False,False,0,0,False,67402,TeSeS,76561197996678278,fiveseven,17293822569174335491,23399004984,,0
False,,,TeSeS,76561197996678278,False,False,4.651826,22,61,0,True,head,False,False,0,0,False,74078,ZywOo,76561198113666193,mac10,17293822569176825873,34190034644,,0
False,,,ropz,76561197991272318,False,False,10.527918,5,25,0,False,chest,False,False,0,0,False,74123,TeSeS,76561197996678278,m4a1_silencer,17293822569179840572,40518827427,,0
False,,,ropz,76561197991272318,False,False,10.958262,5,25,0,False,chest,False,False,0,0,False,74161,kyousuke,76561199032006224,m4a1_silencer,17293822569179840572,40518827427,,0
False,kyousuke,76561199032006224,NiKo,76561198041683378,False,False,9.9130125,15,110,0,True,head,False,False,0,0,False,74199,ropz,76561197991272318,ak47,17293822569150152711,41166387524,,0
False,ropz,76561197991272318,apEX,76561197989744167,False,False,21.024746,17,83,0,True,head,False,False,0,0,False,74280,NiKo,76561198041683378,m4a1_silencer,17293822569179119676,37779540372,,0
False,,,apEX,76561197989744167,False,False,22.799595,6,30,0,False,stomach,False,False,0,0,False,74442,m0NESY,76561198074762801,m4a1_silencer,17293822569179119676,37779540372,,0
False,,,flameZ,76561197978835160,False,False,12.504701,4,22,0,False,chest,False,False,0,0,False,78059,kyxsan,76561198057282432,m4a1,17293822569184952336,33925791483,,0
False,,,ropz,76561197991272318,False,False,27.503492,0,113,0,False,chest,False,False,0,0,False,80707,TeSeS,76561197996678278,awp,17293822569125249033,43287757702,,0
