assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,Twistzz,76561198016255205,False,False,10.644258,0,105,0,True,head,False,False,0,0,False,2182,flameZ,76561197978835160,glock,17293822569183117316,34920592806,,0
False,,,ropz,76561197991272318,False,False,5.7202563,0,135,0,True,head,False,False,0,0,False,2227,karrigan,76561197989430253,usp_silencer,17293822569135734845,43490047096,,0
False,ZywOo,76561198113666193,apEX,76561197989744167,False,False,29.580412,0,112,0,True,head,False,False,0,0,False,2520,frozen,76561198068422762,usp_silencer,17293822569123217469,15487619157,,0
False,,,Twistzz,76561198016255205,False,False,11.467996,0,103,0,True,head,False,False,0,0,False,2601,apEX,76561197989744167,glock,17293822569105195012,18469951349,,0
False,,,broky,76561198201620490,False,False,11.0418005,0,104,0,True,head,False,False,0,0,True,4063,mezii,76561197973140692,glock,17293822569102704644,0,,0
False,rain,76561197997351207,Twistzz,76561198016255205,False,False,5.184157,7,13,0,False,chest,False,False,0,0,False,4454,ZywOo,76561198113666193,glock,17293822569105195012,18469951349,,0
False,,,ropz,76561197991272318,False,False,19.242474,0,122,0,True,head,False,False,0,0,False,4686,broky,76561198201620490,usp_silencer,17293822569135734845,43490047096,,0
False,frozen,76561198068422762,rain,76561197997351207,False,False,16.518805,5,21,0,False,chest,False,False,0,0,False,4858,ropz,76561197991272318,p250,17293822569147138084,40213120801,,0
False,,,karrigan,76561197989430253,False,False,14.701888,0,117,0,True,head,False,False,0,0,False,11696,mezii,76561197973140692,galilar,17293822569118826509,23518074798,,0
False,Twistzz,76561198016255205,rain,76561197997351207,False,False,4.15827,3,23,0,False,chest,False,False,0,0,False,11970,flameZ,76561197978835160,galilar,17293822569118826509,23735009486,,0
False,flameZ,76561197978835160,ropz,76561197991272318,False,False,13.389256,17,80,0,True,head,False,False,0,0,False,12016,Twistzz,76561198016255205,famas,17293822569127018506,26819094551,,0
False,,,rain,76561197997351207,False,False,8.243146,3,23,0,False,chest,False,False,0,0,False,12134,ropz,76561197991272318,galilar,17293822569118826509,23735009486,,0
