assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
True,apEX,76561197989744167,ropz,76561197991272318,False,False,37.972355,6,11,0,False,stomach,False,False,0,0,False,3522,rain,76561197997351207,glock,17293822569105195012,30219531045,,0
False,apEX,76561197989744167,ZywOo,76561198113666193,False,False,12.007009,0,26,0,False,chest,False,False,0,0,False,3909,karrigan,76561197989430253,glock,17293822569181872132,43805746730,,0
False,,,mezii,76561197973140692,False,False,14.1694355,0,101,0,True,head,False,False,0,0,False,5192,Twistzz,76561198016255205,glock,17293822569155067908,27605241565,,0
False,karrigan,76561197989430253,frozen,76561198068422762,False,False,37.617268,6,13,0,False,chest,False,False,0,0,False,5593,ropz,76561197991272318,usp_silencer,17293822569135734845,42949321073,,0
False,,,mezii,76561197973140692,False,False,17.9985,0,96,0,True,head,False,False,0,0,False,6081,broky,76561198201620490,glock,17293822569155067908,27605241565,,0
False,,,frozen,76561198068422762,False,False,28.33674,0,114,0,True,head,False,False,0,0,False,6294,apEX,76561197989744167,usp_silencer,17293822569135734845,42949321073,,0
False,,,ZywOo,76561198113666193,False,False,16.381567,0,97,0,True,head,False,False,0,0,False,6397,frozen,76561198068422762,glock,17293822569181872132,43805746730,,0
True,broky,76561198201620490,frozen,76561198068422762,False,False,18.418358,4,19,0,False,chest,False,False,0,0,False,8770,apEX,76561197989744167,famas,17293822569180299274,44596676235,,0
False,frozen,76561198068422762,broky,76561198201620490,False,False,32.316307,1,33,0,False,right_arm,False,False,0,0,False,10799,flameZ,76561197978835160,deagle,17293822569171779585,45117217227,,0
False,flameZ,76561197978835160,mezii,76561197973140692,False,False,27.34874,3,22,0,False,chest,False,False,0,0,False,10874,broky,76561198201620490,galilar,17293822569154478093,45146692066,,0
False,,,mezii,76561197973140692,False,False,18.984726,0,117,0,True,head,False,False,0,0,False,11159,karrigan,76561197989430253,galilar,17293822569154478093,45146692066,,0
False,,,ZywOo,76561198113666193,False,False,28.23111,3,26,0,False,chest,False,False,0,0,False,11244,rain,76561197997351207,ak47,17293822569179447303,37225099379,,0
False,,,ropz,76561197991272318,False,False,15.165063,0,141,0,True,head,False,False,0,0,False,20494,rain,76561197997351207,ak47,17293822569144582151,40342529944,,0
False,,,ZywOo,76561198113666193,False,False,2.7718592,0,143,0,True,head,False,False,0,0,True,20825,karrigan,76561197989430253,ak47,17293822569179447303,37225099379,,0
False,,,frozen,76561198068422762,False,False,25.426981,4,19,0,False,chest,False,False,0,0,False,21024,ropz,76561197991272318,famas,17293822569180299274,44596676235,,0
False,,,Twistzz,76561198016255205,False,False,1.8903987,5,15,0,False,chest,False,False,0,0,False,30892,flameZ,76561197978835160,mp9,17293822569128001570,40274871472,,0
False,,,frozen,76561198068422762,False,False,13.830007,0,26,0,False,left_leg,False,False,0,0,True,30915,mezii,76561197973140692,ak47,17293822569144582151,40342529944,,0
False,,,frozen,76561198068422762,False,False,20.083088,4,33,0,False,stomach,False,False,0,0,False,31068,apEX,76561197989744167,ak47,17293822569144582151,40342529944,,0
False,,,ZywOo,76561198113666193,False,False,18.986238,15,108,0,True,head,False,False,0,0,True,31095,frozen,76561198068422762,ak47,17293822569179447303,37225099379,,0
