round_num,tick,attacker_name,attacker_steamid,attacker_side,victim_name,victim_steamid,victim_side,weapon,headshot,penetrated,thrusmoke,attackerblind,noscope,attackerinair,distance,dmg_health,dmg_armor,hitgroup,assister_name,assister_steamid,assistedflash,match_id,map_name
2,1376,expSasiKi,76561198420739672,,SPine,76561198372938462,,knife_karambit,False,0,False,False,False,False,0.82473165,61,5,generic,,,False,kaleido-vs-arise-m2-inferno,de_inferno
2,1441,Rage,76561198358424861,,suki,76561199277904177,,knife_butterfly,False,0,False,False,False,False,0.8586402,61,5,generic,,,False,kaleido-vs-arise-m2-inferno,de_inferno
2,1553,clouda,76561198047509694,,reV3nnn,76561199103826639,,knife_m9_bayonet,False,0,False,False,False,False,0.8139339,22,1,generic,,,False,kaleido-vs-arise-m2-inferno,de_inferno
2,1595,Bhavi,76561198449686750,,BENZENE,76561198829326089,,knife_gypsy_jackknife,False,0,False,False,False,False,0.68807507,30,2,generic,,,False,kaleido-vs-arise-m2-inferno,de_inferno
2,1991,Bhavi,76561198449686750,,clouda,76561198047509694,,knife_gypsy_jackknife,False,0,False,False,False,False,1.7626288,8,0,generic,EmbeR,76561198095750974,False,kaleido-vs-arise-m2-inferno,de_inferno
2,2314,expSasiKi,76561198420739672,,Rage,76561198358424861,,knife_karambit,False,0,False,False,False,False,2.0411015,30,2,generic,,,False,kaleido-vs-arise-m2-inferno,de_inferno
2,2468,expSasiKi,76561198420739672,,rubeN,76561198417754488,,knife_karambit,False,0,False,False,False,True,1.2381903,61,5,generic,,,False,kaleido-vs-arise-m2-inferno,de_inferno
2,2873,EmbeR,76561198095750974,,expSasiKi,76561198420739672,,knife_tactical,False,0,False,False,False,False,1.0767251,55,4,generic,,,False,kaleido-vs-arise-m2-inferno,de_inferno
3,5894,Rage,76561198358424861,,BENZENE,76561198829326089,,usp_silencer,True,0,False,False,False,False,16.692268,123,0,head,,,False,kaleido-vs-arise-m2-inferno,de_inferno
3,6151,SPine,76561198372938462,,clouda,76561198047509694,,usp_silencer,True,0,False,False,False,False,36.28566,107,0,head,,,False,kaleido-vs-arise-m2-inferno,de_inferno
