attacker_steamid,player_name,side,kills,headshot_kills,avg_kill_distance,total_damage,deaths,kd_ratio,headshot_pct,match_id,map_name
76561198047509694,clouda,,9,5,14.429508,686,17,0.5294117647058824,55.6,kaleido-vs-arise-m2-inferno,de_inferno
76561198095750974,EmbeR,,9,6,12.759362,679,13,0.6923076923076923,66.7,kaleido-vs-arise-m2-inferno,de_inferno
76561198358424861,Rage,,19,10,18.571934,2832,11,1.7272727272727273,52.6,kaleido-vs-arise-m2-inferno,de_inferno
76561198372938462,SPine,,12,7,15.937726,955,13,0.9230769230769231,58.3,kaleido-vs-arise-m2-inferno,de_inferno
76561198417754488,rubeN,,13,6,18.241655,924,8,1.625,46.2,kaleido-vs-arise-m2-inferno,de_inferno
76561198420739672,expSasiKi,,12,3,11.409443,607,11,1.0909090909090908,25.0,kaleido-vs-arise-m2-inferno,de_inferno
76561198449686750,Bhavi,,14,8,12.422757,1008,16,0.875,57.1,kaleido-vs-arise-m2-inferno,de_inferno
76561198829326089,BENZENE,,12,11,8.85061,1191,15,0.8,91.7,kaleido-vs-arise-m2-inferno,de_inferno
76561199103826639,reV3nnn,,6,2,11.302503,714,16,0.375,33.3,kaleido-vs-arise-m2-inferno,de_inferno
76561199277904177,suki,,22,15,16.064726,1851,8,2.75,68.2,kaleido-vs-arise-m2-inferno,de_inferno
