tick,winner,reason,winning_team,round_num,tick_start,tick_end,bomb_planted,bomb_defused,bomb_exploded,match_id,map_name
0,,,,1,0,0,False,False,False,kaleido-vs-arise-m2-inferno,de_inferno
2873,T,ct_killed,T,2,0,2873,False,False,False,kaleido-vs-arise-m2-inferno,de_inferno
12037,T,ct_killed,T,3,2873,12037,True,False,False,kaleido-vs-arise-m2-inferno,de_inferno
19945,T,bomb_exploded,T,4,12037,19945,True,False,True,kaleido-vs-arise-m2-inferno,de_inferno
25854,T,ct_killed,T,5,19945,25854,True,False,False,kaleido-vs-arise-m2-inferno,de_inferno
33440,CT,t_killed,CT,6,25854,33440,False,False,False,kaleido-vs-arise-m2-inferno,de_inferno
41789,CT,t_killed,CT,7,33440,41789,False,False,False,kaleido-vs-arise-m2-inferno,de_inferno
51424,CT,bomb_defused,CT,8,41789,51424,True,True,False,kaleido-vs-arise-m2-inferno,de_inferno
57349,CT,t_killed,CT,9,51424,57349,False,False,False,kaleido-vs-arise-m2-inferno,de_inferno
65371,CT,t_killed,CT,10,57349,65371,False,False,False,kaleido-vs-arise-m2-inferno,de_inferno
69490,CT,t_killed,CT,11,65371,69490,False,False,False,kaleido-vs-arise-m2-inferno,de_inferno
78148,T,bomb_exploded,T,12,69490,78148,True,False,True,kaleido-vs-arise-m2-inferno,de_inferno
87442,CT,bomb_defused,CT,13,78148,87442,True,True,False,kaleido-vs-arise-m2-inferno,de_inferno
95686,CT,bomb_defused,CT,14,87442,95686,True,True,False,kaleido-vs-arise-m2-inferno,de_inferno
101747,T,ct_killed,T,15,95686,101747,True,False,False,kaleido-vs-arise-m2-inferno,de_inferno
110021,T,ct_killed,T,16,101747,110021,False,False,False,kaleido-vs-arise-m2-inferno,de_inferno
115503,T,ct_killed,T,17,110021,115503,False,False,False,kaleido-vs-arise-m2-inferno,de_inferno
122726,T,bomb_exploded,T,18,115503,122726,True,False,True,kaleido-vs-arise-m2-inferno,de_inferno
129301,T,ct_killed,T,19,122726,129301,False,False,False,kaleido-vs-arise-m2-inferno,de_inferno
