assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,xertioN,76561198193174134,False,False,0.0,0,101,0,False,head,False,False,0,0,False,5,xertioN,76561198193174134,world,,,,0
False,,,frozen,76561198068422762,False,False,0.0,6,101,0,False,chest,False,False,0,0,False,5,frozen,76561198068422762,world,,,,0
False,,,Brollan,76561198138828475,False,False,0.0,0,101,0,False,head,False,False,0,0,False,5,Brollan,76561198138828475,world,,,,0
False,,,rain,76561197997351207,False,False,0.0,0,101,0,False,head,False,False,0,0,False,5,rain,76561197997351207,world,,,,0
False,,,karrigan,76561197989430253,False,False,0.0,0,101,0,False,chest,False,False,0,0,False,5,karrigan,76561197989430253,world,,,,0
False,,,broky,76561198201620490,False,False,0.0,0,101,0,False,head,False,False,0,0,False,5,broky,76561198201620490,world,,,,0
False,,,Twistzz,76561198016255205,False,False,0.0,0,101,0,False,head,False,False,0,0,False,5,Twistzz,76561198016255205,world,,,,0
False,,,torzsi,76561198355739212,False,False,0.0,2,101,0,False,chest,False,False,0,0,False,5,torzsi,76561198355739212,world,,,,0
False,,,Spinx,76561198063336407,False,False,0.0,15,101,0,False,head,False,False,0,0,False,5,Spinx,76561198063336407,world,,,,0
False,,,Jimpphat,76561198855375325,False,False,0.0,0,101,0,False,chest,False,False,0,0,False,5,Jimpphat,76561198855375325,world,,,,0
False,,,Twistzz,76561198016255205,True,False,7.544075,5,104,0,True,head,False,False,0,0,False,2602,xertioN,76561198193174134,fiveseven,17293822569102704643,0,,0
False,broky,76561198201620490,Twistzz,76561198016255205,False,False,7.8930516,4,102,0,True,head,False,False,0,0,False,6987,Brollan,76561198138828475,fiveseven,17293822569102704643,0,,0
False,,,karrigan,76561197989430253,False,False,24.984577,5,140,0,True,head,False,False,0,0,False,7241,Spinx,76561198063336407,deagle,17293822569117843457,26867699312,,0
False,,,torzsi,76561198355739212,False,False,26.249697,0,115,0,True,head,False,False,0,0,False,7249,karrigan,76561197989430253,galilar,17293822569170731021,23110050693,,0
False,Brollan,76561198138828475,torzsi,76561198355739212,False,False,23.64468,15,108,0,True,head,False,False,0,0,True,9261,Twistzz,76561198016255205,ak47,17293822569150152711,44242811351,,0
False,torzsi,76561198355739212,Jimpphat,76561198855375325,False,False,12.444841,4,34,0,False,stomach,False,False,0,0,True,9274,rain,76561197997351207,ak47,17293822569188491271,45973947272,,0
False,,,Jimpphat,76561198855375325,False,False,19.415087,0,139,0,True,head,False,False,0,0,True,9574,frozen,76561198068422762,ak47,17293822569188491271,45973947272,,0
False,,,Jimpphat,76561198855375325,False,False,18.409153,0,140,0,True,head,False,False,0,0,True,9593,broky,76561198201620490,ak47,17293822569188491271,45973947272,,0
False,,,Brollan,76561198138828475,False,False,8.113529,0,119,0,True,head,False,False,0,0,False,13735,karrigan,76561197989430253,galilar,17293822569169092621,35078963148,,0
False,,,xertioN,76561198193174134,False,False,20.474089,0,139,0,True,head,False,False,0,0,False,16887,frozen,76561198068422762,ak47,17293822569188491271,45973947272,,0
False,xertioN,76561198193174134,Spinx,76561198063336407,False,False,25.332932,0,139,0,True,head,False,False,0,0,False,16958,rain,76561197997351207,ak47,17293822569150152711,44242811351,,0
False,xertioN,76561198193174134,torzsi,76561198355739212,False,False,15.478732,0,35,0,False,chest,False,False,0,0,False,16964,Twistzz,76561198016255205,ak47,17293822569191309319,46600814588,,0
False,torzsi,76561198355739212,Spinx,76561198063336407,False,False,28.573019,0,22,0,False,stomach,False,False,1,0,False,17102,broky,76561198201620490,ak47,17293822569150152711,44242811351,,0
False,,,xertioN,76561198193174134,False,False,6.680826,4,27,0,False,chest,False,False,0,0,False,23281,frozen,76561198068422762,ak47,17293822569188491271,45973947272,,0
False,,,Twistzz,76561198016255205,False,False,9.708273,5,26,0,False,chest,False,False,0,0,False,23300,xertioN,76561198193174134,m4a1_silencer,17293822569109651516,41487540675,,0
False,Brollan,76561198138828475,Jimpphat,76561198855375325,False,False,16.985239,3,27,0,False,chest,False,False,0,0,True,24108,Twistzz,76561198016255205,ak47,17293822569188491271,45973947272,,0
False,,,Spinx,76561198063336407,False,False,25.980251,3,26,0,False,chest,False,False,0,0,False,24128,karrigan,76561197989430253,ak47,17293822569150152711,44242811351,,0
False,,,rain,76561197997351207,False,False,24.622541,17,82,0,True,head,False,False,0,0,False,25130,Brollan,76561198138828475,m4a1_silencer,17293822569169354812,28991518422,,0
False,broky,76561198201620490,Twistzz,76561198016255205,False,False,36.83149,4,23,0,False,chest,False,False,0,0,False,34102,xertioN,76561198193174134,m4a1_silencer,17293822569109651516,41487540675,,0
False,,,torzsi,76561198355739212,False,False,36.225998,1,137,0,False,stomach,False,False,0,0,False,34553,rain,76561197997351207,awp,17293822569125249033,44092273201,,0
False,frozen,76561198068422762,karrigan,76561197989430253,False,False,22.970953,5,24,0,False,chest,False,False,0,0,False,34702,Brollan,76561198138828475,m4a1_silencer,17293822569179119676,44892306957,,0
False,Brollan,76561198138828475,Jimpphat,76561198855375325,False,False,7.6448216,16,111,0,True,head,False,False,0,0,False,34835,karrigan,76561197989430253,ak47,17293822569188491271,45973947272,,0
