assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,karrigan,76561197989430253,False,False,14.323473,0,126,0,True,head,False,False,0,0,False,3168,Spinx,76561198063336407,usp_silencer,17293822569170862141,30147926834,,0
False,,,xertioN,76561198193174134,False,False,4.901103,0,113,0,True,head,False,False,0,0,False,3357,karrigan,76561197989430253,glock,17293822569105195012,44927078645,,0
False,,,torzsi,76561198355739212,False,False,11.193863,0,104,0,True,head,False,False,0,0,False,3543,Twistzz,76561198016255205,glock,17293822569165815812,23698299304,,0
False,,,torzsi,76561198355739212,False,False,9.958414,0,106,0,True,head,False,False,0,0,False,3603,broky,76561198201620490,glock,17293822569165815812,23698299304,,0
False,,,torzsi,76561198355739212,False,False,21.172703,0,120,0,True,head,False,False,0,0,False,4322,frozen,76561198068422762,usp_silencer,17293822569102704701,0,,0
False,broky,76561198201620490,rain,76561197997351207,False,False,13.228448,0,39,0,False,stomach,False,False,0,0,False,4845,torzsi,76561198355739212,usp_silencer,17293822569172500541,42822114869,,0
False,,,Jimpphat,76561198855375325,False,False,19.139618,7,14,0,False,stomach,False,False,0,0,False,5059,rain,76561197997351207,glock,17293822569165815812,38629680671,,0
False,,,xertioN,76561198193174134,False,False,21.403114,0,139,0,True,head,False,False,0,0,False,8234,broky,76561198201620490,ak47,17293822569163063303,45465500726,,0
False,,,frozen,76561198068422762,False,False,9.323356,18,57,0,True,head,False,False,0,0,False,8315,Brollan,76561198138828475,mp9,17293822569177022498,46940324287,,0
False,Brollan,76561198138828475,Jimpphat,76561198855375325,False,False,11.39046,3,27,0,False,right_arm,False,False,0,0,False,8486,frozen,76561198068422762,ak47,17293822569188491271,45973947272,,0
False,,,karrigan,76561197989430253,False,False,5.111145,4,15,0,False,chest,False,False,0,0,False,8644,Jimpphat,76561198855375325,mp9,17293822569119875106,5877948707,,0
False,,,karrigan,76561197989430253,False,False,19.774658,3,27,0,False,chest,False,False,0,0,False,9415,xertioN,76561198193174134,ak47,17293822569188491271,45973947272,,0
False,,,rain,76561197997351207,False,False,5.7242265,5,106,0,True,head,False,False,0,0,False,9938,Spinx,76561198063336407,fiveseven,17293822569105588227,22282493706,,0
False,,,xertioN,76561198193174134,False,False,26.314886,5,138,0,True,head,False,False,0,0,False,16651,karrigan,76561197989430253,deagle,17293822569105129473,44403672075,,0
False,Jimpphat,76561198855375325,torzsi,76561198355739212,False,False,27.3369,3,26,0,False,chest,False,False,0,0,False,19539,rain,76561197997351207,ak47,17293822569191309319,46600814588,,0
False,,,Twistzz,76561198016255205,False,False,29.078386,15,107,0,True,head,False,False,0,0,False,19667,torzsi,76561198355739212,ak47,17293822569188491271,45973947272,,0
False,,,Twistzz,76561198016255205,False,False,26.930878,15,107,0,True,head,False,False,0,0,False,20008,xertioN,76561198193174134,ak47,17293822569188491271,45973947272,,0
False,xertioN,76561198193174134,Spinx,76561198063336407,False,False,21.848202,1,37,0,False,chest,False,False,0,0,False,20098,Twistzz,76561198016255205,deagle,17293822569105129473,44281822131,,0
False,Twistzz,76561198016255205,frozen,76561198068422762,False,False,22.172384,5,24,0,False,chest,False,False,0,0,False,20129,Spinx,76561198063336407,m4a1_silencer,17293822569188622396,46170575971,,0
False,Brollan,76561198138828475,Jimpphat,76561198855375325,False,False,15.154047,3,27,0,False,right_arm,False,False,0,0,False,20228,broky,76561198201620490,ak47,17293822569163063303,45465500726,,0
False,Jimpphat,76561198855375325,Brollan,76561198138828475,False,False,25.156736,3,27,0,False,chest,False,False,0,0,False,20362,frozen,76561198068422762,ak47,17293822569191309319,46600814588,,0
False,,,Twistzz,76561198016255205,False,False,21.223318,5,147,0,True,head,False,False,0,0,False,24766,xertioN,76561198193174134,deagle,17293822569165750273,45494291748,,0
False,,,torzsi,76561198355739212,False,False,20.59545,0,140,0,True,head,False,False,0,0,False,25266,Twistzz,76561198016255205,ak47,17293822569163063303,45465500726,,0
False,,,frozen,76561198068422762,False,False,21.54814,5,24,0,False,chest,False,False,0,0,False,26314,Brollan,76561198138828475,m4a1_silencer,17293822569109651516,41487540675,,0
False,Brollan,76561198138828475,torzsi,76561198355739212,False,False,23.30588,3,26,0,False,chest,False,False,0,0,False,26468,frozen,76561198068422762,ak47,17293822569163063303,45465500726,,0
False,,,Spinx,76561198063336407,False,False,37.89604,0,136,0,True,head,False,False,0,0,False,28050,broky,76561198201620490,ak47,17293822569191309319,46600814588,,0
False,,,Spinx,76561198063336407,False,False,48.493477,4,32,0,False,stomach,False,False,0,0,False,30861,karrigan,76561197989430253,ak47,17293822569191309319,46600814588,,0
False,,,Brollan,76561198138828475,False,False,18.541534,3,27,0,False,chest,False,False,0,0,False,35607,rain,76561197997351207,ak47,17293822569163063303,45465500726,,0
False,rain,76561197997351207,Jimpphat,76561198855375325,False,False,14.39674,5,36,0,True,head,False,False,0,0,False,38643,Brollan,76561198138828475,ak47,17293822569188491271,45973947272,,0
False,,,broky,76561198201620490,False,False,22.020664,5,24,0,False,chest,False,False,0,0,False,46541,Jimpphat,76561198855375325,m4a1_silencer,17293822569179119676,44892306957,,0
False,,,broky,76561198201620490,False,False,17.63592,5,24,0,False,chest,False,False,0,0,False,46628,Brollan,76561198138828475,m4a1_silencer,17293822569179119676,44892306957,,0
True,xertioN,76561198193174134,Spinx,76561198063336407,False,False,4.035296,0,144,0,True,head,False,False,0,0,False,50018,rain,76561197997351207,ak47,17293822569150152711,44242811351,,0
False,,,Twistzz,76561198016255205,False,False,21.57196,6,30,0,False,stomach,False,False,0,0,False,50029,Spinx,76561198063336407,m4a1_silencer,17293822569109651516,41487540675,,0
False,,,Twistzz,76561198016255205,False,False,22.35724,17,83,0,True,head,False,False,0,0,False,50291,xertioN,76561198193174134,m4a1_silencer,17293822569109651516,41487540675,,0
False,,,frozen,76561198068422762,False,False,16.859282,5,25,0,False,chest,False,False,0,0,False,50660,torzsi,76561198355739212,m4a1_silencer,17293822569179119676,44892306957,,0
False,,,broky,76561198201620490,False,False,57.29988,1,107,0,False,chest,False,False,0,0,False,55333,torzsi,76561198355739212,awp,17293822569125249033,44092273201,,0
False,,,Jimpphat,76561198855375325,False,False,29.054438,4,34,0,False,stomach,False,False,0,0,False,56609,broky,76561198201620490,ak47,17293822569188491271,45973947272,,0
False,,,frozen,76561198068422762,False,False,4.898947,6,32,0,False,stomach,False,False,0,0,True,57872,Jimpphat,76561198855375325,m4a1_silencer,17293822569188622396,46170575971,,0
False,Twistzz,76561198016255205,karrigan,76561197989430253,False,False,13.172343,3,27,0,False,chest,False,False,0,0,False,58262,Brollan,76561198138828475,ak47,17293822569191309319,46600814588,,0
False,,,xertioN,76561198193174134,False,False,27.13489,3,27,0,False,chest,False,False,0,0,False,58323,Twistzz,76561198016255205,ak47,17293822569191309319,46600814588,,0
False,Twistzz,76561198016255205,karrigan,76561197989430253,False,False,14.523707,15,109,0,True,head,False,False,0,0,False,58352,xertioN,76561198193174134,ak47,17293822569191309319,46600814588,,0
False,Jimpphat,76561198855375325,Spinx,76561198063336407,False,False,25.361176,3,26,0,False,right_arm,False,False,0,0,False,58447,karrigan,76561197989430253,ak47,17293822569150152711,44242811351,,0
False,,,Spinx,76561198063336407,False,False,25.733551,15,108,0,True,head,False,False,0,0,False,58777,frozen,76561198068422762,ak47,17293822569150152711,44242811351,,0
False,karrigan,76561197989430253,rain,76561197997351207,False,False,46.077705,15,74,0,True,head,False,False,0,0,False,59299,Spinx,76561198063336407,m4a1_silencer,17293822569179119676,44892306957,,0
True,Twistzz,76561198016255205,rain,76561197997351207,False,False,18.846786,0,121,0,True,head,False,False,0,0,False,66144,Brollan,76561198138828475,m4a1_silencer,17293822569169354812,28991518422,,0
True,Twistzz,76561198016255205,rain,76561197997351207,False,False,20.607012,0,43,0,False,stomach,False,False,0,0,False,66163,xertioN,76561198193174134,m4a1_silencer,17293822569169354812,28991518422,,0
True,Twistzz,76561198016255205,rain,76561197997351207,False,False,30.945246,0,41,0,False,stomach,False,False,0,0,False,66415,Jimpphat,76561198855375325,m4a1_silencer,17293822569169354812,28991518422,,0
False,,,Spinx,76561198063336407,False,False,20.753254,1,47,0,False,stomach,False,False,0,0,False,66453,rain,76561197997351207,deagle,17293822569105129473,44281822131,,0
False,,,Twistzz,76561198016255205,False,False,29.395662,0,33,0,False,chest,False,False,0,0,False,66578,Spinx,76561198063336407,m4a1_silencer,17293822569109651516,41487540675,,0
False,Twistzz,76561198016255205,karrigan,76561197989430253,False,False,21.930437,0,119,0,True,head,False,False,0,0,False,66729,torzsi,76561198355739212,m4a1_silencer,17293822569167192124,30147640710,,0
False,,,Spinx,76561198063336407,False,False,43.98335,15,104,0,True,head,False,False,0,0,False,73182,frozen,76561198068422762,ak47,17293822569150152711,44242811351,,0
False,,,torzsi,76561198355739212,False,False,3.4624577,16,111,0,True,head,False,False,0,0,False,74114,karrigan,76561197989430253,ak47,17293822569191309319,46600814588,,0
False,,,Brollan,76561198138828475,False,False,7.781397,16,110,0,True,head,False,False,0,0,False,74122,Twistzz,76561198016255205,ak47,17293822569144582151,46720456037,,0
False,,,xertioN,76561198193174134,False,False,8.101285,3,27,0,False,chest,False,False,0,0,False,85143,Twistzz,76561198016255205,ak47,17293822569163063303,45465500726,,0
False,,,Brollan,76561198138828475,False,False,12.067997,0,141,0,True,head,False,False,0,0,False,85413,frozen,76561198068422762,ak47,17293822569144582151,46720456037,,0
