attacker_steamid,player_name,side,kills,headshot_kills,avg_kill_distance,total_damage,deaths,kd_ratio,headshot_pct,match_id,map_name
76561197991593267,sausoL,,5,2,12.444438,355,13,0.38461538461538464,40.0,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
76561197998197366,mopoz,,10,8,11.94203,904,12,0.8333333333333334,80.0,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
76561198000984547,alex ,,8,6,12.558628,785,9,0.8888888888888888,75.0,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
76561198063336407,Spinx,,9,4,16.567741,648,9,1.0,44.4,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
76561198138828475,Brollan,,9,3,16.364086,425,8,1.125,33.3,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
76561198193174134,xertioN,,13,5,17.00196,723,5,2.6,38.5,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
76561198355739212,torzsi,,13,3,15.286274,1132,8,1.625,23.1,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
76561198370086461,MartinezSa,,7,3,19.554121,666,10,0.7,42.9,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
76561198417348056,dav1g,,8,6,19.261826,672,11,0.7272727272727273,75.0,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
76561198855375325,Jimpphat,,11,7,9.663197,896,11,1.0,63.6,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
