tick,winner,reason,winning_team,round_num,tick_start,tick_end,bomb_planted,bomb_defused,bomb_exploded,match_id,map_name
4,,,,1,0,4,False,False,False,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
11469,T,bomb_exploded,T,2,4,11469,True,False,True,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
20324,T,ct_killed,T,3,11469,20324,True,False,False,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
30296,CT,bomb_defused,CT,4,20324,30296,True,True,False,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
37725,T,bomb_exploded,T,5,30296,37725,True,False,True,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
46281,CT,t_killed,CT,6,37725,46281,False,False,False,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
57580,CT,time_ran_out,CT,7,46281,57580,False,False,False,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
65992,CT,t_killed,CT,8,57580,65992,False,False,False,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
71763,CT,bomb_defused,CT,9,65992,71763,True,True,False,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
84437,T,bomb_exploded,T,10,71763,84437,True,False,True,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
107428,T,ct_killed,T,11,84437,107428,True,False,False,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
112982,T,ct_killed,T,12,107428,112982,False,False,False,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
122941,T,bomb_exploded,T,13,112982,122941,True,False,True,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
131687,T,ct_killed,T,14,122941,131687,True,False,False,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
141112,T,ct_killed,T,15,131687,141112,True,False,False,mouz-vs-gentle-mates-m1-inferno-p2,de_inferno
