round_num,tick,attacker_name,attacker_steamid,attacker_side,victim_name,victim_steamid,victim_side,weapon,headshot,penetrated,thrusmoke,attackerblind,noscope,attackerinair,distance,dmg_health,dmg_armor,hitgroup,assister_name,assister_steamid,assistedflash,match_id,map_name
2,1051,Sowalio,76561199034495166,,1eeR,76561198837117408,,knife_karambit,False,0,False,False,False,False,1.119698,61,5,generic,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
2,1276,Xant3r,76561198839305865,,Sowalio,76561199034495166,,knife_m9_bayonet,False,0,False,False,False,False,0.79573053,61,5,generic,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
2,1462,KIRO,76561198145768818,,z1Nny,76561198237043662,,knife_butterfly,False,0,False,False,False,False,2.0974321,8,0,generic,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
2,1657,-khaN,76561198951467648,,kinqie44,76561198002372151,,knife_butterfly,False,0,False,False,False,False,1.1248204,55,4,generic,riskyb0b,76561198889240025,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
2,1784,Xant3r,76561198839305865,,riskyb0b,76561198889240025,,knife_m9_bayonet,False,0,False,False,False,False,1.3086088,30,2,generic,kinqie44,76561198002372151,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
2,1953,executor,76561199095171343,,-khaN,76561198951467648,,knife_karambit,False,0,False,False,False,False,1.9793824,21,1,generic,riskyb0b,76561198889240025,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
2,2043,executor,76561199095171343,,Xant3r,76561198839305865,,knife_karambit,False,0,False,False,False,False,0.8833255,21,1,generic,KIRO,76561198145768818,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
3,2064,bluewh1te,76561198976881234,,executor,76561199095171343,,knife_karambit,False,0,False,False,False,False,1.0666356,61,5,generic,Xant3r,76561198839305865,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
3,5729,Xant3r,76561198839305865,,bluewh1te,76561198976881234,,elite,True,0,False,False,False,False,9.270004,128,0,head,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
3,6042,z1Nny,76561198237043662,,Xant3r,76561198839305865,,glock,True,0,False,False,False,False,6.8380575,110,0,head,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
3,6188,-khaN,76561198951467648,,z1Nny,76561198237043662,,usp_silencer,False,0,False,False,False,False,14.797041,23,0,right_leg,Sowalio,76561199034495166,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
3,6200,-khaN,76561198951467648,,executor,76561199095171343,,usp_silencer,True,0,False,False,False,False,15.590124,124,0,head,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
3,6262,-khaN,76561198951467648,,KIRO,76561198145768818,,usp_silencer,True,0,False,False,False,False,17.647495,122,0,head,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
3,6450,1eeR,76561198837117408,,kinqie44,76561198002372151,,usp_silencer,False,0,False,False,False,False,22.13537,37,0,stomach,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
4,9398,-khaN,76561198951467648,,kinqie44,76561198002372151,,m4a1_silencer,False,0,False,False,False,False,9.441934,36,0,chest,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
4,9430,-khaN,76561198951467648,,KIRO,76561198145768818,,m4a1_silencer,False,1,False,False,False,False,14.761146,20,0,stomach,riskyb0b,76561198889240025,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
4,9445,riskyb0b,76561198889240025,,executor,76561199095171343,,famas,True,0,False,False,False,False,32.800404,108,0,head,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
4,9468,-khaN,76561198951467648,,bluewh1te,76561198976881234,,m4a1_silencer,True,0,False,False,False,False,11.001895,125,0,head,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
4,11178,z1Nny,76561198237043662,,1eeR,76561198837117408,,glock,True,0,False,False,False,False,5.7882953,52,29,head,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
4,11400,-khaN,76561198951467648,,z1Nny,76561198237043662,,m4a1_silencer,False,0,False,False,False,False,7.1616464,36,0,chest,1eeR,76561198837117408,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
5,13744,executor,76561199095171343,,Sowalio,76561199034495166,,ak47,False,0,False,False,False,False,15.430326,27,3,chest,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
5,13762,Xant3r,76561198839305865,,executor,76561199095171343,,famas,False,0,False,False,False,False,17.800709,24,5,stomach,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
5,13795,riskyb0b,76561198889240025,,bluewh1te,76561198976881234,,famas,True,0,False,False,False,False,6.4568944,82,17,head,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
5,14999,-khaN,76561198951467648,,z1Nny,76561198237043662,,awp,False,0,False,False,False,False,20.761301,110,1,chest,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
5,15439,riskyb0b,76561198889240025,,KIRO,76561198145768818,,galilar,True,0,False,False,False,False,11.256254,91,13,head,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
5,15506,kinqie44,76561198002372151,,riskyb0b,76561198889240025,,ak47,False,0,False,False,False,False,10.691313,27,3,chest,bluewh1te,76561198976881234,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
5,16032,Xant3r,76561198839305865,,kinqie44,76561198002372151,,m4a1_silencer,False,0,False,False,False,False,28.403257,28,6,stomach,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
6,18759,Sowalio,76561199034495166,,executor,76561199095171343,,m4a1_silencer,True,1,False,False,False,False,42.633827,82,0,head,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
6,19846,z1Nny,76561198237043662,,1eeR,76561198837117408,,ssg08,True,0,True,False,False,False,17.889929,290,25,head,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
6,20705,-khaN,76561198951467648,,kinqie44,76561198002372151,,awp,False,0,False,False,False,False,21.987015,110,1,chest,1eeR,76561198837117408,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
6,21079,bluewh1te,76561198976881234,,-khaN,76561198951467648,,deagle,True,0,True,False,False,False,17.82202,153,5,head,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
6,21608,Xant3r,76561198839305865,,KIRO,76561198145768818,,ak47,False,0,False,False,False,False,21.00324,43,0,stomach,-khaN,76561198951467648,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
6,21633,Sowalio,76561199034495166,,bluewh1te,76561198976881234,,m4a1_silencer,True,0,False,False,False,False,19.28303,120,0,head,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
6,22137,Sowalio,76561199034495166,,z1Nny,76561198237043662,,m4a1_silencer,False,0,False,False,False,False,22.06691,34,0,right_arm,riskyb0b,76561198889240025,True,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
7,25000,riskyb0b,76561198889240025,,kinqie44,76561198002372151,,m4a1_silencer,False,0,False,False,False,False,11.4445,25,5,chest,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
7,25158,-khaN,76561198951467648,,KIRO,76561198145768818,,hegrenade,False,0,False,True,False,False,38.57065,43,28,generic,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
8,34452,kinqie44,76561198002372151,,-khaN,76561198951467648,,galilar,True,0,False,False,False,False,13.457418,91,13,head,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
8,34548,1eeR,76561198837117408,,kinqie44,76561198002372151,,m4a1,False,0,False,False,False,False,23.787014,21,4,chest,,,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
8,34573,bluewh1te,76561198976881234,,1eeR,76561198837117408,,ak47,True,0,False,False,False,False,22.81189,107,15,head,kinqie44,76561198002372151,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
8,35318,z1Nny,76561198237043662,,Xant3r,76561198839305865,,ak47,True,0,False,False,False,False,25.041752,107,15,head,bluewh1te,76561198976881234,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
