attacker_steamid,player_name,side,kills,headshot_kills,avg_kill_distance,total_damage,deaths,kd_ratio,headshot_pct,match_id,map_name
76561198002372151,kinqie44,,15,7,9.638073,936,18,0.8333333333333334,46.7,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
76561198145768818,KIRO,,5,3,13.350667,400,15,0.3333333333333333,60.0,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
76561198237043662,z1Nny,,13,8,15.951655,1132,14,0.9285714285714286,61.5,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
76561198837117408,1eeR,,10,6,18.304821,610,18,0.5555555555555556,60.0,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
76561198839305865,Xant3r,,13,4,14.87036,825,11,1.1818181818181819,30.8,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
76561198889240025,riskyb0b,,11,7,21.293213,788,14,0.7857142857142857,63.6,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
76561198951467648,-khaN,,22,9,20.46319,1908,13,1.6923076923076923,40.9,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
76561198976881234,bluewh1te,,16,11,14.933707,1322,14,1.1428571428571428,68.8,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
76561199034495166,Sowalio,,20,13,21.414059,1579,13,1.5384615384615385,65.0,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
76561199095171343,executor,,19,10,16.53557,1413,14,1.3571428571428572,52.6,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
