tick,winner,reason,winning_team,round_num,tick_start,tick_end,bomb_planted,bomb_defused,bomb_exploded,match_id,map_name
0,,,,1,0,0,False,False,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
2043,T,ct_killed,T,2,0,2043,False,False,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
6450,CT,t_killed,CT,3,2043,6450,False,False,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
11400,CT,t_killed,CT,4,6450,11400,False,False,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
16032,CT,t_killed,CT,5,11400,16032,False,False,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
22653,CT,bomb_defused,CT,6,16032,22653,True,True,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
31421,CT,time_ran_out,CT,7,22653,31421,False,False,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
38473,T,bomb_exploded,T,8,31421,38473,True,False,True,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
45604,CT,t_killed,CT,9,38473,45604,False,False,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
54372,CT,time_ran_out,CT,10,45604,54372,False,False,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
63477,T,bomb_exploded,T,11,54372,63477,True,False,True,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
72245,CT,time_ran_out,CT,12,63477,72245,False,False,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
78807,T,ct_killed,T,13,72245,78807,True,False,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
84438,T,ct_killed,T,14,78807,84438,True,False,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
91436,T,ct_killed,T,15,84438,91436,True,False,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
97682,T,bomb_exploded,T,16,91436,97682,True,False,True,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
106450,CT,time_ran_out,CT,17,97682,106450,False,False,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
114482,CT,t_killed,CT,18,106450,114482,False,False,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
121608,CT,t_killed,CT,19,114482,121608,False,False,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
131917,CT,t_killed,CT,20,121608,131917,False,False,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
139599,T,ct_killed,T,21,131917,139599,False,False,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
150934,CT,time_ran_out,CT,22,139599,150934,True,False,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
160834,T,bomb_exploded,T,23,150934,160834,True,False,True,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
169215,T,ct_killed,T,24,160834,169215,True,False,False,nemiga-vs-tpudcatb-tpu-m1-dust2,de_dust2
