attacker_steamid,player_name,side,kills,headshot_kills,avg_kill_distance,total_damage,deaths,kd_ratio,headshot_pct,match_id,map_name
76561198163633612,Djon8,,15,7,22.08514,981,14,1.0714285714285714,46.7,sparta-vs-cybershoke-m1-dust2,de_dust2
76561198168987887,k4nfuz-,,10,6,16.122093,826,15,0.6666666666666666,60.0,sparta-vs-cybershoke-m1-dust2,de_dust2
76561198174263909,glowiing,,19,11,18.552235,1279,14,1.3571428571428572,57.9,sparta-vs-cybershoke-m1-dust2,de_dust2
76561198293974689,notineki,,12,7,12.664237,975,16,0.75,58.3,sparta-vs-cybershoke-m1-dust2,de_dust2
76561198309457929,SoLb,,11,5,15.684887,719,21,0.5238095238095238,45.5,sparta-vs-cybershoke-m1-dust2,de_dust2
76561198347665147,1NVISIBLEE,,23,10,17.443523,1620,17,1.3529411764705883,43.5,sparta-vs-cybershoke-m1-dust2,de_dust2
76561198400817766,FenomeN--,,20,0,20.35533,1950,11,1.8181818181818181,0.0,sparta-vs-cybershoke-m1-dust2,de_dust2
76561198845426189,alpha--,,16,5,17.41295,1023,13,1.2307692307692308,31.2,sparta-vs-cybershoke-m1-dust2,de_dust2
76561199032362645,bl1x1,,17,11,18.947153,1415,15,1.1333333333333333,64.7,sparta-vs-cybershoke-m1-dust2,de_dust2
76561199238748352,yuramyata,,10,4,29.446442,996,18,0.5555555555555556,40.0,sparta-vs-cybershoke-m1-dust2,de_dust2
