tick,winner,reason,winning_team,round_num,tick_start,tick_end,bomb_planted,bomb_defused,bomb_exploded,match_id,map_name
0,,,,1,0,0,False,False,False,sparta-vs-cybershoke-m1-dust2,de_dust2
2786,T,ct_killed,T,2,0,2786,False,False,False,sparta-vs-cybershoke-m1-dust2,de_dust2
9835,T,ct_killed,T,3,2786,9835,True,False,False,sparta-vs-cybershoke-m1-dust2,de_dust2
21097,CT,t_killed,CT,4,9835,21097,False,False,False,sparta-vs-cybershoke-m1-dust2,de_dust2
29458,CT,t_killed,CT,5,21097,29458,False,False,False,sparta-vs-cybershoke-m1-dust2,de_dust2
36369,CT,bomb_defused,CT,6,29458,36369,True,True,False,sparta-vs-cybershoke-m1-dust2,de_dust2
43531,CT,t_killed,CT,7,36369,43531,False,False,False,sparta-vs-cybershoke-m1-dust2,de_dust2
51049,CT,t_killed,CT,8,43531,51049,False,False,False,sparta-vs-cybershoke-m1-dust2,de_dust2
60016,CT,t_killed,CT,9,51049,60016,False,False,False,sparta-vs-cybershoke-m1-dust2,de_dust2
66535,T,ct_killed,T,10,60016,66535,True,False,False,sparta-vs-cybershoke-m1-dust2,de_dust2
77412,T,ct_killed,T,11,66535,77412,True,False,False,sparta-vs-cybershoke-m1-dust2,de_dust2
85489,T,bomb_exploded,T,12,77412,85489,True,False,True,sparta-vs-cybershoke-m1-dust2,de_dust2
98887,T,bomb_exploded,T,13,85489,98887,True,False,True,sparta-vs-cybershoke-m1-dust2,de_dust2
106482,T,ct_killed,T,14,98887,106482,False,False,False,sparta-vs-cybershoke-m1-dust2,de_dust2
111539,CT,t_killed,CT,15,106482,111539,False,False,False,sparta-vs-cybershoke-m1-dust2,de_dust2
117454,CT,t_killed,CT,16,111539,117454,False,False,False,sparta-vs-cybershoke-m1-dust2,de_dust2
127387,T,ct_killed,T,17,117454,127387,True,False,False,sparta-vs-cybershoke-m1-dust2,de_dust2
136571,T,bomb_exploded,T,18,127387,136571,True,False,True,sparta-vs-cybershoke-m1-dust2,de_dust2
160096,CT,time_ran_out,CT,19,136571,160096,False,False,False,sparta-vs-cybershoke-m1-dust2,de_dust2
168096,CT,t_killed,CT,20,160096,168096,False,False,False,sparta-vs-cybershoke-m1-dust2,de_dust2
171977,CT,t_killed,CT,21,168096,171977,False,False,False,sparta-vs-cybershoke-m1-dust2,de_dust2
179182,CT,bomb_defused,CT,22,171977,179182,True,True,False,sparta-vs-cybershoke-m1-dust2,de_dust2
185501,CT,t_killed,CT,23,179182,185501,False,False,False,sparta-vs-cybershoke-m1-dust2,de_dust2
