round_num,tick,attacker_name,attacker_steamid,attacker_side,victim_name,victim_steamid,victim_side,weapon,headshot,penetrated,thrusmoke,attackerblind,noscope,attackerinair,distance,dmg_health,dmg_armor,hitgroup,assister_name,assister_steamid,assistedflash,match_id,map_name
2,1413,Banjo,76561198276486363,,turbo,76561199228548850,,glock,False,0,False,False,False,False,5.6999826,13,7,chest,soulfly,76561198327068178,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
2,2068,Banjo,76561198276486363,,AquaRS,76561198800147622,,glock,True,0,False,False,False,False,11.212396,104,0,head,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
2,2164,Banjo,76561198276486363,,TriBorgg1,76561198965249056,,glock,True,0,False,False,False,False,6.621074,110,0,head,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
2,2584,Banjo,76561198276486363,,F0R3VER,76561199012381348,,usp_silencer,True,0,False,False,False,False,18.262367,122,0,head,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
2,2836,Banjo,76561198276486363,,lasfas,76561198141667219,,usp_silencer,False,0,False,False,False,False,8.001484,16,8,chest,soulfly,76561198327068178,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
3,8182,Banjo,76561198276486363,,TriBorgg1,76561198965249056,,mac10,False,0,False,False,False,False,11.534569,29,0,stomach,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
3,8478,Banjo,76561198276486363,,F0R3VER,76561199012381348,,mac10,False,0,False,False,False,False,12.487014,23,0,chest,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
3,8715,soulfly,76561198327068178,,lasfas,76561198141667219,,ak47,False,0,False,False,False,False,39.609806,42,0,stomach,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
3,8921,Banjo,76561198276486363,,AquaRS,76561198800147622,,mac10,False,0,False,False,False,False,7.431514,25,0,chest,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
3,9268,Banjo,76561198276486363,,turbo,76561199228548850,,mac10,False,0,False,False,False,False,16.610714,21,0,right_arm,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
4,15418,AquaRS,76561198800147622,,Banjo,76561198276486363,,famas,True,0,False,False,False,False,6.115648,82,17,head,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
4,15493,AquaRS,76561198800147622,,soulfly,76561198327068178,,famas,True,0,False,False,False,False,4.543358,82,17,head,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
4,15925,shield,76561198253891911,,AquaRS,76561198800147622,,galilar,False,0,False,False,False,False,7.039598,22,3,chest,Banjo,76561198276486363,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
4,16020,F0R3VER,76561199012381348,,paz,76561198028790343,,m4a1_silencer,False,0,False,False,False,False,36.97558,22,4,chest,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
4,16192,F0R3VER,76561199012381348,,FinigaN,76561198186361079,,m4a1_silencer,False,0,False,False,False,False,10.397109,25,5,chest,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
4,16512,TriBorgg1,76561198965249056,,shield,76561198253891911,,m4a1_silencer,False,0,False,False,False,False,27.516066,29,6,stomach,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
5,18955,FinigaN,76561198186361079,,AquaRS,76561198800147622,,ak47,True,0,False,False,False,False,7.64234,110,16,head,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
5,19096,F0R3VER,76561199012381348,,FinigaN,76561198186361079,,m4a1_silencer,True,0,True,False,False,False,32.662544,78,16,head,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
5,20214,lasfas,76561198141667219,,Banjo,76561198276486363,,m4a1_silencer,True,0,False,False,False,False,10.489184,87,18,head,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
5,20309,F0R3VER,76561199012381348,,paz,76561198028790343,,m4a1_silencer,True,0,True,False,False,False,38.15151,76,16,head,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
5,20372,soulfly,76561198327068178,,turbo,76561199228548850,,ak47,False,0,True,False,False,False,35.691654,25,0,left_leg,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
5,20938,F0R3VER,76561199012381348,,shield,76561198253891911,,m4a1_silencer,False,0,False,False,False,False,14.664545,24,5,chest,TriBorgg1,76561198965249056,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
5,21646,soulfly,76561198327068178,,F0R3VER,76561199012381348,,ak47,True,0,False,False,False,False,11.138497,109,15,head,FinigaN,76561198186361079,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
5,21751,TriBorgg1,76561198965249056,,soulfly,76561198327068178,,ak47,True,0,False,False,False,False,21.764952,107,15,head,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
6,26994,F0R3VER,76561199012381348,,Banjo,76561198276486363,,m4a1_silencer,True,0,False,False,False,False,14.208844,123,0,head,turbo,76561199228548850,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
6,27019,F0R3VER,76561199012381348,,FinigaN,76561198186361079,,m4a1_silencer,True,0,False,False,False,False,9.657303,126,0,head,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
6,27031,AquaRS,76561198800147622,,soulfly,76561198327068178,,ak47,False,0,False,False,False,False,24.058783,34,0,chest,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
6,27101,F0R3VER,76561199012381348,,paz,76561198028790343,,m4a1_silencer,True,0,False,False,False,False,11.541848,124,0,head,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
6,27131,AquaRS,76561198800147622,,shield,76561198253891911,,ak47,False,0,False,False,False,False,27.939634,34,0,chest,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
7,32644,paz,76561198028790343,,AquaRS,76561198800147622,,ak47,False,0,True,False,False,False,18.95411,33,4,stomach,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
7,32900,F0R3VER,76561199012381348,,FinigaN,76561198186361079,,m4a1_silencer,False,0,False,False,False,False,14.623194,24,5,chest,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
7,33253,F0R3VER,76561199012381348,,soulfly,76561198327068178,,m4a1_silencer,True,0,False,False,False,False,11.000949,87,18,head,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
7,34028,Banjo,76561198276486363,,TriBorgg1,76561198965249056,,ak47,False,4,False,True,False,False,32.356155,5,0,right_leg,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
7,34932,F0R3VER,76561199012381348,,paz,76561198028790343,,ak47,False,0,False,False,False,False,3.383927,34,5,stomach,AquaRS,76561198800147622,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
7,35126,shield,76561198253891911,,F0R3VER,76561199012381348,,ak47,True,0,True,False,False,False,14.778214,109,15,head,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
7,35486,Banjo,76561198276486363,,turbo,76561199228548850,,ak47,True,0,False,False,False,False,26.839672,106,15,head,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
7,36254,shield,76561198253891911,,lasfas,76561198141667219,,ak47,False,0,False,False,False,False,17.071968,27,3,right_arm,Banjo,76561198276486363,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
8,38428,lasfas,76561198141667219,,FinigaN,76561198186361079,,awp,False,0,False,False,False,False,21.172636,110,1,chest,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
8,41509,shield,76561198253891911,,lasfas,76561198141667219,,awp,False,0,False,False,False,False,51.71584,107,1,chest,,,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
8,42125,paz,76561198028790343,,F0R3VER,76561199012381348,,ak47,False,0,False,False,False,False,13.277506,34,4,stomach,soulfly,76561198327068178,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
8,43127,TriBorgg1,76561198965249056,,paz,76561198028790343,,m4a1_silencer,False,0,False,False,False,False,23.427027,25,0,right_leg,F0R3VER,76561199012381348,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
8,43253,TriBorgg1,76561198965249056,,soulfly,76561198327068178,,m4a1_silencer,False,0,False,False,False,False,18.710913,24,5,chest,turbo,76561199228548850,True,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
8,43345,Banjo,76561198276486363,,turbo,76561199228548850,,ak47,True,0,False,False,False,False,6.025648,142,0,head,soulfly,76561198327068178,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
8,43364,Banjo,76561198276486363,,AquaRS,76561198800147622,,ak47,False,0,False,False,False,False,8.836642,27,3,left_arm,soulfly,76561198327068178,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
