attacker_steamid,player_name,side,kills,headshot_kills,avg_kill_distance,total_damage,deaths,kd_ratio,headshot_pct,match_id,map_name
76561198028790343,paz,,15,7,20.466585,1091,18,0.8333333333333334,46.7,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
76561198141667219,lasfas,,17,7,23.458414,1473,13,1.3076923076923077,41.2,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
76561198186361079,FinigaN,,9,5,17.508774,485,18,0.5,55.6,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
76561198253891911,shield,,11,6,23.412493,1688,13,0.8461538461538461,54.5,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
76561198276486363,Banjo,,22,11,13.088834,1526,12,1.8333333333333333,50.0,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
76561198327068178,soulfly,,15,10,22.56356,1239,18,0.8333333333333334,66.7,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
76561198800147622,AquaRS,,15,9,11.144441,1154,15,1.0,60.0,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
76561198965249056,TriBorgg1,,15,2,19.312593,535,15,1.0,13.3,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
76561199012381348,F0R3VER,,24,15,17.451078,1984,16,1.5,62.5,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
76561199228548850,turbo,,6,5,20.621096,565,14,0.42857142857142855,83.3,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
