tick,winner,reason,winning_team,round_num,tick_start,tick_end,bomb_planted,bomb_defused,bomb_exploded,match_id,map_name
1,,,,1,0,1,False,False,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
2836,T,ct_killed,T,2,1,2836,True,False,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
9268,T,ct_killed,T,3,2836,9268,True,False,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
16512,CT,t_killed,CT,4,9268,16512,False,False,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
21751,CT,t_killed,CT,5,16512,21751,False,False,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
27131,CT,t_killed,CT,6,21751,27131,False,False,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
36254,T,ct_killed,T,7,27131,36254,True,False,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
43469,T,ct_killed,T,8,36254,43469,False,False,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
50083,T,ct_killed,T,9,43469,50083,True,False,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
59629,CT,t_killed,CT,10,50083,59629,False,False,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
68135,T,ct_killed,T,11,59629,68135,False,False,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
77095,CT,time_ran_out,CT,12,68135,77095,False,False,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
86014,T,ct_killed,T,13,77095,86014,True,False,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
99422,T,ct_killed,T,14,86014,99422,True,False,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
105710,CT,t_killed,CT,15,99422,105710,False,False,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
112645,T,bomb_exploded,T,16,105710,112645,True,False,True,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
119282,T,bomb_exploded,T,17,112645,119282,True,False,True,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
124685,T,ct_killed,T,18,119282,124685,False,False,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
129441,CT,t_killed,CT,19,124685,129441,False,False,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
137789,T,ct_killed,T,20,129441,137789,True,False,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
154725,T,ct_killed,T,21,137789,154725,True,False,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
160475,T,ct_killed,T,22,154725,160475,True,False,False,vpprodigy-vs-fire-flux-m1-mirage,de_mirage
