round_num,tick,attacker_name,attacker_steamid,attacker_side,victim_name,victim_steamid,victim_side,weapon,headshot,penetrated,thrusmoke,attackerblind,noscope,attackerinair,distance,dmg_health,dmg_armor,hitgroup,assister_name,assister_steamid,assistedflash,match_id,map_name
2,3921,F0R3VER,76561199012381348,,FinigaN,76561198186361079,,glock,True,0,False,False,False,False,10.304633,105,0,head,,,False,vpprodigy-vs-fire-flux-m2-train,de_train
2,3992,TriBorgg1,76561198965249056,,shield,76561198253891911,,glock,True,0,False,False,False,False,22.657223,90,0,head,,,False,vpprodigy-vs-fire-flux-m2-train,de_train
2,4224,soulfly,76561198327068178,,turbo,76561199228548850,,hkp2000,True,0,False,False,False,False,20.968237,119,0,head,paz,76561198028790343,True,vpprodigy-vs-fire-flux-m2-train,de_train
2,4235,lasfas,76561198141667219,,soulfly,76561198327068178,,glock,True,0,False,False,False,False,21.80127,91,0,head,,,False,vpprodigy-vs-fire-flux-m2-train,de_train
2,5131,Banjo,76561198276486363,,AquaRS,76561198800147622,,usp_silencer,True,0,False,False,False,False,3.1887908,137,0,head,,,False,vpprodigy-vs-fire-flux-m2-train,de_train
2,5164,TriBorgg1,76561198965249056,,Banjo,76561198276486363,,glock,True,0,False,False,False,False,9.933168,105,0,head,,,False,vpprodigy-vs-fire-flux-m2-train,de_train
2,5172,paz,76561198028790343,,TriBorgg1,76561198965249056,,usp_silencer,True,0,False,False,False,False,11.1348095,129,0,head,,,False,vpprodigy-vs-fire-flux-m2-train,de_train
2,6213,F0R3VER,76561199012381348,,paz,76561198028790343,,glock,True,0,False,False,False,False,12.816788,102,0,head,,,False,vpprodigy-vs-fire-flux-m2-train,de_train
3,8643,shield,76561198253891911,,lasfas,76561198141667219,,mp9,True,0,False,False,False,False,17.184624,51,17,head,,,False,vpprodigy-vs-fire-flux-m2-train,de_train
3,8669,AquaRS,76561198800147622,,shield,76561198253891911,,mac10,True,0,False,False,False,False,10.766697,96,0,head,,,False,vpprodigy-vs-fire-flux-m2-train,de_train
3,8760,AquaRS,76561198800147622,,paz,76561198028790343,,mac10,False,0,False,False,False,False,8.387883,14,5,chest,,,False,vpprodigy-vs-fire-flux-m2-train,de_train
3,9145,F0R3VER,76561199012381348,,soulfly,76561198327068178,,ak47,True,0,False,False,False,False,18.797531,139,0,head,,,False,vpprodigy-vs-fire-flux-m2-train,de_train
3,9493,FinigaN,76561198186361079,,AquaRS,76561198800147622,,mp9,True,0,False,False,False,False,15.909315,52,17,head,paz,76561198028790343,False,vpprodigy-vs-fire-flux-m2-train,de_train
3,9582,F0R3VER,76561199012381348,,FinigaN,76561198186361079,,ak47,False,0,False,False,False,False,13.8082905,27,3,chest,TriBorgg1,76561198965249056,False,vpprodigy-vs-fire-flux-m2-train,de_train
4,15473,AquaRS,76561198800147622,,soulfly,76561198327068178,,mp9,False,0,False,False,False,False,15.560955,21,0,chest,lasfas,76561198141667219,True,vpprodigy-vs-fire-flux-m2-train,de_train
4,15621,shield,76561198253891911,,turbo,76561199228548850,,p250,True,0,False,False,False,False,26.305285,78,22,head,,,False,vpprodigy-vs-fire-flux-m2-train,de_train
4,15638,TriBorgg1,76561198965249056,,Banjo,76561198276486363,,ak47,False,0,False,False,False,False,9.815262,27,3,chest,lasfas,76561198141667219,True,vpprodigy-vs-fire-flux-m2-train,de_train
4,15734,FinigaN,76561198186361079,,AquaRS,76561198800147622,,fiveseven,True,0,False,False,False,False,17.934916,86,4,head,,,False,vpprodigy-vs-fire-flux-m2-train,de_train
4,15985,lasfas,76561198141667219,,FinigaN,76561198186361079,,galilar,False,0,False,False,False,False,13.634651,22,3,chest,AquaRS,76561198800147622,False,vpprodigy-vs-fire-flux-m2-train,de_train
4,16144,shield,76561198253891911,,TriBorgg1,76561198965249056,,p250,True,0,False,False,False,False,10.170635,89,25,head,Banjo,76561198276486363,False,vpprodigy-vs-fire-flux-m2-train,de_train
4,16782,F0R3VER,76561199012381348,,shield,76561198253891911,,ak47,False,0,False,False,False,False,5.058674,35,0,right_arm,,,False,vpprodigy-vs-fire-flux-m2-train,de_train
4,17559,lasfas,76561198141667219,,paz,76561198028790343,,galilar,False,0,False,False,False,False,20.668991,36,0,stomach,TriBorgg1,76561198965249056,False,vpprodigy-vs-fire-flux-m2-train,de_train
5,23331,shield,76561198253891911,,AquaRS,76561198800147622,,awp,False,0,False,False,False,False,9.691784,111,1,chest,,,False,vpprodigy-vs-fire-flux-m2-train,de_train
5,25252,shield,76561198253891911,,TriBorgg1,76561198965249056,,awp,False,0,False,False,False,False,17.471365,110,1,chest,Banjo,76561198276486363,False,vpprodigy-vs-fire-flux-m2-train,de_train
5,25475,FinigaN,76561198186361079,,turbo,76561199228548850,,m4a1_silencer,False,0,True,False,False,False,15.084046,24,5,chest,Banjo,76561198276486363,False,vpprodigy-vs-fire-flux-m2-train,de_train
5,25594,F0R3VER,76561199012381348,,FinigaN,76561198186361079,,ak47,True,0,False,False,False,False,23.88926,138,0,head,,,False,vpprodigy-vs-fire-flux-m2-train,de_train
5,25658,lasfas,76561198141667219,,shield,76561198253891911,,awp,False,0,False,False,False,False,17.509123,85,0,left_leg,TriBorgg1,76561198965249056,False,vpprodigy-vs-fire-flux-m2-train,de_train
5,25694,soulfly,76561198327068178,,F0R3VER,76561199012381348,,m4a1_silencer,False,0,True,False,False,False,26.014921,25,0,right_leg,FinigaN,76561198186361079,False,vpprodigy-vs-fire-flux-m2-train,de_train
6,32654,shield,76561198253891911,,turbo,76561199228548850,,awp,False,0,False,False,False,False,22.031977,110,1,chest,,,False,vpprodigy-vs-fire-flux-m2-train,de_train
6,35384,Banjo,76561198276486363,,lasfas,76561198141667219,,m4a1_silencer,False,0,False,False,False,False,15.22195,30,6,stomach,,,False,vpprodigy-vs-fire-flux-m2-train,de_train
6,35429,Banjo,76561198276486363,,AquaRS,76561198800147622,,m4a1_silencer,True,0,False,False,False,False,12.248035,87,18,head,,,False,vpprodigy-vs-fire-flux-m2-train,de_train
