tick,winner,reason,winning_team,round_num,tick_start,tick_end,bomb_planted,bomb_defused,bomb_exploded,match_id,map_name
1,,,,1,0,1,False,False,False,vpprodigy-vs-fire-flux-m2-train,de_train
6213,T,ct_killed,T,2,1,6213,True,False,False,vpprodigy-vs-fire-flux-m2-train,de_train
13279,T,bomb_exploded,T,3,6213,13279,True,False,True,vpprodigy-vs-fire-flux-m2-train,de_train
17559,T,ct_killed,T,4,13279,17559,False,False,False,vpprodigy-vs-fire-flux-m2-train,de_train
26519,CT,time_ran_out,CT,5,17559,26519,False,False,False,vpprodigy-vs-fire-flux-m2-train,de_train
35429,CT,t_killed,CT,6,26519,35429,False,False,False,vpprodigy-vs-fire-flux-m2-train,de_train
44037,CT,t_killed,CT,7,35429,44037,False,False,False,vpprodigy-vs-fire-flux-m2-train,de_train
55154,T,bomb_exploded,T,8,44037,55154,True,False,True,vpprodigy-vs-fire-flux-m2-train,de_train
63936,T,ct_killed,T,9,55154,63936,True,False,False,vpprodigy-vs-fire-flux-m2-train,de_train
68234,CT,bomb_defused,CT,10,63936,68234,True,True,False,vpprodigy-vs-fire-flux-m2-train,de_train
77719,CT,bomb_defused,CT,11,68234,77719,True,True,False,vpprodigy-vs-fire-flux-m2-train,de_train
83317,T,ct_killed,T,12,77719,83317,True,False,False,vpprodigy-vs-fire-flux-m2-train,de_train
90626,CT,t_killed,CT,13,83317,90626,False,False,False,vpprodigy-vs-fire-flux-m2-train,de_train
99984,T,ct_killed,T,14,90626,99984,True,False,False,vpprodigy-vs-fire-flux-m2-train,de_train
107556,T,bomb_exploded,T,15,99984,107556,True,False,True,vpprodigy-vs-fire-flux-m2-train,de_train
113431,T,ct_killed,T,16,107556,113431,False,False,False,vpprodigy-vs-fire-flux-m2-train,de_train
124546,T,bomb_exploded,T,17,113431,124546,True,False,True,vpprodigy-vs-fire-flux-m2-train,de_train
132188,CT,bomb_defused,CT,18,124546,132188,True,True,False,vpprodigy-vs-fire-flux-m2-train,de_train
141816,CT,bomb_defused,CT,19,132188,141816,True,True,False,vpprodigy-vs-fire-flux-m2-train,de_train
144984,CT,t_killed,CT,20,141816,144984,False,False,False,vpprodigy-vs-fire-flux-m2-train,de_train
149500,T,ct_killed,T,21,144984,149500,False,False,False,vpprodigy-vs-fire-flux-m2-train,de_train
157741,CT,t_killed,CT,22,149500,157741,False,False,False,vpprodigy-vs-fire-flux-m2-train,de_train
164429,CT,t_killed,CT,23,157741,164429,False,False,False,vpprodigy-vs-fire-flux-m2-train,de_train
170629,T,ct_killed,T,24,164429,170629,False,False,False,vpprodigy-vs-fire-flux-m2-train,de_train
176345,CT,bomb_defused,CT,25,170629,176345,True,True,False,vpprodigy-vs-fire-flux-m2-train,de_train
184977,CT,t_killed,CT,26,176345,184977,False,False,False,vpprodigy-vs-fire-flux-m2-train,de_train
195322,CT,bomb_defused,CT,27,184977,195322,True,True,False,vpprodigy-vs-fire-flux-m2-train,de_train
202721,T,ct_killed,T,28,195322,202721,True,False,False,vpprodigy-vs-fire-flux-m2-train,de_train
212580,T,ct_killed,T,29,202721,212580,False,False,False,vpprodigy-vs-fire-flux-m2-train,de_train
218594,T,ct_killed,T,30,212580,218594,True,False,False,vpprodigy-vs-fire-flux-m2-train,de_train
