match_id,total_rounds,t_rounds_won,bomb_planted,bomb_defused,bomb_exploded,map_name,ct_rounds_won,t_win_pct,overtime,total_kills,total_headshots,headshot_rate,avg_kill_distance,total_damage,unique_players
ecstatic-vs-havu-m3-overpass,35,14,19,8,5,de_overpass,21,40.0,1,229,109,0.48,17.02,19510,10
ence-vs-1win-m1-train,35,13,16,6,4,de_train,22,37.142857142857146,1,228,114,0.5,19.7,18304,10
fake-do-biru-vs-oddik-m1-dust2,21,9,9,3,4,de_dust2,12,42.857142857142854,0,269,166,0.55,22.24,31374,10
fake-do-biru-vs-oddik-m2-train,20,9,10,2,2,de_train,11,45.0,0,274,220,0.7,14.69,32092,10
kaleido-vs-arise-m2-inferno,19,10,9,3,3,de_inferno,9,52.63157894736842,0,128,73,0.57,14.56,11447,10
mouz-vs-gentle-mates-m1-inferno-p1,4,0,0,0,0,de_inferno,4,0.0,0,19,9,0.47,15.68,1290,6
mouz-vs-gentle-mates-m1-inferno-p2,15,9,10,2,4,de_inferno,6,60.0,0,96,47,0.49,14.54,8536,10
nemiga-vs-tpudcatb-tpu-m1-dust2,24,10,10,1,4,de_dust2,14,41.66666666666667,0,144,78,0.54,17.09,10913,10
sparta-vs-cybershoke-m1-dust2,23,9,9,2,3,de_dust2,14,39.130434782608695,0,154,66,0.43,18.66,11838,10
vpprodigy-vs-fire-flux-m1-mirage,22,14,11,0,2,de_mirage,8,63.63636363636363,0,152,77,0.51,18.07,12142,10
vpprodigy-vs-fire-flux-m2-train,30,15,16,6,4,de_train,15,50.0,0,190,101,0.53,17.64,15056,10
