attacker_steamid,player_name,kills,deaths,headshot_kills,total_damage,avg_kill_distance,kd_ratio,headshot_pct,matches_played,total_kills,total_deaths,overall_kd,kills_per_match,deaths_per_match,damage_per_match,ak47_usage_pct,awp_usage_pct,m4a1_silencer_usage_pct,deagle_usage_pct,glock_usage_pct,kd_ratio_std,kd_ratio_min,kd_ratio_max,headshot_pct_std,kills_std
76561197991593267,sausoL,8,16,3,500,14.3734575,0.6923076923076923,36.65,2,8,16,0.5,4.0,8.0,250.0,25.0,0.0,0.0,0.0,25.0,0.44,0.38,1.0,4.74,1.41
76561197998197366,mopoz,11,15,9,1001,6.61119315,0.5833333333333334,90.0,2,11,15,0.7333333333333333,5.5,7.5,500.5,63.63636363636363,0.0,0.0,0.0,9.090909090909092,0.35,0.33,0.83,14.14,6.36
76561198000984547,alex ,8,9,6,785,12.558628,0.8888888888888888,75.0,1,8,9,0.8888888888888888,8.0,9.0,785.0,75.0,0.0,12.5,0.0,0.0,0.0,0.89,0.89,0.0,0.0
76561198002372151,kinqie44,15,18,7,936,9.638073,0.8333333333333334,46.7,1,15,18,0.8333333333333334,15.0,18.0,936.0,20.0,0.0,53.333333333333336,0.0,0.0,0.0,0.83,0.83,0.0,0.0
76561198002942763,acoR,20,24,4,2469,18.634235,0.8333333333333334,20.0,1,20,24,0.8333333333333334,20.0,24.0,2469.0,0.0,70.0,0.0,0.0,5.0,0.0,0.83,0.83,0.0,0.0
76561198003142163,⑳ ⦻ ★ woody,37,39,9,4676,26.0227625,0.9708333333333334,25.1,2,37,39,0.9487179487179487,18.5,19.5,2338.0,10.81081081081081,67.56756756756756,0.0,0.0,5.405405405405405,0.14,0.88,1.07,8.63,3.54
76561198012528425,Uli,36,18,21,2944,19.32219,2.0,58.3,1,36,18,2.0,36.0,18.0,2944.0,63.888888888888886,2.7777777777777777,0.0,0.0,5.555555555555555,0.0,2.0,2.0,0.0,0.0
76561198025578864,⑲ ✓ PKL,37,44,20,2981,17.24919725,0.8229813664596273,50.75,2,37,44,0.8409090909090909,18.5,22.0,1490.5,62.16216216216216,2.7027027027027026,16.216216216216218,5.405405405405405,0.0,0.56,0.43,1.22,8.98,13.44
76561198028292758,HObbit,21,22,10,1318,19.705166,0.9545454545454546,47.6,1,21,22,0.9545454545454546,21.0,22.0,1318.0,47.61904761904761,0.0,42.857142857142854,0.0,0.0,0.0,0.95,0.95,0.0,0.0
76561198028790343,paz,33,38,18,2451,18.1530675,0.8666666666666667,53.900000000000006,2,33,38,0.868421052631579,16.5,19.0,1225.5,39.39393939393939,0.0,15.151515151515152,6.0606060606060606,6.0606060606060606,0.05,0.83,0.9,10.18,2.12
76561198029203966,⑳ ⦻ naitte,59,128,35,4270,16.854795,0.5131763386599384,59.349999999999994,2,59,128,0.4609375,29.5,64.0,2135.0,15.254237288135593,3.389830508474576,38.983050847457626,0.0,0.0,0.21,0.37,0.66,0.07,3.54
76561198039986599,⑳ 🜲 ★ coldzeraa,31,30,18,2164,20.217332,1.1,57.45,2,31,30,1.0333333333333334,15.5,15.0,1082.0,32.25806451612903,0.0,29.03225806451613,3.225806451612903,16.129032258064516,0.28,0.9,1.3,5.16,3.54
76561198040577200,sdy,24,23,10,1456,23.142847,1.0434782608695652,41.7,1,24,23,1.0434782608695652,24.0,23.0,1456.0,62.5,4.166666666666666,4.166666666666666,0.0,0.0,0.0,1.04,1.04,0.0,0.0
76561198047509694,clouda,9,17,5,686,14.429508,0.5294117647058824,55.6,1,9,17,0.5294117647058824,9.0,17.0,686.0,22.22222222222222,0.0,22.22222222222222,11.11111111111111,0.0,0.0,0.53,0.53,0.0,0.0
76561198063336407,Spinx,13,10,5,816,17.790964000000002,2.5,34.7,2,13,10,1.3,6.5,5.0,408.0,23.076923076923077,0.0,46.15384615384615,0.0,0.0,2.12,1.0,4.0,13.72,3.54
76561198084607254,TMB,18,24,13,1528,11.522978,0.75,72.2,1,18,24,0.75,18.0,24.0,1528.0,72.22222222222221,0.0,11.11111111111111,0.0,5.555555555555555,0.0,0.75,0.75,0.0,0.0
76561198088781077,alxc,21,25,12,1609,15.290486,0.84,57.1,1,21,25,0.84,21.0,25.0,1609.0,38.095238095238095,0.0,0.0,0.0,4.761904761904762,0.0,0.84,0.84,0.0,0.0
76561198095750974,EmbeR,9,13,6,679,12.759362,0.6923076923076923,66.7,1,9,13,0.6923076923076923,9.0,13.0,679.0,33.33333333333333,0.0,0.0,11.11111111111111,11.11111111111111,0.0,0.69,0.69,0.0,0.0
76561198128931118,podi,24,20,10,2754,20.243086,1.2,41.7,1,24,20,1.2,24.0,20.0,2754.0,41.66666666666667,45.83333333333333,0.0,4.166666666666666,0.0,0.0,1.2,1.2,0.0,0.0
76561198129799489,Anlelele,24,25,9,1396,16.326561,0.96,37.5,1,24,25,0.96,24.0,25.0,1396.0,54.166666666666664,0.0,20.833333333333336,0.0,0.0,0.0,0.96,0.96,0.0,0.0
76561198138828475,Brollan,13,9,5,750,14.201343000000001,2.5625,41.65,2,13,9,1.4444444444444444,6.5,4.5,375.0,7.6923076923076925,0.0,23.076923076923077,0.0,15.384615384615385,2.03,1.12,4.0,11.81,3.54
76561198141667219,lasfas,37,27,13,3613,23.222636,1.3681318681318682,35.6,2,37,27,1.3703703703703705,18.5,13.5,1806.5,16.216216216216218,43.24324324324324,10.81081081081081,0.0,2.7027027027027026,0.09,1.31,1.43,7.92,2.12
76561198145768818,KIRO,5,15,3,400,13.350667,0.3333333333333333,60.0,1,5,15,0.3333333333333333,5.0,15.0,400.0,0.0,0.0,40.0,20.0,0.0,0.0,0.33,0.33,0.0,0.0
76561198152411501,cronuss,31,23,18,2113,13.656788,1.3478260869565215,58.1,1,31,23,1.3478260869565217,31.0,23.0,2113.0,45.16129032258064,0.0,25.806451612903224,0.0,0.0,0.0,1.35,1.35,0.0,0.0
76561198153799679,ottob,25,18,6,3161,23.221025,1.3888888888888888,24.0,1,25,18,1.3888888888888888,25.0,18.0,3161.0,12.0,68.0,0.0,4.0,4.0,0.0,1.39,1.39,0.0,0.0
76561198155303242,nut nut,24,21,15,2132,15.044227,1.1428571428571428,62.5,1,24,21,1.1428571428571428,24.0,21.0,2132.0,45.83333333333333,4.166666666666666,29.166666666666668,0.0,4.166666666666666,0.0,1.14,1.14,0.0,0.0
76561198163633612,Djon8,15,14,7,981,22.08514,1.0714285714285714,46.7,1,15,14,1.0714285714285714,15.0,14.0,981.0,53.333333333333336,0.0,26.666666666666668,20.0,0.0,0.0,1.07,1.07,0.0,0.0
76561198168987887,k4nfuz-,10,15,6,826,16.122093,0.6666666666666666,60.0,1,10,15,0.6666666666666666,10.0,15.0,826.0,50.0,0.0,10.0,20.0,10.0,0.0,0.67,0.67,0.0,0.0
76561198172837021,rigoN,21,28,14,1499,19.010332,0.75,66.7,1,21,28,0.75,21.0,28.0,1499.0,14.285714285714285,0.0,33.33333333333333,0.0,0.0,0.0,0.75,0.75,0.0,0.0
76561198174263909,glowiing,19,14,11,1279,18.552235,1.3571428571428572,57.9,1,19,14,1.3571428571428572,19.0,14.0,1279.0,36.84210526315789,0.0,21.052631578947366,10.526315789473683,0.0,0.0,1.36,1.36,0.0,0.0
76561198186361079,FinigaN,24,38,13,1386,17.947373499999998,0.625,54.45,2,24,38,0.631578947368421,12.0,19.0,693.0,12.5,0.0,50.0,0.0,0.0,0.18,0.5,0.75,1.63,4.24
76561198193174134,xertioN,18,6,8,1120,16.000075,3.8,49.25,2,18,6,3.0,9.0,3.0,560.0,38.88888888888889,0.0,22.22222222222222,0.0,5.555555555555555,1.7,2.6,5.0,15.2,5.66
76561198201457085,⑳ ✓ xureba,45,43,25,3758,17.997045,1.0508658008658007,55.849999999999994,2,45,43,1.0465116279069768,22.5,21.5,1879.0,55.55555555555556,4.444444444444445,2.2222222222222223,8.88888888888889,0.0,0.26,0.86,1.24,2.9,4.95
76561198208074320,interz,15,21,8,1078,16.182673,0.7142857142857143,53.3,1,15,21,0.7142857142857143,15.0,21.0,1078.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.71,0.71,0.0,0.0
76561198214009861,lattykk,28,21,10,3405,29.518381,1.3333333333333333,35.7,1,28,21,1.3333333333333333,28.0,21.0,3405.0,0.0,64.28571428571429,7.142857142857142,17.857142857142858,0.0,0.0,1.33,1.33,0.0,0.0
76561198237043662,z1Nny,13,14,8,1132,15.951655,0.9285714285714286,61.5,1,13,14,0.9285714285714286,13.0,14.0,1132.0,38.46153846153847,0.0,0.0,0.0,15.384615384615385,0.0,0.93,0.93,0.0,0.0
76561198242601266,⑳ ✓ detr0ittJ,100,40,85,15802,21.79922,2.590909090909091,80.30000000000001,2,100,40,2.5,50.0,20.0,7901.0,59.055118110236215,25.984251968503933,0.0,0.0,9.448818897637794,1.29,1.68,3.5,25.6,18.38
76561198246097140,p3kko,15,25,9,1162,16.200274,0.6,60.0,1,15,25,0.6,15.0,25.0,1162.0,40.0,0.0,6.666666666666667,13.333333333333334,6.666666666666667,0.0,0.6,0.6,0.0,0.0
76561198248745402,puuha,21,25,9,1445,18.655186,0.84,42.9,1,21,25,0.84,21.0,25.0,1445.0,38.095238095238095,9.523809523809524,0.0,0.0,0.0,0.0,0.84,0.84,0.0,0.0
76561198249302730,⑳ 🜲 hardzao,104,45,115,15312,12.505949000000001,2.4050000000000002,108.45,2,104,45,2.311111111111111,52.0,22.5,7656.0,42.5531914893617,6.382978723404255,4.25531914893617,2.8368794326241136,36.87943262411347,1.2,1.56,3.25,11.95,18.38
76561198253891911,shield,33,31,13,4149,21.2932055,1.0341880341880343,43.15,2,33,31,1.064516129032258,16.5,15.5,2074.5,9.090909090909092,60.60606060606061,3.0303030303030303,0.0,0.0,0.27,0.85,1.22,16.05,7.78
76561198257770857,⑳ ⦻ ksloks,54,79,29,5149,19.3816025,0.6833333333333333,53.95,2,54,79,0.6835443037974683,27.0,39.5,2574.5,18.51851851851852,14.814814814814813,16.666666666666664,3.7037037037037033,3.7037037037037033,0.02,0.67,0.7,10.68,1.41
76561198262803490,⑳ ✓ ★ Ceruttera,35,51,18,2353,18.286096,0.6833333333333333,53.599999999999994,2,35,51,0.6862745098039216,17.5,25.5,1176.5,2.857142857142857,2.857142857142857,57.14285714285714,0.0,0.0,0.02,0.67,0.7,15.13,4.95
76561198276486363,Banjo,45,31,21,2826,13.300230500000001,1.5219298245614035,46.75,2,45,31,1.4516129032258065,22.5,15.5,1413.0,28.888888888888886,2.2222222222222223,24.444444444444443,0.0,15.555555555555555,0.44,1.21,1.83,4.6,0.71
76561198293974689,notineki,12,16,7,975,12.664237,0.75,58.3,1,12,16,0.75,12.0,16.0,975.0,16.666666666666664,0.0,41.66666666666667,25.0,16.666666666666664,0.0,0.75,0.75,0.0,0.0
76561198297313625,oz1k,24,22,14,1864,16.531223,1.0909090909090908,58.3,1,24,22,1.0909090909090908,24.0,22.0,1864.0,54.166666666666664,0.0,25.0,0.0,4.166666666666666,0.0,1.09,1.09,0.0,0.0
76561198308941038,sirah,25,24,11,1664,13.345321,1.0416666666666667,44.0,1,25,24,1.0416666666666667,25.0,24.0,1664.0,36.0,0.0,44.0,4.0,0.0,0.0,1.04,1.04,0.0,0.0
76561198309457929,SoLb,11,21,5,719,15.684887,0.5238095238095238,45.5,1,11,21,0.5238095238095238,11.0,21.0,719.0,27.27272727272727,0.0,27.27272727272727,0.0,0.0,0.0,0.52,0.52,0.0,0.0
76561198327068178,soulfly,28,40,16,2034,20.42982,0.7121212121212122,56.45,2,28,40,0.7,14.0,20.0,1017.0,50.0,0.0,17.857142857142858,7.142857142857142,3.571428571428571,0.17,0.59,0.83,14.5,1.41
76561198347665147,1NVISIBLEE,23,17,10,1620,17.443523,1.3529411764705883,43.5,1,23,17,1.3529411764705883,23.0,17.0,1620.0,60.86956521739131,0.0,4.3478260869565215,4.3478260869565215,0.0,0.0,1.35,1.35,0.0,0.0
76561198355739212,torzsi,13,8,3,1132,15.286274,1.625,23.1,1,13,8,1.625,13.0,8.0,1132.0,30.76923076923077,46.15384615384615,7.6923076923076925,0.0,7.6923076923076925,0.0,1.62,1.62,0.0,0.0
76561198358424861,Rage,19,11,10,2832,18.571934,1.7272727272727273,52.6,1,19,11,1.7272727272727273,19.0,11.0,2832.0,15.789473684210526,52.63157894736842,5.263157894736842,0.0,0.0,0.0,1.73,1.73,0.0,0.0
76561198370086461,MartinezSa,7,10,3,666,19.554121,0.7,42.9,1,7,10,0.7,7.0,10.0,666.0,28.57142857142857,28.57142857142857,14.285714285714285,0.0,0.0,0.0,0.7,0.7,0.0,0.0
76561198372938462,SPine,12,13,7,955,15.937726,0.9230769230769232,58.3,1,12,13,0.9230769230769231,12.0,13.0,955.0,25.0,8.333333333333332,50.0,0.0,0.0,0.0,0.92,0.92,0.0,0.0
76561198400817766,FenomeN--,20,11,0,1950,20.35533,1.818181818181818,0.0,1,20,11,1.8181818181818181,20.0,11.0,1950.0,0.0,80.0,0.0,0.0,5.0,0.0,1.82,1.82,0.0,0.0
76561198417348056,dav1g,8,11,6,672,19.261826,0.7272727272727273,75.0,1,8,11,0.7272727272727273,8.0,11.0,672.0,62.5,0.0,12.5,0.0,0.0,0.0,0.73,0.73,0.0,0.0
76561198417754488,rubeN,13,8,6,924,18.241655,1.625,46.2,1,13,8,1.625,13.0,8.0,924.0,38.46153846153847,7.6923076923076925,38.46153846153847,0.0,0.0,0.0,1.62,1.62,0.0,0.0
76561198420739672,expSasiKi,12,11,3,607,11.409443,1.0909090909090908,25.0,1,12,11,1.0909090909090908,12.0,11.0,607.0,33.33333333333333,0.0,25.0,8.333333333333332,0.0,0.0,1.09,1.09,0.0,0.0
76561198449686750,Bhavi,14,16,8,1008,12.422757,0.875,57.1,1,14,16,0.875,14.0,16.0,1008.0,35.714285714285715,0.0,14.285714285714285,0.0,7.142857142857142,0.0,0.88,0.88,0.0,0.0
76561198800147622,AquaRS,37,38,22,2718,14.161058,0.9782608695652174,59.55,2,37,38,0.9736842105263158,18.5,19.0,1359.0,24.324324324324326,0.0,35.13513513513514,2.7027027027027026,5.405405405405405,0.03,0.96,1.0,0.64,4.95
