tick,winner,reason,winning_team,round_num,tick_start,tick_end,bomb_planted,bomb_defused,bomb_exploded,match_id,map_name,total_kills,headshot_kills,avg_kill_distance,kill_distance_std,max_kill_distance,total_damage,most_common_weapon,smoke_kills,wallbang_kills,noscope_kills,first_kill_tick,last_kill_tick,headshot_rate,kill_duration,kill_tempo,first_kill_attacker_name,first_kill_weapon,first_kill_headshot,awp_kills,t_win,ct_win,prev_t_win,prev_ct_win,t_win_streak,t_score,ct_score,score_diff
0,0,0,0,1,0,0,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2463,CT,t_killed,CT,2,0,2463,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,7.0,0.0,1.07216889,0.23028135025925894,1.5430012,385.0,knife_karambit,0.0,0.0,0.0,2249.0,2463.0,0.0,214.0,32.71028037383177,acoR,knife_butterfly,False,0.0,0,1,0.0,0.0,0.0,0.0,1.0,-1.0
9788,T,ct_killed,T,3,2463,9788,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,9.0,6.0,12.677847244444445,9.231167768490517,34.352234,770.0,glock,0.0,0.0,0.0,8666.0,9788.0,0.6666666666666666,1122.0,8.02139037433155,Uli,glock,True,0.0,1,0,0.0,1.0,1.0,1.0,1.0,0.0
21010,T,bomb_exploded,T,4,9788,21010,True,False,True,ecstatic-vs-havu-m3-overpass,de_overpass,6.0,3.0,22.4488085,9.79001818482145,40.773598,597.0,ak47,0.0,1.0,0.0,15649.0,19715.0,0.5,4066.0,1.4756517461878995,acoR,ssg08,True,0.0,1,0,1.0,0.0,2.0,2.0,1.0,1.0
27484,T,ct_killed,T,5,21010,27484,True,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,8.0,2.0,14.5413986125,10.301623857875496,36.545246,641.0,ak47,0.0,0.0,0.0,24613.0,27484.0,0.25,2871.0,2.7864855451062347,alxc,galilar,False,0.0,1,0,1.0,0.0,3.0,3.0,1.0,2.0
37309,CT,bomb_defused,CT,6,27484,37309,True,True,False,ecstatic-vs-havu-m3-overpass,de_overpass,9.0,4.0,14.82019,4.584469086944283,26.383587,579.0,m4a1_silencer,0.0,0.0,0.0,30537.0,36580.0,0.4444444444444444,6043.0,1.4893264934635115,alxc,ak47,True,0.0,0,1,1.0,0.0,0.0,3.0,2.0,1.0
48744,T,bomb_exploded,T,7,37309,48744,True,False,True,ecstatic-vs-havu-m3-overpass,de_overpass,4.0,3.0,21.067238,22.143269142352324,52.164623,424.0,ak47,0.0,0.0,0.0,44450.0,45569.0,0.75,1119.0,3.5746201966041107,sirah,m4a1_silencer,True,1.0,1,0,0.0,1.0,1.0,4.0,2.0,2.0
57710,T,bomb_exploded,T,8,48744,57710,True,False,True,ecstatic-vs-havu-m3-overpass,de_overpass,6.0,4.0,18.5213268,8.903084212777937,28.507484,509.0,ak47,0.0,1.0,0.0,52067.0,57160.0,0.6666666666666666,5093.0,1.178087571176124,sirah,fiveseven,True,0.0,1,0,1.0,0.0,2.0,5.0,2.0,3.0
68845,CT,bomb_defused,CT,9,57710,68845,True,True,False,ecstatic-vs-havu-m3-overpass,de_overpass,9.0,5.0,14.456542377777778,11.891316727293797,38.535473,800.0,m4a1_silencer,0.0,0.0,0.0,63335.0,68328.0,0.5555555555555556,4993.0,1.8025235329461247,acoR,awp,False,2.0,0,1,1.0,0.0,0.0,5.0,3.0,2.0
74826,CT,bomb_defused,CT,10,68845,74826,True,True,False,ecstatic-vs-havu-m3-overpass,de_overpass,7.0,2.0,21.53139357142857,8.08585357251356,38.554,345.0,m4a1_silencer,1.0,0.0,0.0,72580.0,74003.0,0.2857142857142857,1423.0,4.919184820801124,Anlelele,m4a1_silencer,False,0.0,0,1,0.0,1.0,0.0,5.0,4.0,1.0
83914,CT,time_ran_out,CT,11,74826,83914,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,5.0,1.0,16.433332259999997,10.492084406797872,29.339836,546.0,awp,0.0,0.0,0.0,78480.0,80196.0,0.2,1716.0,2.913752913752914,acoR,awp,False,3.0,0,1,0.0,1.0,0.0,5.0,5.0,0.0
90775,CT,t_killed,CT,12,83914,90775,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,7.0,2.0,17.22485807142857,7.655344648304404,26.23466,476.0,ak47,0.0,0.0,0.0,87115.0,90775.0,0.2857142857142857,3660.0,1.9125683060109289,acoR,awp,False,1.0,0,1,0.0,1.0,0.0,5.0,6.0,-1.0
101121,CT,bomb_defused,CT,13,90775,101121,True,True,False,ecstatic-vs-havu-m3-overpass,de_overpass,8.0,5.0,14.7304365625,7.922791490061439,30.404488,681.0,ak47,0.0,0.0,0.0,97426.0,100283.0,0.625,2857.0,2.80014000700035,TMB,m4a1_silencer,True,1.0,0,1,0.0,1.0,0.0,5.0,7.0,-2.0
108751,T,ct_killed,T,14,101121,108751,True,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,5.0,3.0,13.005770000000002,4.442973115018927,19.113815,381.0,ak47,2.0,0.0,0.0,104886.0,108751.0,0.6,3865.0,1.29366106080207,alxc,ak47,True,0.0,1,0,0.0,1.0,1.0,6.0,7.0,-1.0
117782,CT,t_killed,CT,15,108751,117782,False,False,False,ecstatic-vs-havu-m3-overpass,de_overpass,8.0,7.0,20.048393625,6.628851916514437,27.259909,809.0,usp_silencer,0.0,0.0,0.0,114326.0,117782.0,0.875,3456.0,2.314814814814815,acoR,p250,True,0.0,0,1,1.0,0.0,0.0,6.0,8.0,-2.0
